dataset,dimensionality,entity_types,subfolder,local_file,source_url,accessed,notes
MoleculeNet/ESOL (delaney),1D,molecule,1D/moleculenet,esol.csv,https://deepchemdata.s3-us-west-1.amazonaws.com/datasets/delaney-processed.csv,2026-06-08,MoleculeNet (Wu et al. 2018); recommended splits via DeepChem v2.8.0. regression: aqueous solubility
MoleculeNet/FreeSolv,1D,molecule,1D/moleculenet,freesolv.csv,https://deepchemdata.s3-us-west-1.amazonaws.com/datasets/SAMPL.csv,2026-06-08,MoleculeNet (Wu et al. 2018); recommended splits via DeepChem v2.8.0. regression: hydration free energy
MoleculeNet/Lipophilicity,1D,molecule,1D/moleculenet,lipophilicity.csv,https://deepchemdata.s3-us-west-1.amazonaws.com/datasets/Lipophilicity.csv,2026-06-08,MoleculeNet (Wu et al. 2018); recommended splits via DeepChem v2.8.0. regression: logD
MoleculeNet/BACE,1D,molecule,1D/moleculenet,bace.csv,https://deepchemdata.s3-us-west-1.amazonaws.com/datasets/bace.csv,2026-06-08,MoleculeNet (Wu et al. 2018); recommended splits via DeepChem v2.8.0. classification; scaffold split in MoleculeNet
MoleculeNet/BBBP,1D,molecule,1D/moleculenet,bbbp.csv,https://deepchemdata.s3-us-west-1.amazonaws.com/datasets/BBBP.csv,2026-06-08,MoleculeNet (Wu et al. 2018); recommended splits via DeepChem v2.8.0. classification; scaffold split in MoleculeNet
MoleculeNet/HIV,1D,molecule,1D/moleculenet,hiv.csv,https://deepchemdata.s3-us-west-1.amazonaws.com/datasets/HIV.csv,2026-06-08,MoleculeNet (Wu et al. 2018); recommended splits via DeepChem v2.8.0. classification; scaffold split in MoleculeNet
MoleculeNet/Tox21,1D,molecule,1D/moleculenet,tox21.csv,https://deepchemdata.s3-us-west-1.amazonaws.com/datasets/tox21.csv.gz,2026-06-08,"MoleculeNet (Wu et al. 2018); recommended splits via DeepChem v2.8.0. multitask classification (downloaded gz, decompressed)"
MoleculeNet/SIDER,1D,molecule,1D/moleculenet,sider.csv,https://deepchemdata.s3-us-west-1.amazonaws.com/datasets/sider.csv.gz,2026-06-08,"MoleculeNet (Wu et al. 2018); recommended splits via DeepChem v2.8.0. multitask classification (downloaded gz, decompressed)"
MoleculeNet/ClinTox,1D,molecule,1D/moleculenet,clintox.csv,https://deepchemdata.s3-us-west-1.amazonaws.com/datasets/clintox.csv.gz,2026-06-08,"MoleculeNet (Wu et al. 2018); recommended splits via DeepChem v2.8.0. multitask classification (downloaded gz, decompressed)"
LP-PDBBind,2D,biomolecule(protein seq)+molecule(ligand SMILES),2D/lp_pdbbind,LP_PDBBind.csv,https://raw.githubusercontent.com/THGLab/LP-PDBBind/master/dataset/LP_PDBBind.csv,2026-06-08,"Li et al. 2023, arXiv:2308.09639. Repo: https://github.com/THGLab/LP-PDBBind . 'new_split' col = leak-proof train/val/test; 'seq'=protein, 'smiles'=ligand."
