dataset,category,method,n,status,leakage,imbalance,test_fraction,runtime_s,extra,reason
tdc_Lipophilicity_AstraZeneca,organic,-,0,dataset_unavailable,,,,,,TDC data not downloaded (Harvard Dataverse was under maintenance); run `python -m PALM.data.prepare_tdc` when the host is back
tdc_Solubility_AqSolDB,organic,-,0,dataset_unavailable,,,,,,TDC data not downloaded (Harvard Dataverse was under maintenance); run `python -m PALM.data.prepare_tdc` when the host is back
tdc_BBB_Martins,organic,-,0,dataset_unavailable,,,,,,TDC data not downloaded (Harvard Dataverse was under maintenance); run `python -m PALM.data.prepare_tdc` when the host is back
moleculenet_bace,organic,random,1513,ok,0.316933,,0.2003,3.2216,,
moleculenet_bace,organic,hypergraph,1513,ok,0.289877,0.0008,0.1996,0.4888,km1=5942;n_hyperedges=1513,
moleculenet_bace,organic,graph,1513,ok,0.283468,0.0099,0.1897,0.2798,cut=13939;fm_moves=20,
moleculenet_bace,organic,lowrank,1513,ok,0.231675,,0.1897,1.6645,rank=256;fm_moves=16,
moleculenet_bace,organic,datasail,1513,ok,0.231809,,0.1798,131.9606,technique=C1e,
moleculenet_bace,organic,scaffold,1513,ok,,,0.2003,1.3412,n_scaffolds=377,
moleculenet_bbbp,organic,random,1990,ok,0.320789,,0.2,0.0499,,
moleculenet_bbbp,organic,hypergraph,1990,ok,0.216968,0.0509,0.1593,0.1859,km1=38277;n_hyperedges=1990,
moleculenet_bbbp,organic,graph,1990,ok,0.249962,0.0446,0.1643,0.0994,cut=72224;fm_moves=0,
moleculenet_bbbp,organic,lowrank,1990,ok,0.214162,,0.1899,0.8498,rank=256;fm_moves=20,
moleculenet_bbbp,organic,datasail,1990,ok,0.24884,,0.1799,137.6353,technique=C1e,
moleculenet_bbbp,organic,scaffold,1990,ok,,,0.2,1.2696,n_scaffolds=681,
moleculenet_esol,organic,random,1128,ok,0.322965,,0.2004,0.0159,,
moleculenet_esol,organic,hypergraph,1128,ok,0.187588,0.0521,0.1587,0.1402,km1=34368;n_hyperedges=1128,
moleculenet_esol,organic,graph,1128,ok,0.164375,0.0078,0.1897,0.1535,cut=87660;fm_moves=5,
moleculenet_esol,organic,lowrank,1128,ok,0.15977,,0.1897,0.9654,rank=256;fm_moves=12,
moleculenet_esol,organic,datasail,1128,ok,0.173783,,0.18,18.2138,technique=C1e,
moleculenet_esol,organic,scaffold,1128,ok,,,0.2004,0.3724,n_scaffolds=167,
qmof,inorganic,random,2000,ok,0.322053,,0.2,0.0245,,
qmof,inorganic,hypergraph,2000,ok,0.245712,0.0081,0.1935,0.1782,km1=25038;n_hyperedges=2000,
qmof,inorganic,graph,2000,ok,0.238764,0.015,0.19,0.3803,cut=64608;fm_moves=27,
qmof,inorganic,lowrank,2000,ok,0.239612,,0.19,1.4022,rank=256;fm_moves=20,
qmof,inorganic,datasail,2000,ok,0.22133,,0.18,134.5414,technique=C1e,
qmof,inorganic,scaffold,2000,ok,,,0.0,0.2876,n_scaffolds=1,
omol25,inorganic,random,2000,ok,0.321797,,0.2,0.026,,
omol25,inorganic,hypergraph,2000,ok,0.27065,0.0488,0.161,0.1258,km1=83083;n_hyperedges=2000,
omol25,inorganic,graph,2000,ok,0.295858,0.0244,0.1805,0.0875,cut=237237;fm_moves=0,
omol25,inorganic,lowrank,2000,ok,0.26098,,0.19,0.9946,rank=256;fm_moves=20,
omol25,inorganic,datasail,2000,ok,0.249991,,0.18,133.5976,technique=C1e,
materials_project,inorganic,random,2000,ok,0.323458,,0.2,0.0149,,
materials_project,inorganic,hypergraph,2000,ok,0.142885,0.0506,0.1595,0.1257,km1=5402;n_hyperedges=2000,
materials_project,inorganic,graph,2000,ok,0.169784,0.0344,0.1725,0.1001,cut=14668;fm_moves=0,
materials_project,inorganic,lowrank,2000,ok,0.17418,,0.19,1.8458,rank=256;fm_moves=20,
materials_project,inorganic,datasail,2000,ok,0.16322,,0.18,50.7038,technique=C1e,
uspto_mcr,reaction,random,2000,ok,0.321861,,0.2,0.1173,,
uspto_mcr,reaction,hypergraph_nd,2000,ok,0.310334,0.0188,0.185,24.7791,km1=0;n_hyperedges=735,
uspto_mcr,reaction,hypergraph_nd_knn,2000,ok,0.246709,0.0506,0.1595,0.9181,km1=1013091;n_hyperedges=6000,
openpolymer26,polymer,random,2000,ok,0.320265,,0.2,0.0104,,
openpolymer26,polymer,hypergraph,2000,ok,0.29493,0.0256,0.1795,0.1092,km1=8257;n_hyperedges=2000,
openpolymer26,polymer,graph,2000,ok,0.295586,0.025,0.18,0.0847,cut=21974;fm_moves=0,
openpolymer26,polymer,lowrank,2000,ok,0.260123,,0.19,1.7119,rank=256;fm_moves=20,
openpolymer26,polymer,datasail,2000,ok,0.272301,,0.18,132.4427,technique=C1e,
