system_id,ads_symbols,count_C,count_H,count_N,count_O,wtd_mean_atomic_number,wtd_mean_atomic_mass,wtd_mean_electronegativity,wtd_mean_covalent_radius,wtd_mean_electron_affinity,wtd_mean_ionization_energy
0,H,0,1,0,0,1.0,1.008,2.2,31.0,72.8,1312.0
1,CO,1,0,0,1,7.0,14.004999999999999,2.995,71.0,131.4,1200.2
3,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
4,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
5,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
6,H2O,0,2,0,1,3.3333333333333335,6.005,2.6133333333333333,42.666666666666664,95.53333333333335,1312.6333333333334
8,OH,0,1,0,1,4.5,8.5035,2.8200000000000003,48.5,106.9,1312.95
12,N,0,0,1,0,7.0,14.007,3.04,71.0,0.0,1402.3
13,CO,1,0,0,1,7.0,14.004999999999999,2.995,71.0,131.4,1200.2
15,H,0,1,0,0,1.0,1.008,2.2,31.0,72.8,1312.0
17,O2,0,0,0,2,8.0,15.999,3.44,66.0,141.0,1313.9
18,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
20,H2O,0,2,0,1,3.3333333333333335,6.005,2.6133333333333333,42.666666666666664,95.53333333333335,1312.6333333333334
23,C,1,0,0,0,6.0,12.011,2.55,76.0,121.8,1086.5
24,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
25,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
27,O,0,0,0,1,8.0,15.999,3.44,66.0,141.0,1313.9
30,O2,0,0,0,2,8.0,15.999,3.44,66.0,141.0,1313.9
31,C,1,0,0,0,6.0,12.011,2.55,76.0,121.8,1086.5
33,C,1,0,0,0,6.0,12.011,2.55,76.0,121.8,1086.5
34,H,0,1,0,0,1.0,1.008,2.2,31.0,72.8,1312.0
37,HO2,0,1,0,2,5.666666666666667,11.002,3.026666666666667,54.333333333333336,118.26666666666667,1313.2666666666667
39,HO2,0,1,0,2,5.666666666666667,11.002,3.026666666666667,54.333333333333336,118.26666666666667,1313.2666666666667
40,H,0,1,0,0,1.0,1.008,2.2,31.0,72.8,1312.0
41,HO2,0,1,0,2,5.666666666666667,11.002,3.026666666666667,54.333333333333336,118.26666666666667,1313.2666666666667
42,C,1,0,0,0,6.0,12.011,2.55,76.0,121.8,1086.5
43,HO2,0,1,0,2,5.666666666666667,11.002,3.026666666666667,54.333333333333336,118.26666666666667,1313.2666666666667
