system_id,ads_symbols,mol_weight,num_atoms,num_heavy_atoms,num_H,num_OH_bonds,num_OO_bonds,is_radical,unpaired_electrons,total_valence_electrons,dipole_moment,proton_affinity,gas_phase_BDE,electron_affinity_eV,ionization_energy_eV,polarizability
0,H,1.008,1,0,1,0,0,1,1,1,0.0,0.0,436.0,0.754,13.598,0.667
1,CO,28.01,2,2,0,0,0,0,0,10,0.11,594.0,1076.5,1.11,14.014,1.95
3,O,15.999,1,1,0,0,0,1,2,6,0.0,0.0,0.0,1.461,13.618,0.802
4,O,15.999,1,1,0,0,0,1,2,6,0.0,0.0,0.0,1.461,13.618,0.802
5,O,15.999,1,1,0,0,0,1,2,6,0.0,0.0,0.0,1.461,13.618,0.802
6,H2O,18.015,3,1,2,2,0,0,0,8,1.85,691.0,497.1,-0.03,12.621,1.45
8,OH,17.007,2,1,1,1,0,1,1,7,1.66,593.2,428.0,1.828,13.017,1.02
12,N,14.007,1,1,0,0,0,1,3,5,0.0,0.0,0.0,-0.07,14.534,1.1
13,CO,28.01,2,2,0,0,0,0,0,10,0.11,594.0,1076.5,1.11,14.014,1.95
15,H,1.008,1,0,1,0,0,1,1,1,0.0,0.0,436.0,0.754,13.598,0.667
17,O2,31.998,2,2,0,0,1,1,2,12,0.0,421.0,498.4,0.448,12.07,1.562
18,O,15.999,1,1,0,0,0,1,2,6,0.0,0.0,0.0,1.461,13.618,0.802
20,H2O,18.015,3,1,2,2,0,0,0,8,1.85,691.0,497.1,-0.03,12.621,1.45
23,C,12.011,1,1,0,0,0,1,4,4,0.0,0.0,0.0,1.262,11.26,1.76
24,O,15.999,1,1,0,0,0,1,2,6,0.0,0.0,0.0,1.461,13.618,0.802
25,O,15.999,1,1,0,0,0,1,2,6,0.0,0.0,0.0,1.461,13.618,0.802
27,O,15.999,1,1,0,0,0,1,2,6,0.0,0.0,0.0,1.461,13.618,0.802
30,O2,31.998,2,2,0,0,1,1,2,12,0.0,421.0,498.4,0.448,12.07,1.562
31,C,12.011,1,1,0,0,0,1,4,4,0.0,0.0,0.0,1.262,11.26,1.76
33,C,12.011,1,1,0,0,0,1,4,4,0.0,0.0,0.0,1.262,11.26,1.76
34,H,1.008,1,0,1,0,0,1,1,1,0.0,0.0,436.0,0.754,13.598,0.667
37,HO2,33.006,3,2,1,1,1,1,1,13,2.09,660.0,366.0,1.078,11.35,2.2
39,HO2,33.006,3,2,1,1,1,1,1,13,2.09,660.0,366.0,1.078,11.35,2.2
40,H,1.008,1,0,1,0,0,1,1,1,0.0,0.0,436.0,0.754,13.598,0.667
41,HO2,33.006,3,2,1,1,1,1,1,13,2.09,660.0,366.0,1.078,11.35,2.2
42,C,12.011,1,1,0,0,0,1,4,4,0.0,0.0,0.0,1.262,11.26,1.76
43,HO2,33.006,3,2,1,1,1,1,1,13,2.09,660.0,366.0,1.078,11.35,2.2
44,O,15.999,1,1,0,0,0,1,2,6,0.0,0.0,0.0,1.461,13.618,0.802
45,CO,28.01,2,2,0,0,0,0,0,10,0.11,594.0,1076.5,1.11,14.014,1.95
47,H,1.008,1,0,1,0,0,1,1,1,0.0,0.0,436.0,0.754,13.598,0.667
48,H2O,18.015,3,1,2,2,0,0,0,8,1.85,691.0,497.1,-0.03,12.621,1.45
50,HO2,33.006,3,2,1,1,1,1,1,13,2.09,660.0,366.0,1.078,11.35,2.2
52,O,15.999,1,1,0,0,0,1,2,6,0.0,0.0,0.0,1.461,13.618,0.802
53,CO,28.01,2,2,0,0,0,0,0,10,0.11,594.0,1076.5,1.11,14.014,1.95
54,H2O,18.015,3,1,2,2,0,0,0,8,1.85,691.0,497.1,-0.03,12.621,1.45
55,H2O,18.015,3,1,2,2,0,0,0,8,1.85,691.0,497.1,-0.03,12.621,1.45
56,N,14.007,1,1,0,0,0,1,3,5,0.0,0.0,0.0,-0.07,14.534,1.1
57,C,12.011,1,1,0,0,0,1,4,4,0.0,0.0,0.0,1.262,11.26,1.76
58,O,15.999,1,1,0,0,0,1,2,6,0.0,0.0,0.0,1.461,13.618,0.802
59,HO2,33.006,3,2,1,1,1,1,1,13,2.09,660.0,366.0,1.078,11.35,2.2
60,HO2,33.006,3,2,1,1,1,1,1,13,2.09,660.0,366.0,1.078,11.35,2.2
61,C,12.011,1,1,0,0,0,1,4,4,0.0,0.0,0.0,1.262,11.26,1.76
62,H2O,18.015,3,1,2,2,0,0,0,8,1.85,691.0,497.1,-0.03,12.621,1.45
