system_id,ads_symbols,MolWt,NumHBondDonors,NumHBondAcceptors,NumLonePairs,TPSA,MolLogP,NumHeavyAtoms,NumValenceElectrons,NumRadicalElectrons
0,H,1.008,0,0,0,0.0,0.1125,0,1,1
1,CO,28.009999999999998,0,1,1,19.9,-0.03751,2,10,0
3,O,15.999,0,1,2,28.5,-0.1188,1,6,2
4,O,15.999,0,1,2,28.5,-0.1188,1,6,2
5,O,15.999,0,1,2,28.5,-0.1188,1,6,2
6,H2O,18.015,2,1,2,31.5,-0.8247,1,8,0
8,OH,17.007,1,1,2,30.0,-0.1768,1,7,1
12,N,14.007,0,1,1,30.5,-0.4806,1,5,3
13,CO,28.009999999999998,0,1,1,19.9,-0.03751,2,10,0
15,H,1.008,0,0,0,0.0,0.1125,0,1,1
17,O2,31.998,0,2,4,34.14,0.067,2,12,0
18,O,15.999,0,1,2,28.5,-0.1188,1,6,2
20,H2O,18.015,2,1,2,31.5,-0.8247,1,8,0
23,C,12.011,0,0,0,0.0,0.08129,1,4,4
24,O,15.999,0,1,2,28.5,-0.1188,1,6,2
25,O,15.999,0,1,2,28.5,-0.1188,1,6,2
27,O,15.999,0,1,2,28.5,-0.1188,1,6,2
30,O2,31.998,0,2,4,34.14,0.067,2,12,0
31,C,12.011,0,0,0,0.0,0.08129,1,4,4
33,C,12.011,0,0,0,0.0,0.08129,1,4,4
34,H,1.008,0,0,0,0.0,0.1125,0,1,1
37,HO2,33.006,1,2,4,40.129999999999995,-0.11010000000000003,2,13,1
39,HO2,33.006,1,2,4,40.129999999999995,-0.11010000000000003,2,13,1
40,H,1.008,0,0,0,0.0,0.1125,0,1,1
41,HO2,33.006,1,2,4,40.129999999999995,-0.11010000000000003,2,13,1
42,C,12.011,0,0,0,0.0,0.08129,1,4,4
43,HO2,33.006,1,2,4,40.129999999999995,-0.11010000000000003,2,13,1
44,O,15.999,0,1,2,28.5,-0.1188,1,6,2
45,CO,28.009999999999998,0,1,1,19.9,-0.03751,2,10,0
47,H,1.008,0,0,0,0.0,0.1125,0,1,1
48,H2O,18.015,2,1,2,31.5,-0.8247,1,8,0
50,HO2,33.006,1,2,4,40.129999999999995,-0.11010000000000003,2,13,1
52,O,15.999,0,1,2,28.5,-0.1188,1,6,2
53,CO,28.009999999999998,0,1,1,19.9,-0.03751,2,10,0
54,H2O,18.015,2,1,2,31.5,-0.8247,1,8,0
55,H2O,18.015,2,1,2,31.5,-0.8247,1,8,0
56,N,14.007,0,1,1,30.5,-0.4806,1,5,3
57,C,12.011,0,0,0,0.0,0.08129,1,4,4
58,O,15.999,0,1,2,28.5,-0.1188,1,6,2
59,HO2,33.006,1,2,4,40.129999999999995,-0.11010000000000003,2,13,1
60,HO2,33.006,1,2,4,40.129999999999995,-0.11010000000000003,2,13,1
61,C,12.011,0,0,0,0.0,0.08129,1,4,4
62,H2O,18.015,2,1,2,31.5,-0.8247,1,8,0
63,H,1.008,0,0,0,0.0,0.1125,0,1,1
64,O2,31.998,0,2,4,34.14,0.067,2,12,0
65,CO,28.009999999999998,0,1,1,19.9,-0.03751,2,10,0
66,O,15.999,0,1,2,28.5,-0.1188,1,6,2
67,O,15.999,0,1,2,28.5,-0.1188,1,6,2
68,C,12.011,0,0,0,0.0,0.08129,1,4,4
69,O,15.999,0,1,2,28.5,-0.1188,1,6,2
72,OH,17.007,1,1,2,30.0,-0.1768,1,7,1
74,N,14.007,0,1,1,30.5,-0.4806,1,5,3
75,O2,31.998,0,2,4,34.14,0.067,2,12,0
76,O2,31.998,0,2,4,34.14,0.067,2,12,0
77,N,14.007,0,1,1,30.5,-0.4806,1,5,3
78,H2O,18.015,2,1,2,31.5,-0.8247,1,8,0
79,CO,28.009999999999998,0,1,1,19.9,-0.03751,2,10,0
80,CO,28.009999999999998,0,1,1,19.9,-0.03751,2,10,0
81,C,12.011,0,0,0,0.0,0.08129,1,4,4
82,O,15.999,0,1,2,28.5,-0.1188,1,6,2
