system_id,ads_symbols,HOMO_energy_eV,LUMO_energy_eV,chemical_hardness_eV,chemical_softness,electrophilicity_index,formation_enthalpy_kJmol,entropy_298K_JmolK,characteristic_frequency_cm1,bond_order,has_lone_pair,has_pi_bond,surface_binding_mode
0,H,-13.6,0.0,6.42,0.078,3.19,218.0,114.7,0,0,0,0,2
1,CO,-14.01,-1.11,6.45,0.078,4.45,-110.5,197.7,2143,3,1,1,0
3,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
4,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
5,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
6,H2O,-12.62,4.0,6.33,0.079,0.74,-241.8,188.8,3657,1,1,0,0
8,OH,-13.02,-1.83,5.59,0.089,4.94,37.3,183.7,3570,1,1,0,0
12,N,-14.53,0.07,7.3,0.068,1.43,472.7,153.3,0,0,1,0,2
13,CO,-14.01,-1.11,6.45,0.078,4.45,-110.5,197.7,2143,3,1,1,0
15,H,-13.6,0.0,6.42,0.078,3.19,218.0,114.7,0,0,0,0,2
17,O2,-12.07,-0.45,5.81,0.086,2.68,0.0,205.2,1580,2,1,1,1
18,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
20,H2O,-12.62,4.0,6.33,0.079,0.74,-241.8,188.8,3657,1,1,0,0
23,C,-11.26,-1.26,5.0,0.1,3.94,716.7,158.1,0,0,0,0,2
24,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
25,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
27,O,-13.62,-1.46,6.08,0.082,4.69,249.2,161.1,0,0,1,0,2
30,O2,-12.07,-0.45,5.81,0.086,2.68,0.0,205.2,1580,2,1,1,1
31,C,-11.26,-1.26,5.0,0.1,3.94,716.7,158.1,0,0,0,0,2
33,C,-11.26,-1.26,5.0,0.1,3.94,716.7,158.1,0,0,0,0,2
34,H,-13.6,0.0,6.42,0.078,3.19,218.0,114.7,0,0,0,0,2
37,HO2,-11.35,-1.08,5.14,0.097,3.76,12.0,229.0,1098,1,1,0,1
39,HO2,-11.35,-1.08,5.14,0.097,3.76,12.0,229.0,1098,1,1,0,1
40,H,-13.6,0.0,6.42,0.078,3.19,218.0,114.7,0,0,0,0,2
41,HO2,-11.35,-1.08,5.14,0.097,3.76,12.0,229.0,1098,1,1,0,1
42,C,-11.26,-1.26,5.0,0.1,3.94,716.7,158.1,0,0,0,0,2
43,HO2,-11.35,-1.08,5.14,0.097,3.76,12.0,229.0,1098,1,1,0,1
