system_id,bulk_symbols,has_transition_metal,has_noble_metal,has_rare_earth,fraction_transition_metal,d_band_filling,metal_diversity,metal_electronegativity_spread,weighted_electron_affinity
0,Ca3Cd1O4,1,0,0,0.125,1.0,2,0.69,1.7999999999999998
1,Sr4Ni4O8,1,0,0,0.25,0.8,2,0.96,58.5
3,Sr4Cu8O8,1,0,0,0.4,1.0,2,0.95,80.6
4,Lu2O4,0,0,1,0.0,0.0,1,0.0,50.0
5,Ni30O32,1,0,0,0.4838709677419355,0.8000000000000003,1,0.0,112.0
6,Ni1Mo4O15,1,0,0,0.25,0.5599999999999999,2,0.2500000000000002,79.92
8,Sr2Ag2O4,1,1,0,0.25,1.0,2,0.98,65.3
12,Na2Nb20O36,1,0,0,0.3448275862068966,0.4000000000000001,2,0.67,83.07272727272725
13,Ca4Ir4O12,1,1,0,0.2,0.7,2,1.2000000000000002,76.7
15,V2Sb2O8,1,0,0,0.16666666666666666,0.3,2,0.41999999999999993,77.05
17,Mn6Sb2O16,1,0,0,0.25,0.5,2,0.4999999999999998,25.8
18,Nb8Ag8O24,1,1,0,0.4,0.7,2,0.32999999999999985,105.85
20,Lu4Ga4O12,0,0,1,0.0,0.0,2,0.54,45.5
23,Ba1Re1O3,1,0,0,0.2,0.5,2,1.0099999999999998,14.2
24,Cd2Au2O4,1,1,0,0.5,1.0,2,0.8500000000000001,111.4
25,K8O4,0,0,0,0.0,0.0,1,0.0,48.4
27,Na4O2,0,0,0,0.0,0.0,1,0.0,52.8
30,Li16Ge4O16,0,0,0,0.0,0.0,2,1.0299999999999998,71.47999999999999
31,Lu2Al2O6,0,0,1,0.0,0.0,2,0.3400000000000001,46.25
33,Al2Si4O11,0,0,0,0.0,0.0,2,0.2899999999999998,103.56666666666666
34,Zn4Bi4O12,1,0,0,0.2,1.0,2,0.3700000000000001,45.65
37,Lu4Nb4O16,1,0,1,0.16666666666666666,0.4,2,0.33000000000000007,68.05
39,Nb2Fe2O8,1,0,0,0.3333333333333333,0.5,2,0.22999999999999998,50.89999999999999
40,Rb2Mn12O24,1,0,0,0.3157894736842105,0.5,2,0.7300000000000001,6.7
41,Mn4O4,1,0,0,0.5,0.5,1,0.0,0.0
42,Ca2Mo4O14,1,0,0,0.2,0.5,2,1.1600000000000001,48.73333333333334
43,Li2Ag2O4,1,1,0,0.25,1.0,2,0.95,92.6
44,Ta1Bi3O7,1,0,0,0.09090909090909091,0.3,2,0.52,76.225
45,Ba1Hf1O3,1,0,0,0.2,0.2,2,0.41000000000000003,6.95
47,Al4Mo4O14,1,0,0,0.18181818181818182,0.5,2,0.55,57.2
48,Sc4O4,1,0,1,0.5,0.1,1,0.0,18.1
50,Sr1Cd1O2,1,0,0,0.25,1.0,2,0.74,2.5
52,Co8Ge8O24,1,0,0,0.2,0.7,2,0.1299999999999999,91.35
53,Ca2Mn16O32,1,0,0,0.32,0.5,2,0.55,0.26666666666666666
54,Zn4Bi4O12,1,0,0,0.2,1.0,2,0.3700000000000001,45.65
55,K12Fe4O12,1,0,0,0.14285714285714285,0.6,2,1.0100000000000002,40.224999999999994
56,Na4V40O60,1,0,0,0.38461538461538464,0.3,2,0.6999999999999998,51.07272727272728
57,K12Al4O12,0,0,0,0.0,0.0,2,0.7900000000000001,46.925
58,Ba13Bi11O36,0,0,0,0.0,0.0,2,1.13,49.375
59,Re8O24,1,0,0,0.25,0.5,1,0.0,14.5
60,As1Pd1O4,1,1,0,0.16666666666666666,1.0,2,0.020000000000000018,65.95
61,Rb4Cu4O8,1,0,0,0.25,1.0,2,1.08,82.65
62,Li1Co8O16,1,0,0,0.32,0.7,2,0.8999999999999999,63.24444444444445
63,Cu8W4O16,1,0,0,0.42857142857142855,0.8000000000000002,2,0.45999999999999996,105.13333333333331
64,Rb4Cd4O6,1,0,0,0.2857142857142857,1.0,2,0.87,23.45
65,Re4W4O24,1,0,0,0.25,0.45,2,0.45999999999999996,46.55
66,Fe2O2,1,0,0,0.5,0.6,1,0.0,15.7
67,Li4Nb12O32,1,0,0,0.25,0.4000000000000001,2,0.6200000000000001,79.475
68,Fe6Ni6O18,1,0,0,0.4,0.6999999999999998,2,0.07999999999999985,63.85
69,Rb3Lu3O6,0,0,1,0.0,0.0,2,0.45000000000000007,48.449999999999996
72,Ca8Sb4O2,0,0,0,0.0,0.0,2,1.0499999999999998,36.0
74,Sr2O2,0,0,0,0.0,0.0,1,0.0,5.0
75,Cd2O2,1,0,0,0.5,1.0,1,0.0,0.0
76,Mg2V8O20,1,0,0,0.26666666666666666,0.3,2,0.31999999999999984,40.71999999999999
77,Ag4Bi4O12,1,1,0,0.2,1.0,2,0.09000000000000008,108.44999999999999
78,Rb1Pd1O3,1,1,0,0.2,1.0,2,1.3800000000000003,50.3
79,Cu4Ge4O12,1,0,0,0.2,1.0,2,0.10999999999999988,118.7
80,Mn10Cr2O16,1,0,0,0.42857142857142855,0.5,2,0.10999999999999988,10.716666666666667
81,Ca4W4O16,1,0,0,0.16666666666666666,0.4,2,1.3599999999999999,40.5
82,Ba8Lu12O26,0,0,1,0.0,0.0,2,0.38,35.56
83,Ti6Nb12O42,1,0,0,0.3,0.3333333333333334,2,0.06000000000000005,59.93333333333333
85,Ti12O2,1,0,0,0.8571428571428571,0.20000000000000004,1,0.0,7.599999999999998
86,Hf3Sn1O8,1,0,0,0.25,0.20000000000000004,2,0.6599999999999999,26.825
87,Ni2Pt2O4,1,1,0,0.5,0.85,2,0.3699999999999999,158.65
88,Ge4Se8O24,0,0,0,0.0,0.0,2,0.54,169.66666666666666
89,Cu1Hg1O4,1,0,0,0.3333333333333333,1.0,2,0.10000000000000009,59.2
90,Al2Sb2O8,0,0,0,0.0,0.0,2,0.4399999999999997,72.85
91,Sr4Hf4O12,1,0,0,0.2,0.2,2,0.3500000000000001,2.5
92,Mn8Bi4O20,1,0,0,0.25,0.5,2,0.47,30.433333333333334
93,Sr1Cd1O2,1,0,0,0.25,1.0,2,0.74,2.5
95,Li24Ge8O28,0,0,0,0.0,0.0,2,1.0299999999999998,74.45
96,Zr4Si4O16,1,0,0,0.16666666666666666,0.2,2,0.5699999999999998,87.6
97,Cu2Au2O4,1,1,0,0.5,1.0,2,0.6400000000000001,170.60000000000002
98,Y4Se2O4,1,0,1,0.4,0.1,2,1.3299999999999998,84.73333333333333
99,Sr4Tl12O20,0,0,0,0.0,0.0,2,0.6700000000000002,15.649999999999999
100,Sc4Mn8O16,1,0,1,0.42857142857142855,0.3666666666666667,2,0.18999999999999995,6.033333333333334
103,K1Mg1O3,0,0,0,0.0,0.0,2,0.4900000000000001,24.2
105,Rb4O4,0,0,0,0.0,0.0,1,0.0,46.9
107,Rb4Ag4O8,1,1,0,0.25,1.0,2,1.1099999999999999,86.25
108,Cd16Ru16O56,1,1,0,0.36363636363636365,0.8500000000000001,2,0.5100000000000002,50.65
110,Ba1Os1O3,1,1,0,0.2,0.6,2,1.31,60.0
111,Si4Ag20O16,1,1,0,0.5,1.0,2,0.030000000000000027,127.01666666666665
112,K1Ta1O3,1,0,0,0.2,0.3,2,0.68,39.7
113,Sr2Li1O12,0,0,0,0.0,0.0,2,0.030000000000000027,23.2
114,Ca1Zn1O2,1,0,0,0.25,1.0,2,0.6499999999999999,1.2
115,Ce4Se2O4,0,0,1,0.0,0.0,2,1.4299999999999997,98.33333333333333
116,Mn6Cr2O16,1,0,0,0.3333333333333333,0.5,2,0.10999999999999988,16.075
117,Ba6W2O12,1,0,0,0.1,0.4,2,1.4699999999999998,30.075
118,Ba2O2,0,0,0,0.0,0.0,1,0.0,13.9
119,Sr4Nb8O24,1,0,0,0.2222222222222222,0.4,2,0.6500000000000001,59.06666666666667
121,Co2Ni2O6,1,0,0,0.4,0.75,2,0.030000000000000027,87.85
122,Li2Ga10O16,0,0,0,0.0,0.0,2,0.8300000000000001,44.1
123,Sr4Zr4O12,1,0,0,0.2,0.2,2,0.3800000000000001,23.05
125,Na4Be4O6,0,0,0,0.0,0.0,2,0.64,26.4
128,Tl12Si4O14,0,0,0,0.0,0.0,2,0.2799999999999998,47.925
129,K4O8,0,0,0,0.0,0.0,1,0.0,48.4
130,Cr16Co8O32,1,0,0,0.42857142857142855,0.5666666666666667,2,0.21999999999999997,64.10000000000001
132,Ta4Zn2O12,1,0,0,0.3333333333333333,0.5333333333333333,2,0.1499999999999999,20.666666666666668
133,Fe1Ir1O4,1,1,0,0.3333333333333333,0.6499999999999999,2,0.3700000000000001,83.35
134,Nb8Mo4O32,1,0,0,0.2727272727272727,0.43333333333333335,2,0.56,81.36666666666666
135,Bi4Rh4O12,1,1,0,0.2,0.8,2,0.2599999999999998,100.5
136,Ni2Hg2O4,1,0,0,0.5,0.9,2,0.09000000000000008,56.0
137,Cr1Au1O4,1,1,0,0.3333333333333333,0.75,2,0.8800000000000001,143.55
138,Ag1Te1O4,1,1,0,0.16666666666666666,1.0,2,0.17000000000000015,157.89999999999998
139,Tl4Cr4O12,1,0,0,0.2,0.5,2,0.039999999999999813,41.75
140,Ca4Pt4O12,1,1,0,0.2,0.9,2,1.2799999999999998,103.85000000000001
141,Mg2Pt6O12,1,1,0,0.3,0.9,2,0.9699999999999998,153.97500000000002
143,K8Cr2O8,1,0,0,0.1111111111111111,0.5,2,0.84,51.58
144,Hf4O8,1,0,0,0.3333333333333333,0.2,1,0.0,0.0
145,Ba1Ca1O2,0,0,0,0.0,0.0,2,0.10999999999999999,8.15
146,Ti4Zn8O16,1,0,0,0.42857142857142855,0.7333333333333334,2,0.10999999999999988,2.533333333333333
