system_id,bulk_symbols,avg_metal_melting_point,metal_melting_point_std,metal_melting_point_range,avg_oxide_formation_enthalpy_per_O,reducibility_index,entropy_mixing_mass_weighted,min_oxide_formation_enthalpy,max_oxide_formation_enthalpy
0,Ca3Cd1O4,984.75,225.59961768584625,521.0,-540.75,540.75,1.2603612994629134,-635.0,-258.0
1,Sr4Ni4O8,1389.0,339.0,678.0,-416.0,416.0,2.0597682990783,-592.0,-240.0
3,Sr4Cu8O8,1255.3333333333333,145.19259240363778,308.0,-302.0,302.0,2.4727336608054165,-592.0,-157.0
4,Lu2O4,1925.0,0.0,0.0,-626.0,626.0,0.6931471805579453,-626.0,-626.0
5,Ni30O32,1728.0,0.0,0.0,-240.0,240.0,3.4011973816321546,-240.0,-240.0
6,Ni1Mo4O15,2662.4,467.2,1168.0,-246.4,246.4,1.5937857941133944,-248.0,-240.0
8,Sr2Ag2O4,1142.5,92.5,185.0,-311.5,311.5,1.380919709917818,-592.0,-31.0
12,Na2Nb20O36,2533.7272727272725,683.914413958234,2379.0,-383.09090909090907,383.09090909090907,3.0538997336232026,-414.0,-380.0
13,Ca4Ir4O12,1917.0,802.0,1604.0,-386.0,386.0,1.8461670939897104,-635.0,-137.0
15,V2Sb2O8,1543.5,639.5,1279.0,-281.5,281.5,1.2996895990399342,-310.0,-253.0
17,Mn6Sb2O16,1365.25,266.30281166371486,615.0,-352.0,352.0,2.006798166761414,-385.0,-253.0
18,Nb8Ag8O24,1992.5,757.5,1515.0,-205.5,205.5,2.76980872354042,-380.0,-31.0
20,Lu4Ga4O12,1114.0,811.0,1622.0,-494.5,494.5,1.9838536732257905,-626.0,-363.0
23,Ba1Re1O3,2229.5,1229.5,2459.0,-365.5,365.5,0.6816909795086488,-554.0,-177.0
24,Cd2Au2O4,965.5,371.5,743.0,-115.5,115.5,1.3484626806506468,-258.0,27.0
25,K8O4,337.0,0.0,0.0,-363.0,363.0,2.079441541671836,-363.0,-363.0
27,Na4O2,371.0,0.0,0.0,-414.0,414.0,1.3862943611158907,-414.0,-414.0
30,Li16Ge4O16,605.4,302.8,757.0,-534.8,534.8,2.359340315925276,-596.0,-290.0
31,Lu2Al2O6,1429.0,496.0,992.0,-592.5,592.5,1.0863317144063396,-626.0,-559.0
