dataset,config,seed,task,leakage,factor_leakage,gen_gap,metric
moleculenet_esol,random,0,regression,0.307244,15755.422,0.2686,r2
moleculenet_esol,random,1,regression,0.307333,15780.699,0.2668,r2
moleculenet_esol,random,2,regression,0.305729,15715.906,0.3526,r2
moleculenet_esol,lloyd,0,regression,0.165223,8565.578,0.7744,r2
moleculenet_esol,lloyd,1,regression,0.166783,8641.645,0.6457,r2
moleculenet_esol,lloyd,2,regression,0.165151,8559.949,0.7294,r2
moleculenet_esol,lloyd_fm,0,regression,0.15977,8264.781,0.87,r2
moleculenet_esol,lloyd_fm,1,regression,0.160372,8304.129,0.7095,r2
moleculenet_esol,lloyd_fm,2,regression,0.159734,8273.551,0.8424,r2
moleculenet_esol,lloyd_fm_slack,0,regression,0.109264,5649.781,0.5324,r2
moleculenet_esol,lloyd_fm_slack,1,regression,0.109264,5634.43,0.5087,r2
moleculenet_esol,lloyd_fm_slack,2,regression,0.109264,5621.398,0.5023,r2
moleculenet_bace,random,0,classification,0.308447,37376.375,0.1459,roc_auc
moleculenet_bace,random,1,classification,0.308336,37316.141,0.0789,roc_auc
moleculenet_bace,random,2,classification,0.307353,37275.609,0.1093,roc_auc
moleculenet_bace,lloyd,0,classification,0.269288,33009.414,0.2371,roc_auc
moleculenet_bace,lloyd,1,classification,0.269274,32972.438,0.2428,roc_auc
moleculenet_bace,lloyd,2,classification,0.268911,32999.297,0.3003,roc_auc
moleculenet_bace,lloyd_fm,0,classification,0.257059,31554.984,0.234,roc_auc
moleculenet_bace,lloyd_fm,1,classification,0.257036,31520.789,0.2416,roc_auc
moleculenet_bace,lloyd_fm,2,classification,0.256808,31539.93,0.2264,roc_auc
moleculenet_bace,lloyd_fm_slack,0,classification,0.194531,24015.234,0.2275,roc_auc
moleculenet_bace,lloyd_fm_slack,1,classification,0.194312,24001.578,0.2222,roc_auc
moleculenet_bace,lloyd_fm_slack,2,classification,0.194401,23999.078,0.2189,roc_auc
moleculenet_freesolv,random,0,regression,0.306771,4933.199,0.3436,r2
moleculenet_freesolv,random,1,regression,0.287683,4615.846,0.3643,r2
moleculenet_freesolv,random,2,regression,0.315616,5081.029,0.2622,r2
moleculenet_freesolv,lloyd,0,regression,0.138463,2234.986,0.7424,r2
moleculenet_freesolv,lloyd,1,regression,0.138463,2233.949,0.7244,r2
moleculenet_freesolv,lloyd,2,regression,0.138463,2231.751,0.7167,r2
moleculenet_freesolv,lloyd_fm,0,regression,0.127414,2055.532,0.7408,r2
moleculenet_freesolv,lloyd_fm,1,regression,0.127396,2054.751,0.6843,r2
moleculenet_freesolv,lloyd_fm,2,regression,0.12738,2052.622,0.7087,r2
moleculenet_freesolv,lloyd_fm_slack,0,regression,0.078914,1273.345,0.611,r2
moleculenet_freesolv,lloyd_fm_slack,1,regression,0.078914,1271.6,0.6277,r2
moleculenet_freesolv,lloyd_fm_slack,2,regression,0.078914,1271.46,0.6414,r2
qmof,random,0,regression,0.309277,401390.562,0.479,r2
qmof,random,1,regression,0.309761,400218.75,0.3693,r2
qmof,random,2,regression,0.309765,401018.688,0.4037,r2
qmof,lloyd,0,regression,0.205917,359521.25,0.585,r2
qmof,lloyd,1,regression,0.205832,359514.062,0.558,r2
qmof,lloyd,2,regression,0.205832,359514.75,0.5399,r2
qmof,lloyd_fm,0,regression,0.195461,344076.5,0.5235,r2
qmof,lloyd_fm,1,regression,0.195453,344072.938,0.5481,r2
qmof,lloyd_fm,2,regression,0.195443,344074.375,0.5527,r2
qmof,lloyd_fm_slack,0,regression,0.141847,261259.438,0.5124,r2
qmof,lloyd_fm_slack,1,regression,0.141847,261265.25,0.5274,r2
qmof,lloyd_fm_slack,2,regression,0.141814,261266.875,0.5302,r2
