dataset,axis,value,seed,leakage,factor_leakage,gen_gap,metric
moleculenet_esol,rank,64,0,0.160801,7909.992,0.7417,r2
moleculenet_esol,rank,64,1,0.160962,7509.371,0.8616,r2
moleculenet_esol,rank,64,2,0.161105,7554.641,0.7704,r2
moleculenet_esol,rank,256,0,0.15977,8264.789,0.87,r2
moleculenet_esol,rank,256,1,0.160372,8304.137,0.7095,r2
moleculenet_esol,rank,256,2,0.159734,8273.551,0.8424,r2
moleculenet_esol,rank,1024,0,0.160403,8361.984,0.6778,r2
moleculenet_esol,rank,1024,1,0.160403,8362.344,0.7119,r2
moleculenet_esol,rank,1024,2,0.160403,8362.297,0.6951,r2
moleculenet_esol,n_restarts,1,0,0.15977,8264.785,0.87,r2
moleculenet_esol,n_restarts,1,1,0.160372,8304.133,0.7095,r2
moleculenet_esol,n_restarts,1,2,0.159734,8273.551,0.8424,r2
moleculenet_esol,n_restarts,4,0,0.15977,8264.785,0.87,r2
moleculenet_esol,n_restarts,4,1,0.160372,8304.133,0.7095,r2
moleculenet_esol,n_restarts,4,2,0.159734,8273.547,0.8424,r2
moleculenet_esol,n_restarts,16,0,0.15977,8264.789,0.87,r2
moleculenet_esol,n_restarts,16,1,0.160372,8304.133,0.7095,r2
moleculenet_esol,n_restarts,16,2,0.159734,8273.551,0.8424,r2
moleculenet_bace,rank,64,0,0.256508,29323.469,0.2705,roc_auc
moleculenet_bace,rank,64,1,0.256467,29118.562,0.224,roc_auc
moleculenet_bace,rank,64,2,0.256457,29191.055,0.2355,roc_auc
moleculenet_bace,rank,256,0,0.257059,31554.992,0.234,roc_auc
moleculenet_bace,rank,256,1,0.257036,31520.797,0.2416,roc_auc
moleculenet_bace,rank,256,2,0.256808,31539.938,0.2264,roc_auc
moleculenet_bace,rank,1024,0,0.257428,31893.609,0.233,roc_auc
moleculenet_bace,rank,1024,1,0.257336,31889.633,0.2448,roc_auc
moleculenet_bace,rank,1024,2,0.257428,31891.734,0.2573,roc_auc
moleculenet_bace,n_restarts,1,0,0.257059,31554.992,0.234,roc_auc
moleculenet_bace,n_restarts,1,1,0.257036,31520.781,0.2416,roc_auc
moleculenet_bace,n_restarts,1,2,0.256808,31539.93,0.2264,roc_auc
moleculenet_bace,n_restarts,4,0,0.257059,31554.984,0.234,roc_auc
moleculenet_bace,n_restarts,4,1,0.257036,31520.781,0.2416,roc_auc
moleculenet_bace,n_restarts,4,2,0.256808,31539.922,0.2264,roc_auc
moleculenet_bace,n_restarts,16,0,0.257059,31554.992,0.234,roc_auc
moleculenet_bace,n_restarts,16,1,0.257036,31520.781,0.2416,roc_auc
moleculenet_bace,n_restarts,16,2,0.256808,31539.922,0.2264,roc_auc
moleculenet_freesolv,rank,64,0,0.128461,1878.456,0.7745,r2
moleculenet_freesolv,rank,64,1,0.128192,1932.647,0.7028,r2
moleculenet_freesolv,rank,64,2,0.129813,1855.724,0.6302,r2
moleculenet_freesolv,rank,256,0,0.127414,2055.532,0.7408,r2
moleculenet_freesolv,rank,256,1,0.127396,2054.75,0.6843,r2
moleculenet_freesolv,rank,256,2,0.12738,2052.62,0.7087,r2
moleculenet_freesolv,rank,1024,0,0.12742,2064.457,0.7236,r2
moleculenet_freesolv,rank,1024,1,0.12742,2064.34,0.7018,r2
moleculenet_freesolv,rank,1024,2,0.12742,2064.531,0.7022,r2
moleculenet_freesolv,n_restarts,1,0,0.127414,2055.533,0.7408,r2
moleculenet_freesolv,n_restarts,1,1,0.127396,2054.75,0.6843,r2
moleculenet_freesolv,n_restarts,1,2,0.12738,2052.619,0.7087,r2
moleculenet_freesolv,n_restarts,4,0,0.127414,2055.532,0.7408,r2
moleculenet_freesolv,n_restarts,4,1,0.127396,2054.749,0.6843,r2
moleculenet_freesolv,n_restarts,4,2,0.12738,2052.62,0.7087,r2
moleculenet_freesolv,n_restarts,16,0,0.127414,2055.532,0.7408,r2
moleculenet_freesolv,n_restarts,16,1,0.127396,2054.75,0.6843,r2
moleculenet_freesolv,n_restarts,16,2,0.12738,2052.621,0.7087,r2
