dataset,balance_slack,seed,leakage,imbalance,gen_gap
moleculenet_esol,0.0,0,0.15977,0.0514,0.87
moleculenet_esol,0.0,1,0.160372,0.0514,0.7095
moleculenet_esol,0.0,2,0.159734,0.0514,0.8424
moleculenet_esol,0.05,0,0.160514,0.0514,0.8219
moleculenet_esol,0.05,1,0.160536,0.0514,0.8502
moleculenet_esol,0.05,2,0.160519,0.0514,0.7461
moleculenet_esol,0.1,0,0.152113,0.1002,0.7652
moleculenet_esol,0.1,1,0.151994,0.1002,0.8993
moleculenet_esol,0.1,2,0.152094,0.1002,0.7828
moleculenet_esol,0.2,0,0.131551,0.2021,0.493
moleculenet_esol,0.2,1,0.131663,0.2021,0.5298
moleculenet_esol,0.2,2,0.131628,0.2021,0.5234
moleculenet_esol,0.3,0,0.109264,0.3041,0.5324
moleculenet_esol,0.3,1,0.109264,0.3041,0.5087
moleculenet_esol,0.3,2,0.109264,0.3041,0.5023
moleculenet_bace,0.0,0,0.257059,0.0516,0.234
moleculenet_bace,0.0,1,0.257036,0.0516,0.2416
moleculenet_bace,0.0,2,0.256808,0.0516,0.2264
moleculenet_bace,0.05,0,0.256849,0.0516,0.2482
moleculenet_bace,0.05,1,0.256825,0.0516,0.232
moleculenet_bace,0.05,2,0.256657,0.0516,0.2305
moleculenet_bace,0.1,0,0.245199,0.1011,0.2532
moleculenet_bace,0.1,1,0.24512,0.1011,0.2305
moleculenet_bace,0.1,2,0.245046,0.1011,0.2807
moleculenet_bace,0.2,0,0.220782,0.2003,0.3019
moleculenet_bace,0.2,1,0.220712,0.2003,0.2649
moleculenet_bace,0.2,2,0.220748,0.2003,0.2474
moleculenet_bace,0.3,0,0.194531,0.3027,0.2275
moleculenet_bace,0.3,1,0.194312,0.3027,0.2222
moleculenet_bace,0.3,2,0.194401,0.3027,0.2189
moleculenet_freesolv,0.0,0,0.127414,0.0576,0.7408
moleculenet_freesolv,0.0,1,0.127396,0.0576,0.6843
moleculenet_freesolv,0.0,2,0.12738,0.0576,0.7087
moleculenet_freesolv,0.05,0,0.127386,0.0576,0.7706
moleculenet_freesolv,0.05,1,0.127387,0.0576,0.7491
moleculenet_freesolv,0.05,2,0.12738,0.0576,0.7087
moleculenet_freesolv,0.1,0,0.11789,0.1044,0.6923
moleculenet_freesolv,0.1,1,0.117862,0.1044,0.6903
moleculenet_freesolv,0.1,2,0.117918,0.1044,0.7262
moleculenet_freesolv,0.2,0,0.09802,0.2056,0.6602
moleculenet_freesolv,0.2,1,0.098011,0.2056,0.6752
moleculenet_freesolv,0.2,2,0.098011,0.2056,0.6852
moleculenet_freesolv,0.3,0,0.078914,0.3069,0.611
moleculenet_freesolv,0.3,1,0.078914,0.3069,0.6277
moleculenet_freesolv,0.3,2,0.078914,0.3069,0.6414
