dataset,n,balance_slack,seed,leakage,imbalance,runtime_s
moleculenet_bace,1500,0.0,0,0.257664,0.05,0.524
moleculenet_bace,1500,0.0,1,0.257674,0.05,0.1892
moleculenet_bace,1500,0.0,2,0.257185,0.05,0.1897
moleculenet_bace,1500,0.05,0,0.257503,0.05,0.187
moleculenet_bace,1500,0.05,1,0.257513,0.05,0.1831
moleculenet_bace,1500,0.05,2,0.257185,0.05,0.1885
moleculenet_bace,1500,0.1,0,0.245697,0.1,0.1834
moleculenet_bace,1500,0.1,1,0.245687,0.1,0.1823
moleculenet_bace,1500,0.1,2,0.245344,0.1,0.1952
moleculenet_bace,1500,0.2,0,0.220902,0.2,0.1843
moleculenet_bace,1500,0.2,1,0.221073,0.2,0.192
moleculenet_bace,1500,0.2,2,0.220877,0.2,0.1957
moleculenet_bace,1500,0.3,0,0.19519,0.3,0.1856
moleculenet_bace,1500,0.3,1,0.195333,0.3,0.1982
moleculenet_bace,1500,0.3,2,0.195108,0.3,0.1868
moleculenet_esol,1128,0.0,0,0.15977,0.0514,0.1765
moleculenet_esol,1128,0.0,1,0.160372,0.0514,0.1728
moleculenet_esol,1128,0.0,2,0.159734,0.0514,0.1822
moleculenet_esol,1128,0.05,0,0.160514,0.0514,0.1721
moleculenet_esol,1128,0.05,1,0.160536,0.0514,0.175
moleculenet_esol,1128,0.05,2,0.160519,0.0514,0.1742
moleculenet_esol,1128,0.1,0,0.152113,0.1002,0.1706
moleculenet_esol,1128,0.1,1,0.151994,0.1002,0.1725
moleculenet_esol,1128,0.1,2,0.152094,0.1002,0.173
moleculenet_esol,1128,0.2,0,0.131551,0.2021,0.1701
moleculenet_esol,1128,0.2,1,0.131663,0.2021,0.1718
moleculenet_esol,1128,0.2,2,0.131628,0.2021,0.176
moleculenet_esol,1128,0.3,0,0.109264,0.3041,0.1714
moleculenet_esol,1128,0.3,1,0.109264,0.3041,0.1475
moleculenet_esol,1128,0.3,2,0.109264,0.3041,0.1789
qmof,1500,0.0,0,0.194102,0.05,0.2008
qmof,1500,0.0,1,0.194049,0.05,0.1807
qmof,1500,0.0,2,0.194049,0.05,0.1818
qmof,1500,0.05,0,0.194049,0.05,0.1795
qmof,1500,0.05,1,0.194072,0.05,0.181
qmof,1500,0.05,2,0.194008,0.05,0.1814
qmof,1500,0.1,0,0.183659,0.1,0.1983
qmof,1500,0.1,1,0.183782,0.1,0.1798
qmof,1500,0.1,2,0.183663,0.1,0.1867
qmof,1500,0.2,0,0.162646,0.2,0.1828
qmof,1500,0.2,1,0.16269,0.2,0.1836
qmof,1500,0.2,2,0.162606,0.2,0.1865
qmof,1500,0.3,0,0.140698,0.3,0.1805
qmof,1500,0.3,1,0.140664,0.3,0.1793
qmof,1500,0.3,2,0.140698,0.3,0.1775
