dataset,task,hardness,seed,leakage,gen_gap,metric
moleculenet_esol,regression,0.0,0,0.307244,0.2686,r2
moleculenet_esol,regression,0.0,1,0.307333,0.2668,r2
moleculenet_esol,regression,0.0,2,0.305729,0.3526,r2
moleculenet_esol,regression,0.25,0,0.284189,0.3106,r2
moleculenet_esol,regression,0.25,1,0.272619,0.3768,r2
moleculenet_esol,regression,0.25,2,0.275847,0.2863,r2
moleculenet_esol,regression,0.5,0,0.2601,0.3475,r2
moleculenet_esol,regression,0.5,1,0.247221,0.3263,r2
moleculenet_esol,regression,0.5,2,0.245302,0.372,r2
moleculenet_esol,regression,0.75,0,0.207356,0.677,r2
moleculenet_esol,regression,0.75,1,0.222331,0.5104,r2
moleculenet_esol,regression,0.75,2,0.212928,0.4931,r2
moleculenet_esol,regression,1.0,0,0.15977,0.87,r2
moleculenet_esol,regression,1.0,1,0.160372,0.7095,r2
moleculenet_esol,regression,1.0,2,0.159734,0.8424,r2
moleculenet_bace,classification,0.0,0,0.308447,0.1459,roc_auc
moleculenet_bace,classification,0.0,1,0.308336,0.0789,roc_auc
moleculenet_bace,classification,0.0,2,0.307353,0.1093,roc_auc
moleculenet_bace,classification,0.25,0,0.296188,0.1395,roc_auc
moleculenet_bace,classification,0.25,1,0.299719,0.1238,roc_auc
moleculenet_bace,classification,0.25,2,0.295161,0.1422,roc_auc
moleculenet_bace,classification,0.5,0,0.287639,0.1275,roc_auc
moleculenet_bace,classification,0.5,1,0.285764,0.1605,roc_auc
moleculenet_bace,classification,0.5,2,0.288865,0.1073,roc_auc
moleculenet_bace,classification,0.75,0,0.27251,0.2084,roc_auc
moleculenet_bace,classification,0.75,1,0.272443,0.1412,roc_auc
moleculenet_bace,classification,0.75,2,0.271554,0.1032,roc_auc
moleculenet_bace,classification,1.0,0,0.257059,0.234,roc_auc
moleculenet_bace,classification,1.0,1,0.257036,0.2416,roc_auc
moleculenet_bace,classification,1.0,2,0.256808,0.2264,roc_auc
moleculenet_freesolv,regression,0.0,0,0.306771,0.3436,r2
moleculenet_freesolv,regression,0.0,1,0.287683,0.3643,r2
moleculenet_freesolv,regression,0.0,2,0.315616,0.2622,r2
moleculenet_freesolv,regression,0.25,0,0.274353,0.3819,r2
moleculenet_freesolv,regression,0.25,1,0.265662,0.4101,r2
moleculenet_freesolv,regression,0.25,2,0.266646,0.1519,r2
moleculenet_freesolv,regression,0.5,0,0.226343,0.3868,r2
moleculenet_freesolv,regression,0.5,1,0.215181,0.3446,r2
moleculenet_freesolv,regression,0.5,2,0.229793,0.4953,r2
moleculenet_freesolv,regression,0.75,0,0.191152,0.5507,r2
moleculenet_freesolv,regression,0.75,1,0.169801,0.5684,r2
moleculenet_freesolv,regression,0.75,2,0.172214,0.4641,r2
moleculenet_freesolv,regression,1.0,0,0.127414,0.7408,r2
moleculenet_freesolv,regression,1.0,1,0.127396,0.6843,r2
moleculenet_freesolv,regression,1.0,2,0.12738,0.7087,r2
