dataset,n,balance_slack,seed,leakage,imbalance,f_train,f_val,f_test
moleculenet_bace,1513,0.0,0,0.269782,0.0549,0.811,0.0945,0.0945
moleculenet_bace,1513,0.0,1,0.269794,0.0549,0.811,0.0945,0.0945
moleculenet_bace,1513,0.0,2,0.269516,0.0549,0.811,0.0945,0.0945
moleculenet_bace,1513,0.05,0,0.26964,0.0549,0.811,0.0945,0.0945
moleculenet_bace,1513,0.05,1,0.269571,0.0549,0.811,0.0945,0.0945
moleculenet_bace,1513,0.05,2,0.269431,0.0549,0.811,0.0945,0.0945
moleculenet_bace,1513,0.1,0,0.257187,0.1011,0.8202,0.0899,0.0899
moleculenet_bace,1513,0.1,1,0.25734,0.1011,0.8202,0.0899,0.0899
moleculenet_bace,1513,0.1,2,0.257117,0.1011,0.8202,0.0899,0.0899
moleculenet_bace,1513,0.2,0,0.229973,0.2003,0.8401,0.08,0.08
moleculenet_bace,1513,0.2,1,0.230002,0.2003,0.8401,0.08,0.08
moleculenet_bace,1513,0.2,2,0.2299,0.2003,0.8401,0.08,0.08
moleculenet_bace,1513,0.3,0,0.200681,0.306,0.8612,0.0694,0.0694
moleculenet_bace,1513,0.3,1,0.200322,0.306,0.8612,0.0694,0.0694
moleculenet_bace,1513,0.3,2,0.200292,0.306,0.8612,0.0694,0.0694
moleculenet_esol,1128,0.0,0,0.171788,0.0514,0.8103,0.0949,0.0949
moleculenet_esol,1128,0.0,1,0.170968,0.0514,0.8103,0.0949,0.0949
moleculenet_esol,1128,0.0,2,0.170792,0.0514,0.8103,0.0949,0.0949
moleculenet_esol,1128,0.05,0,0.169925,0.0514,0.8103,0.0949,0.0949
moleculenet_esol,1128,0.05,1,0.169658,0.0514,0.8103,0.0949,0.0949
moleculenet_esol,1128,0.05,2,0.168642,0.0514,0.8103,0.0949,0.0949
moleculenet_esol,1128,0.1,0,0.157525,0.1046,0.8209,0.0895,0.0895
moleculenet_esol,1128,0.1,1,0.157265,0.1046,0.8209,0.0895,0.0895
moleculenet_esol,1128,0.1,2,0.156931,0.1046,0.8209,0.0895,0.0895
moleculenet_esol,1128,0.2,0,0.134538,0.2021,0.8404,0.0798,0.0798
moleculenet_esol,1128,0.2,1,0.134454,0.2021,0.8404,0.0798,0.0798
moleculenet_esol,1128,0.2,2,0.134461,0.2021,0.8404,0.0798,0.0798
moleculenet_esol,1128,0.3,0,0.11067,0.3085,0.8617,0.0691,0.0691
moleculenet_esol,1128,0.3,1,0.110639,0.3085,0.8617,0.0691,0.0691
moleculenet_esol,1128,0.3,2,0.11073,0.3085,0.8617,0.0691,0.0691
moleculenet_freesolv,642,0.0,0,0.129227,0.0654,0.8131,0.0935,0.0935
moleculenet_freesolv,642,0.0,1,0.129323,0.0654,0.8131,0.0935,0.0935
moleculenet_freesolv,642,0.0,2,0.129392,0.0654,0.8131,0.0935,0.0935
moleculenet_freesolv,642,0.05,0,0.129285,0.0654,0.8131,0.0935,0.0935
moleculenet_freesolv,642,0.05,1,0.129189,0.0654,0.8131,0.0935,0.0935
moleculenet_freesolv,642,0.05,2,0.129378,0.0654,0.8131,0.0935,0.0935
moleculenet_freesolv,642,0.1,0,0.119474,0.1121,0.8224,0.0888,0.0888
moleculenet_freesolv,642,0.1,1,0.119474,0.1121,0.8224,0.0888,0.0888
moleculenet_freesolv,642,0.1,2,0.119474,0.1121,0.8224,0.0888,0.0888
moleculenet_freesolv,642,0.2,0,0.099897,0.2056,0.8411,0.0794,0.0794
moleculenet_freesolv,642,0.2,1,0.099826,0.2056,0.8411,0.0794,0.0794
moleculenet_freesolv,642,0.2,2,0.099826,0.2056,0.8411,0.0794,0.0794
moleculenet_freesolv,642,0.3,0,0.078425,0.3146,0.8629,0.0685,0.0685
moleculenet_freesolv,642,0.3,1,0.07841,0.3146,0.8629,0.0685,0.0685
moleculenet_freesolv,642,0.3,2,0.078425,0.3146,0.8629,0.0685,0.0685
qmof,2000,0.0,0,0.204666,0.05,0.81,0.095,0.095
qmof,2000,0.0,1,0.204732,0.05,0.81,0.095,0.095
qmof,2000,0.0,2,0.204757,0.05,0.81,0.095,0.095
qmof,2000,0.05,0,0.20455,0.05,0.81,0.095,0.095
qmof,2000,0.05,1,0.20452,0.05,0.81,0.095,0.095
qmof,2000,0.05,2,0.204575,0.05,0.81,0.095,0.095
qmof,2000,0.1,0,0.193154,0.1,0.82,0.09,0.09
qmof,2000,0.1,1,0.193152,0.1,0.82,0.09,0.09
qmof,2000,0.1,2,0.193129,0.1,0.82,0.09,0.09
qmof,2000,0.2,0,0.170114,0.2,0.84,0.08,0.08
qmof,2000,0.2,1,0.170114,0.2,0.84,0.08,0.08
qmof,2000,0.2,2,0.170089,0.2,0.84,0.08,0.08
qmof,2000,0.3,0,0.14632,0.3,0.86,0.07,0.07
qmof,2000,0.3,1,0.146409,0.3,0.86,0.07,0.07
qmof,2000,0.3,2,0.146337,0.3,0.86,0.07,0.07
