dataset,task,hardness,seed,leakage,gen_gap,metric
moleculenet_esol,regression,0.0,0,0.323194,0.3338,r2
moleculenet_esol,regression,0.0,1,0.325374,0.2652,r2
moleculenet_esol,regression,0.0,2,0.323671,0.4845,r2
moleculenet_esol,regression,0.25,0,0.290269,0.228,r2
moleculenet_esol,regression,0.25,1,0.28904,0.4467,r2
moleculenet_esol,regression,0.25,2,0.288713,0.2679,r2
moleculenet_esol,regression,0.5,0,0.267158,0.3039,r2
moleculenet_esol,regression,0.5,1,0.259884,0.2271,r2
moleculenet_esol,regression,0.5,2,0.259303,0.4043,r2
moleculenet_esol,regression,0.75,0,0.217142,0.4088,r2
moleculenet_esol,regression,0.75,1,0.232884,0.6802,r2
moleculenet_esol,regression,0.75,2,0.219943,0.6173,r2
moleculenet_esol,regression,1.0,0,0.171788,0.8165,r2
moleculenet_esol,regression,1.0,1,0.170968,1.1525,r2
moleculenet_esol,regression,1.0,2,0.170792,1.3157,r2
moleculenet_bace,classification,0.0,0,0.324574,0.1697,roc_auc
moleculenet_bace,classification,0.0,1,0.324948,0.0929,roc_auc
moleculenet_bace,classification,0.0,2,0.323537,0.0987,roc_auc
moleculenet_bace,classification,0.25,0,0.311378,0.1797,roc_auc
moleculenet_bace,classification,0.25,1,0.314974,0.166,roc_auc
moleculenet_bace,classification,0.25,2,0.309385,0.1701,roc_auc
moleculenet_bace,classification,0.5,0,0.302657,0.1369,roc_auc
moleculenet_bace,classification,0.5,1,0.299685,0.1549,roc_auc
moleculenet_bace,classification,0.5,2,0.303259,0.1084,roc_auc
moleculenet_bace,classification,0.75,0,0.286082,0.1517,roc_auc
moleculenet_bace,classification,0.75,1,0.285187,0.1205,roc_auc
moleculenet_bace,classification,0.75,2,0.28503,0.1222,roc_auc
moleculenet_bace,classification,1.0,0,0.269782,0.2565,roc_auc
moleculenet_bace,classification,1.0,1,0.269794,0.1971,roc_auc
moleculenet_bace,classification,1.0,2,0.269516,0.2624,roc_auc
moleculenet_freesolv,regression,0.0,0,0.321782,0.353,r2
moleculenet_freesolv,regression,0.0,1,0.299417,0.4247,r2
moleculenet_freesolv,regression,0.0,2,0.33185,0.4795,r2
moleculenet_freesolv,regression,0.25,0,0.289777,0.414,r2
moleculenet_freesolv,regression,0.25,1,0.276103,0.63,r2
moleculenet_freesolv,regression,0.25,2,0.276062,0.1689,r2
moleculenet_freesolv,regression,0.5,0,0.231123,0.3535,r2
moleculenet_freesolv,regression,0.5,1,0.22264,0.6049,r2
moleculenet_freesolv,regression,0.5,2,0.234897,0.5854,r2
moleculenet_freesolv,regression,0.75,0,0.196336,0.7366,r2
moleculenet_freesolv,regression,0.75,1,0.174807,0.861,r2
moleculenet_freesolv,regression,0.75,2,0.176,0.5914,r2
moleculenet_freesolv,regression,1.0,0,0.129227,0.8587,r2
moleculenet_freesolv,regression,1.0,1,0.129323,0.8973,r2
moleculenet_freesolv,regression,1.0,2,0.129392,0.7777,r2
