dataset,n,seed,flat_leakage,ml_leakage,pct_gain,flat_imb,ml_imb
moleculenet_bace,1513,0,31555.0,31555.0,0.0,0.0516,0.0516
moleculenet_bace,1513,1,31555.0,31555.0,0.0,0.0516,0.0516
moleculenet_bace,1513,2,31555.0,31555.0,0.0,0.0516,0.0516
moleculenet_esol,1128,0,8264.8,8264.8,0.0,0.0514,0.0514
moleculenet_esol,1128,1,8264.8,8264.8,-0.0,0.0514,0.0514
moleculenet_esol,1128,2,8264.8,8264.8,0.0,0.0514,0.0514
moleculenet_freesolv,642,0,2055.5,2055.5,0.0,0.0576,0.0576
moleculenet_freesolv,642,1,2055.5,2055.5,0.0,0.0576,0.0576
moleculenet_freesolv,642,2,2055.5,2055.5,-0.0,0.0576,0.0576
qmof,2000,0,344074.7,344074.7,0.0,0.05,0.05
qmof,2000,1,344074.7,344074.7,0.0,0.05,0.05
qmof,2000,2,344074.7,344074.6,0.0,0.05,0.05
