method,seed,macro_leakage,imbalance,runtime_s,axis_rA,axis_rB,axis_rC
lowrank_nd,0,0.228648,0.05,3.38,0.230229,0.227751,0.227964
lowrank_nd,1,0.228642,0.05,0.85,0.230288,0.227381,0.228256
lowrank_nd,2,0.228622,0.05,0.87,0.228982,0.226404,0.230481
hypergraph_nd,0,0.308679,0.0756,98.07,0.307408,0.308602,0.310026
hypergraph_nd,1,0.308679,0.0756,95.99,0.307408,0.308602,0.310026
hypergraph_nd,2,0.308679,0.0756,96.16,0.307408,0.308602,0.310026
hypergraph_nd_knn,0,0.255802,0.2012,1.79,0.255211,0.254557,0.257639
hypergraph_nd_knn,1,0.255802,0.2012,1.58,0.255211,0.254557,0.257639
hypergraph_nd_knn,2,0.255802,0.2012,1.58,0.255211,0.254557,0.257639
random,0,0.319281,0.0,0.21,0.316487,0.321263,0.320094
random,1,0.320187,0.0,0.21,0.323413,0.32,0.317148
random,2,0.319809,0.0,0.22,0.318181,0.321249,0.319998
