dataset,landmark,rank,seed,recon_error,leakage,runtime_s
moleculenet_bace,kmeans++,32,0,0.3874,0.258029,0.2085
moleculenet_bace,kmeans++,32,1,0.3823,0.257135,0.1038
moleculenet_bace,kmeans++,32,2,0.3898,0.257144,0.1016
moleculenet_bace,kmeans++,64,0,0.3385,0.257203,0.1097
moleculenet_bace,kmeans++,64,1,0.3395,0.257503,0.1114
moleculenet_bace,kmeans++,64,2,0.3388,0.25716,0.1214
moleculenet_bace,kmeans++,128,0,0.3007,0.257481,0.1854
moleculenet_bace,kmeans++,128,1,0.3051,0.257432,0.1488
moleculenet_bace,kmeans++,128,2,0.3051,0.256915,0.1465
moleculenet_bace,kmeans++,256,0,0.2714,0.257664,0.2228
moleculenet_bace,kmeans++,256,1,0.2728,0.257674,0.2187
moleculenet_bace,kmeans++,256,2,0.2714,0.257185,0.2356
moleculenet_bace,uniform,32,0,0.3971,0.260407,0.0784
moleculenet_bace,uniform,32,1,0.3838,0.257686,0.0828
moleculenet_bace,uniform,32,2,0.3802,0.25742,0.0729
moleculenet_bace,uniform,64,0,0.3413,0.257407,0.0931
moleculenet_bace,uniform,64,1,0.3361,0.257268,0.0742
moleculenet_bace,uniform,64,2,0.3344,0.25735,0.0749
moleculenet_bace,uniform,128,0,0.3006,0.257055,0.0889
moleculenet_bace,uniform,128,1,0.3036,0.257041,0.0816
moleculenet_bace,uniform,128,2,0.3017,0.25735,0.083
moleculenet_bace,uniform,256,0,0.269,0.257403,0.0881
moleculenet_bace,uniform,256,1,0.2719,0.257376,0.0795
moleculenet_bace,uniform,256,2,0.266,0.257235,0.086
moleculenet_bace,leverage,32,0,0.3799,0.257379,0.0819
moleculenet_bace,leverage,32,1,0.3875,0.257299,0.0808
moleculenet_bace,leverage,32,2,0.3846,0.257374,0.0804
moleculenet_bace,leverage,64,0,0.3356,0.257051,0.0852
moleculenet_bace,leverage,64,1,0.3409,0.257301,0.0857
moleculenet_bace,leverage,64,2,0.331,0.25704,0.0893
moleculenet_bace,leverage,128,0,0.301,0.257155,0.104
moleculenet_bace,leverage,128,1,0.3086,0.257391,0.0932
moleculenet_bace,leverage,128,2,0.2999,0.257304,0.0897
moleculenet_bace,leverage,256,0,0.267,0.257213,0.1554
moleculenet_bace,leverage,256,1,0.2743,0.257482,0.1747
moleculenet_bace,leverage,256,2,0.2712,0.25737,0.1873
moleculenet_esol,kmeans++,32,0,0.5135,0.162619,0.1039
moleculenet_esol,kmeans++,32,1,0.4955,0.161491,0.0942
moleculenet_esol,kmeans++,32,2,0.5105,0.165903,0.0927
moleculenet_esol,kmeans++,64,0,0.3811,0.160801,0.0923
moleculenet_esol,kmeans++,64,1,0.3898,0.160962,0.1052
moleculenet_esol,kmeans++,64,2,0.3902,0.161105,0.1147
moleculenet_esol,kmeans++,128,0,0.2957,0.159977,0.1577
moleculenet_esol,kmeans++,128,1,0.3046,0.16068,0.1552
moleculenet_esol,kmeans++,128,2,0.2925,0.159784,0.1555
moleculenet_esol,kmeans++,256,0,0.2166,0.15977,0.2336
moleculenet_esol,kmeans++,256,1,0.2178,0.160372,0.1827
moleculenet_esol,kmeans++,256,2,0.2148,0.159734,0.1786
moleculenet_esol,uniform,32,0,0.4516,0.166984,0.0623
moleculenet_esol,uniform,32,1,0.4698,0.172319,0.0351
moleculenet_esol,uniform,32,2,0.4489,0.164657,0.06
moleculenet_esol,uniform,64,0,0.3649,0.164559,0.0613
moleculenet_esol,uniform,64,1,0.3718,0.161157,0.0608
moleculenet_esol,uniform,64,2,0.3611,0.162092,0.0611
moleculenet_esol,uniform,128,0,0.2923,0.160086,0.0627
moleculenet_esol,uniform,128,1,0.3047,0.16063,0.0629
moleculenet_esol,uniform,128,2,0.2852,0.159859,0.0628
moleculenet_esol,uniform,256,0,0.2325,0.15984,0.0675
moleculenet_esol,uniform,256,1,0.2164,0.159743,0.0671
moleculenet_esol,uniform,256,2,0.2122,0.160469,0.0616
moleculenet_esol,leverage,32,0,0.4609,0.166328,0.0639
moleculenet_esol,leverage,32,1,0.4808,0.166777,0.0637
moleculenet_esol,leverage,32,2,0.4504,0.167812,0.0393
moleculenet_esol,leverage,64,0,0.3688,0.1624,0.0567
moleculenet_esol,leverage,64,1,0.3844,0.163829,0.0693
moleculenet_esol,leverage,64,2,0.3626,0.161452,0.0686
moleculenet_esol,leverage,128,0,0.2879,0.160615,0.0848
moleculenet_esol,leverage,128,1,0.2947,0.16433,0.0856
moleculenet_esol,leverage,128,2,0.2937,0.159889,0.0855
moleculenet_esol,leverage,256,0,0.2218,0.160368,0.1592
moleculenet_esol,leverage,256,1,0.2196,0.160536,0.1565
moleculenet_esol,leverage,256,2,0.2204,0.160381,0.1507
qmof,kmeans++,32,0,0.0316,0.194132,0.0855
qmof,kmeans++,32,1,0.0391,0.194064,0.0745
qmof,kmeans++,32,2,0.0316,0.194087,0.0779
qmof,kmeans++,64,0,0.0208,0.194031,0.0936
qmof,kmeans++,64,1,0.0233,0.193989,0.0932
qmof,kmeans++,64,2,0.0208,0.19407,0.0949
qmof,kmeans++,128,0,0.0148,0.194031,0.1274
qmof,kmeans++,128,1,0.0153,0.194091,0.1298
qmof,kmeans++,128,2,0.0157,0.194072,0.1272
qmof,kmeans++,256,0,0.0105,0.194102,0.2351
qmof,kmeans++,256,1,0.0107,0.194049,0.2403
qmof,kmeans++,256,2,0.0108,0.194049,0.2021
qmof,uniform,32,0,0.0342,0.194073,0.0616
qmof,uniform,32,1,0.0324,0.194095,0.0616
qmof,uniform,32,2,0.0356,0.194105,0.0587
qmof,uniform,64,0,0.022,0.194043,0.0605
qmof,uniform,64,1,0.0201,0.194022,0.0597
qmof,uniform,64,2,0.0245,0.19399,0.0593
qmof,uniform,128,0,0.0153,0.194091,0.0614
qmof,uniform,128,1,0.0151,0.194008,0.061
qmof,uniform,128,2,0.0162,0.194008,0.0615
qmof,uniform,256,0,0.0117,0.19404,0.077
qmof,uniform,256,1,0.0112,0.194049,0.0745
qmof,uniform,256,2,0.0118,0.194049,0.074
qmof,leverage,32,0,0.0376,0.193892,0.0694
qmof,leverage,32,1,0.0349,0.193964,0.071
qmof,leverage,32,2,0.0331,0.194184,0.0689
