system_id,split
0,train
1,test
3,train
4,test
5,test
6,test
8,train
12,train
13,train
15,test
17,test
18,test
20,test
23,train
24,train
25,train
27,test
30,train
31,test
33,train
34,train
37,test
39,test
40,train
41,train
42,test
43,train
44,train
45,test
47,test
48,train
50,train
52,test
53,train
54,train
55,train
56,test
57,train
58,train
59,train
60,test
61,train
62,test
63,train
64,train
65,train
66,test
67,train
68,test
69,test
72,train
74,train
75,train
76,test
77,train
78,train
79,train
80,train
81,train
82,test
83,test
85,train
86,test
87,train
88,train
89,train
90,test
91,test
92,train
93,train
95,train
96,train
97,train
98,train
99,test
100,train
103,train
105,train
107,train
108,test
110,train
111,train
112,train
113,test
114,train
115,train
116,train
117,train
118,train
119,test
121,test
122,train
123,train
125,test
128,test
129,train
130,test
132,train
133,train
134,test
135,test
136,train
137,train
138,test
139,test
140,train
141,train
143,train
144,test
145,train
146,train
147,test
148,test
149,test
150,train
152,train
153,test
154,train
158,train
159,train
160,test
161,test
162,train
163,train
165,train
166,train
167,train
168,train
169,train
171,train
172,train
173,train
174,test
175,test
176,train
178,test
180,test
181,train
182,train
184,test
185,train
186,test
187,train
188,train
190,test
191,test
192,test
193,test
195,test
197,train
198,train
199,test
200,test
202,test
207,train
208,train
209,test
212,train
215,test
216,train
217,train
219,train
221,train
222,train
223,train
224,train
225,train
226,test
228,train
229,train
231,train
232,test
233,test
234,train
235,train
237,train
239,test
241,test
243,train
244,train
245,test
247,train
248,train
249,train
251,train
252,train
253,test
254,train
255,train
258,train
259,train
260,train
262,train
265,train
266,train
267,train
268,test
269,test
271,train
272,train
273,train
274,test
276,test
277,test
278,train
279,train
281,train
282,test
283,train
284,train
285,train
286,train
287,train
288,train
289,train
290,test
292,train
293,test
294,train
295,train
297,train
299,train
300,train
301,train
302,train
305,test
306,test
308,train
309,train
310,train
311,train
312,train
313,train
314,train
315,train
317,train
318,train
319,test
320,train
321,train
323,train
324,train
325,test
326,train
327,train
328,train
329,train
330,train
331,train
332,test
333,train
334,train
335,test
336,train
339,test
341,train
342,test
343,train
344,test
345,train
346,train
348,test
349,test
350,train
351,test
352,train
354,test
355,test
356,test
357,train
360,test
361,train
362,train
363,test
365,train
366,train
367,test
368,train
370,train
373,test
374,train
375,test
376,test
378,train
379,train
380,train
381,train
382,train
383,train
384,test
386,train
387,train
389,train
391,train
392,train
393,train
394,test
395,train
396,train
397,train
399,train
400,test
401,train
402,test
405,train
406,train
407,train
408,test
410,train
411,train
413,test
414,train
416,test
417,train
418,test
419,test
421,train
422,test
423,test
424,train
425,train
429,test
430,train
431,train
433,train
434,test
435,train
436,train
437,test
438,test
441,train
442,train
445,train
446,test
447,train
448,test
449,train
451,test
452,train
453,train
455,train
456,test
457,test
458,train
460,test
461,train
463,train
464,train
465,train
466,train
467,test
468,test
469,test
471,train
472,test
473,train
475,train
476,train
478,test
479,test
480,train
481,test
483,train
484,train
485,train
486,test
487,train
488,train
489,test
490,train
492,train
493,test
494,train
495,train
496,train
497,test
498,train
499,train
500,train
502,train
504,test
507,train
508,test
509,test
510,train
512,train
514,test
516,train
517,test
518,train
519,test
521,train
522,train
523,test
524,train
525,train
528,train
529,test
532,train
533,train
534,test
535,train
536,train
537,test
538,train
540,test
541,train
542,test
543,train
544,test
545,train
548,train
549,test
551,train
552,train
553,train
554,train
555,train
556,train
557,train
559,test
561,train
563,train
564,train
565,test
567,train
570,test
571,test
572,train
573,train
574,train
575,test
577,test
578,train
582,test
583,train
584,test
585,train
586,train
588,test
589,train
590,train
591,train
592,test
595,test
596,train
597,train
598,train
599,test
600,train
601,test
602,train
603,test
604,train
606,test
608,train
609,test
610,test
611,train
613,test
614,test
615,train
616,train
620,train
622,test
623,train
624,train
626,test
629,train
630,test
632,train
633,train
635,train
637,train
638,test
639,train
640,test
643,test
644,train
645,test
648,test
649,train
650,train
653,train
654,test
656,train
657,test
659,test
661,test
663,train
664,test
666,train
668,train
670,train
672,test
673,train
677,train
678,train
680,train
681,train
683,train
684,train
685,train
686,train
687,train
688,test
694,train
695,test
697,train
698,train
701,train
709,train
710,train
711,train
712,train
713,train
714,train
716,test
717,test
718,train
719,test
720,train
721,test
722,test
723,test
724,test
725,train
726,train
727,train
728,test
730,train
731,test
732,train
733,train
734,train
735,train
737,train
738,train
739,train
741,train
742,train
743,train
744,train
746,test
747,train
749,test
750,train
751,train
752,train
753,test
755,train
756,train
757,test
758,test
759,train
760,test
762,test
763,train
764,train
766,train
768,train
769,test
770,train
771,train
772,test
774,train
775,train
776,train
778,test
779,train
780,train
781,train
784,test
787,train
788,train
789,test
790,train
792,train
793,train
794,test
795,test
796,train
797,train
798,train
800,train
801,test
802,train
803,test
804,test
807,test
808,test
809,test
810,train
812,test
813,test
815,train
816,train
818,test
819,train
820,test
821,train
822,train
825,train
826,test
829,train
830,train
831,train
832,test
833,train
835,train
838,train
839,train
840,train
841,test
842,train
844,test
845,train
846,train
848,train
849,train
850,test
851,train
852,train
853,test
854,train
855,test
856,test
857,train
859,test
860,test
861,test
862,train
863,train
864,train
865,train
868,test
869,train
871,train
872,train
875,test
876,train
877,train
879,train
880,train
882,test
883,test
885,train
886,test
888,train
889,test
891,test
893,train
894,train
895,test
896,train
897,test
898,train
901,train
902,test
903,train
904,test
905,test
908,train
911,test
912,train
913,train
918,train
921,test
922,train
923,train
925,train
926,train
927,train
929,test
931,train
932,train
933,train
934,train
936,train
937,train
938,train
939,test
941,test
942,test
944,test
946,train
947,train
949,test
950,train
951,test
952,train
954,train
955,train
956,train
957,train
958,train
959,test
960,train
961,train
962,train
963,train
964,test
965,train
967,train
968,train
969,train
970,test
971,test
972,train
973,test
975,train
976,test
977,train
978,train
979,train
981,test
983,test
985,train
988,train
989,train
990,train
991,train
992,train
993,train
994,test
996,test
997,test
998,train
999,test
1000,test
1001,test
1003,test
1004,train
1006,train
1007,train
1009,test
1012,train
1013,test
1014,train
1015,train
1017,train
1018,test
1020,test
1021,test
1022,train
1023,train
1024,test
1026,test
1027,train
1030,train
1031,train
1032,test
1035,train
1036,test
1037,test
1038,train
1041,train
1042,test
1043,train
1044,train
1045,test
1049,test
1050,train
1051,train
1053,train
1055,train
1056,train
1057,test
1058,train
1059,train
1060,test
1061,train
1062,train
1064,train
1067,train
1068,test
1069,train
1070,test
1071,train
1072,train
1073,train
1076,test
1077,train
1078,test
1079,train
1080,train
1081,train
1083,train
1085,test
1086,train
1087,train
1088,test
1092,train
1093,test
1094,test
1095,train
1096,test
