system_id,split
0,not selected
1,test
3,not selected
4,train
5,not selected
6,test
8,test
12,train
13,not selected
15,train
17,not selected
18,train
20,not selected
23,train
24,train
25,train
27,not selected
30,not selected
31,train
33,train
34,train
37,not selected
39,not selected
40,not selected
41,test
42,not selected
43,not selected
44,train
45,test
47,not selected
48,not selected
50,test
52,not selected
53,test
54,not selected
55,not selected
56,not selected
57,train
58,not selected
59,not selected
60,not selected
61,train
62,test
63,train
64,not selected
65,not selected
66,not selected
67,train
68,not selected
69,train
72,not selected
74,not selected
75,not selected
76,not selected
77,train
78,not selected
79,not selected
80,test
81,train
82,train
83,not selected
85,not selected
86,not selected
87,not selected
88,train
89,not selected
90,train
91,not selected
92,not selected
93,not selected
95,not selected
96,not selected
97,train
98,train
99,not selected
100,train
103,test
105,train
107,not selected
108,not selected
110,train
111,not selected
112,train
113,not selected
114,train
115,not selected
116,not selected
117,train
118,not selected
119,train
121,test
122,test
123,not selected
125,test
128,test
129,train
130,not selected
132,not selected
133,not selected
134,train
135,not selected
136,not selected
137,train
138,not selected
139,train
140,train
141,train
143,not selected
144,not selected
145,test
146,train
147,test
148,test
149,not selected
150,not selected
152,train
153,test
154,train
158,test
159,not selected
160,train
161,not selected
162,train
163,not selected
165,not selected
166,not selected
167,not selected
168,not selected
169,train
171,test
172,test
173,not selected
174,test
175,not selected
176,train
178,test
180,not selected
181,train
182,not selected
184,train
185,not selected
186,train
187,train
188,not selected
190,not selected
191,not selected
192,train
193,not selected
195,not selected
197,train
198,test
199,test
200,test
202,train
207,test
208,not selected
209,not selected
212,train
215,not selected
216,train
217,train
219,not selected
221,train
222,test
223,train
224,test
225,train
226,test
228,not selected
229,test
231,not selected
232,test
233,not selected
234,not selected
235,train
237,not selected
239,test
241,test
243,test
244,train
245,not selected
247,not selected
248,not selected
249,not selected
251,not selected
252,train
253,train
254,not selected
255,not selected
258,not selected
259,not selected
260,train
262,not selected
265,train
266,not selected
267,train
268,test
269,train
271,not selected
272,not selected
273,not selected
274,train
276,test
277,test
278,test
279,train
281,not selected
282,train
283,test
284,not selected
285,not selected
286,not selected
287,not selected
288,not selected
289,not selected
290,test
292,not selected
293,train
294,train
295,not selected
297,not selected
299,test
300,train
301,train
302,test
305,test
306,not selected
308,not selected
309,train
310,train
311,not selected
312,test
313,train
314,not selected
315,not selected
317,train
318,not selected
319,not selected
320,not selected
321,train
323,train
324,not selected
325,train
326,not selected
327,not selected
328,not selected
329,train
330,train
331,train
332,test
333,not selected
334,not selected
335,not selected
336,train
339,train
341,train
342,train
343,test
344,test
345,train
346,not selected
348,not selected
349,not selected
350,train
351,test
352,train
354,not selected
355,train
356,train
357,not selected
360,not selected
361,not selected
362,train
363,train
365,not selected
366,train
367,not selected
368,not selected
370,not selected
373,not selected
374,not selected
375,not selected
376,not selected
378,not selected
379,not selected
380,not selected
381,not selected
382,train
383,test
384,not selected
386,train
387,train
389,not selected
391,test
392,train
393,not selected
394,not selected
395,not selected
396,test
397,not selected
399,not selected
400,not selected
401,train
402,train
405,train
406,train
407,not selected
408,test
410,not selected
411,not selected
413,not selected
414,not selected
416,test
417,train
418,not selected
419,test
421,test
422,not selected
423,train
424,train
425,train
429,train
430,train
431,not selected
433,not selected
434,train
435,not selected
436,not selected
437,train
438,not selected
441,not selected
442,test
445,not selected
446,not selected
447,not selected
448,train
449,train
451,test
452,not selected
453,not selected
455,train
456,not selected
457,not selected
458,not selected
460,train
461,train
463,train
464,not selected
465,train
466,not selected
467,not selected
468,train
469,not selected
471,not selected
472,test
473,not selected
475,not selected
476,not selected
478,not selected
