system_id,split
0,test
1,test
3,train
4,train
5,train
6,train
8,train
12,train
13,test
15,test
17,train
18,train
20,train
23,test
24,train
25,train
27,train
30,train
31,test
33,test
34,test
37,train
39,train
40,test
41,train
42,test
43,train
44,train
45,test
47,test
48,train
50,train
52,train
53,test
54,train
55,train
56,train
57,test
58,train
59,train
60,train
61,test
62,train
63,test
64,train
65,test
66,train
67,train
68,test
69,train
72,train
74,train
75,train
76,train
77,train
78,train
79,test
80,test
81,test
82,train
83,train
85,train
86,train
87,test
88,train
89,train
90,train
91,train
92,test
93,train
95,train
96,train
97,test
98,train
99,train
100,test
103,train
105,train
107,train
108,train
110,train
111,train
112,test
113,train
114,test
115,train
116,train
117,train
118,test
119,train
121,train
122,test
123,train
125,test
128,test
129,train
130,train
132,test
133,train
134,train
135,train
136,train
137,train
138,test
139,train
140,train
141,train
143,train
144,test
145,train
146,train
147,train
148,train
149,train
150,test
152,test
153,train
154,train
158,train
159,train
160,train
161,train
162,train
163,train
165,train
166,train
167,test
168,test
169,test
171,test
172,train
173,train
174,train
175,train
176,train
178,train
180,train
181,train
182,train
184,train
185,train
186,train
187,test
188,train
190,train
191,train
192,train
193,test
195,train
197,train
198,train
199,train
200,test
202,train
207,train
208,train
209,train
212,test
215,train
216,test
217,train
219,train
221,test
222,train
223,train
224,train
225,train
226,train
228,train
229,train
231,test
232,train
233,train
234,train
235,train
237,test
239,train
241,train
243,train
244,train
245,train
247,test
248,train
249,test
251,train
252,test
253,test
254,test
255,test
258,test
259,test
260,test
262,train
265,train
266,train
267,train
268,test
269,test
271,train
272,train
273,train
274,train
276,train
277,train
278,test
279,train
281,train
282,test
283,train
284,train
285,train
286,train
287,test
288,train
289,train
290,train
292,test
293,train
294,test
295,test
297,train
299,train
300,train
301,test
302,train
305,train
306,train
308,train
309,train
310,test
311,test
312,train
313,test
314,train
315,train
317,test
318,train
319,test
320,train
321,train
323,train
324,train
325,test
326,train
327,train
328,train
329,train
330,train
331,test
332,train
333,test
334,test
335,train
336,train
339,train
341,train
342,train
343,test
344,test
345,test
346,train
348,train
349,train
350,test
351,train
352,test
354,test
355,test
356,train
357,train
360,train
361,train
362,train
363,test
365,train
366,test
367,train
368,train
370,train
373,test
374,test
375,train
376,train
378,train
379,test
380,train
381,train
382,train
383,train
384,test
386,train
387,train
389,train
391,train
392,test
393,train
394,test
395,train
396,train
397,train
399,train
400,train
401,test
402,test
405,train
406,train
407,test
408,train
410,train
411,test
413,train
414,train
416,train
417,test
418,train
419,train
421,test
422,train
423,train
424,train
425,train
429,test
430,train
431,train
433,train
434,train
435,train
436,train
437,test
438,train
441,train
442,train
445,train
446,train
447,test
448,train
449,train
451,train
452,train
453,train
455,test
456,train
457,train
458,test
460,train
461,test
463,train
464,test
465,train
466,test
467,train
468,train
469,test
471,train
472,train
473,test
475,train
476,train
478,train
479,test
480,train
481,test
483,train
484,train
485,train
486,train
487,train
488,train
489,train
490,test
492,test
493,test
494,train
495,train
496,train
497,test
498,test
499,train
500,train
502,train
504,train
507,train
508,test
509,train
510,train
512,test
514,train
516,train
517,test
518,train
519,train
521,test
522,test
523,test
524,train
525,train
528,test
529,train
532,train
533,train
534,train
535,test
536,train
537,test
538,train
540,train
541,train
542,train
543,train
544,train
545,train
548,test
549,test
551,train
552,test
553,train
554,train
555,train
556,train
557,test
559,train
561,train
563,train
564,train
565,test
567,test
570,test
571,train
572,train
573,test
574,test
575,test
577,train
578,test
582,train
583,test
584,test
585,test
586,train
588,train
589,test
590,test
591,train
592,test
595,train
596,test
597,train
598,train
599,train
600,train
601,train
602,train
603,train
604,train
606,test
608,train
609,test
610,train
611,train
613,train
614,test
615,test
616,test
620,train
622,train
623,train
624,train
626,train
629,test
630,train
632,test
633,train
635,test
637,train
638,train
639,train
640,train
643,test
644,train
645,test
648,train
649,train
650,train
653,train
654,train
656,test
657,train
659,test
661,test
663,train
664,train
666,train
668,test
670,train
672,test
673,train
677,train
678,test
680,test
681,train
683,train
684,train
685,train
686,test
687,test
688,train
694,train
695,test
697,train
698,test
701,train
709,test
710,test
711,train
712,train
713,train
714,train
716,train
717,train
718,test
719,train
720,train
721,train
722,train
723,train
724,train
725,train
726,train
727,test
728,train
730,test
731,train
732,train
733,train
734,train
735,test
737,train
738,test
739,test
741,train
742,train
743,train
744,test
746,train
747,test
749,train
750,test
751,train
752,test
753,test
755,test
756,train
757,train
758,train
759,train
760,train
762,train
763,train
764,train
766,test
768,train
769,test
770,train
771,train
772,train
774,train
775,train
776,train
778,test
779,train
780,train
781,train
784,train
787,train
788,train
789,test
790,train
792,test
793,train
794,train
795,train
796,train
797,train
798,test
800,test
801,test
802,train
803,test
804,train
807,train
808,test
809,test
810,train
812,test
813,train
815,train
816,train
818,test
819,train
820,test
821,train
822,train
825,train
826,train
829,test
830,train
831,train
832,train
833,test
835,train
838,test
839,train
840,train
841,train
842,test
844,train
845,train
846,train
848,train
849,train
850,test
851,train
852,train
853,test
854,train
855,train
856,test
857,train
859,train
860,test
861,train
862,train
863,train
864,train
865,test
868,train
869,train
871,train
872,test
875,train
876,train
877,train
879,train
880,test
882,train
883,test
885,test
886,test
888,train
889,train
891,test
893,train
894,train
895,train
896,train
897,train
898,train
901,train
902,train
903,train
904,test
905,test
908,train
911,test
912,train
913,train
918,train
921,train
922,test
923,test
925,train
926,test
927,train
929,train
931,test
932,train
933,train
934,train
936,train
937,test
938,train
939,train
941,test
942,train
944,train
946,test
947,train
949,test
950,train
951,train
952,train
954,test
955,train
956,train
957,train
958,train
959,test
960,train
961,test
962,train
963,test
964,train
965,train
967,train
968,test
969,test
970,train
971,train
972,train
973,train
975,train
976,train
977,train
978,train
979,train
981,train
983,train
985,test
988,train
989,test
990,train
991,train
992,train
993,test
994,test
996,train
997,train
998,train
999,train
1000,train
1001,train
1003,train
1004,train
1006,train
1007,train
1009,test
1012,train
1013,train
1014,train
1015,test
1017,train
1018,train
1020,train
1021,train
1022,test
1023,train
1024,train
1026,train
1027,train
1030,train
1031,train
1032,train
1035,test
1036,train
1037,test
1038,train
1041,test
1042,train
1043,train
1044,test
1045,train
1049,test
1050,train
1051,test
1053,train
1055,train
1056,train
1057,test
1058,train
1059,train
1060,train
1061,train
1062,train
1064,train
1067,train
1068,test
1069,test
1070,train
1071,test
1072,test
1073,test
1076,test
1077,train
1078,test
1079,train
1080,test
1081,test
1083,train
1085,test
1086,test
1087,train
1088,test
1092,train
1093,train
1094,test
1095,train
1096,train
1097,train
1098,train
1099,train
1100,train
1102,train
1103,train
1104,test
1107,train
1108,train
1110,test
1112,train
1113,train
1114,train
1116,train
1117,test
1118,train
1119,test
1120,train
1121,train
1123,train
1125,train
1127,train
1128,test
1129,train
1130,test
1131,test
1132,train
1134,test
1135,train
1136,test
1139,train
1141,train
1142,test
1143,train
1145,train
1148,train
1149,test
1150,train
1151,test
1152,train
1153,train
1154,train
1155,train
1156,test
1159,train
1161,train
1163,test
1164,train
1166,train
1168,train
1169,test
1170,train
1171,test
1172,test
1173,test
1174,train
1175,test
1176,train
1177,train
1178,test
1179,train
1180,train
1181,train
1182,test
1183,train
1184,test
1185,test
1186,train
1190,train
1191,train
1192,train
1193,train
1194,test
1195,train
1198,test
1200,train
1201,test
1202,train
1203,train
1204,train
1205,train
1206,train
1208,train
1209,train
1210,test
1211,train
1212,test
1213,train
1214,train
1215,train
1216,train
1217,test
1218,test
1219,train
1221,train
1222,train
1224,train
1225,train
1226,train
1227,test
1229,test
1231,train
1233,train
1235,train
1237,test
1239,train
1240,test
1241,train
1243,train
1246,train
1248,test
1249,train
1250,train
1253,train
1257,train
1258,train
1259,test
1260,train
1261,train
1263,train
1264,train
1265,test
1266,train
1267,test
1268,train
1269,train
1271,train
1272,train
1274,train
1276,train
1277,train
1278,train
1279,test
1280,train
1281,test
1284,test
1285,train
1286,train
1288,train
1289,train
1290,train
1291,train
1294,train
1295,test
1296,test
1297,train
1298,train
1299,train
1302,train
1303,train
1304,train
1308,train
1311,train
1313,train
1315,train
1316,train
1317,train
1318,train
1319,test
1321,test
1322,train
1323,train
1324,test
1325,train
1326,train
1328,test
1329,test
1330,train
1331,train
1332,train
1335,test
1336,train
1337,train
1338,test
1339,test
1340,train
1342,test
1343,train
1346,train
1347,train
1348,train
1349,train
1350,test
1353,train
1355,train
1356,train
1357,test
1358,test
1359,test
1360,train
1361,train
1362,test
1366,train
1369,train
1370,train
1371,train
1372,train
1373,train
1374,train
1375,train
1376,train
1378,train
1380,train
1381,train
1382,train
1384,train
1385,train
1386,train
1390,train
1391,train
1392,test
1393,train
1394,train
1395,train
1396,test
1397,train
1399,train
1400,train
1401,test
1403,test
1404,train
1405,train
1406,train
1408,train
1409,train
1410,test
1411,test
1412,train
1413,train
1414,train
1415,test
1416,train
1417,train
1418,train
1419,test
1421,train
1424,test
1425,test
1426,train
1427,train
1428,train
1430,test
1431,train
1432,train
1434,train
1436,test
1437,test
1438,train
1439,test
1441,train
1443,train
1444,test
1446,test
1447,train
1449,test
1450,test
1451,test
1452,train
1453,train
1455,train
1456,train
1457,train
1458,train
1459,train
1460,train
1461,test
1462,test
1463,train
1464,train
1466,train
1467,test
1469,train
1472,test
1475,test
1477,train
1478,test
1481,train
1482,train
1483,test
1484,train
1485,train
1486,train
1489,test
1491,train
1492,test
1494,train
1496,test
1499,train
1500,test
1505,train
1507,train
1508,train
1510,train
1511,test
1513,test
1515,train
1518,train
1519,test
1520,train
1521,test
1522,train
1523,train
1524,test
1525,train
1526,train
1527,test
1528,train
1529,test
1530,train
1531,test
1533,train
1534,train
1535,train
1536,train
1539,test
1540,train
1541,test
1543,train
1545,train
1547,train
1549,train
1550,test
1551,train
1552,test
1553,train
1554,train
1555,train
1557,train
1558,train
1559,test
1562,test
1564,train
1565,train
1567,train
1568,test
1569,train
1570,test
1571,train
1572,train
1573,train
1574,train
1575,test
1576,train
1577,test
1578,test
1579,test
1580,test
1581,test
1582,test
1583,train
1584,train
1587,train
1588,test
1590,test
1592,train
1593,train
1594,test
1595,train
1597,train
1598,test
1599,test
1600,test
1601,train
1602,train
1603,train
1604,test
1607,train
1609,train
1610,train
1611,test
1613,train
1614,test
1615,test
1616,test
1617,train
1618,train
1620,train
1621,train
1622,train
1623,train
1624,train
1627,train
1629,test
1630,train
1631,train
1632,train
1634,train
1635,train
1636,test
1637,train
1639,train
1642,train
1643,test
1644,train
1645,test
1646,train
1647,test
