system_id,split
0,train
1,train
3,train
4,train
5,test
6,test
8,test
12,train
13,test
15,train
17,train
18,train
20,train
23,train
24,test
25,test
27,train
30,test
31,train
33,train
34,train
37,train
39,train
40,train
41,train
42,train
43,train
44,test
45,train
47,train
48,train
50,train
52,train
53,test
54,train
55,train
56,train
57,train
58,train
59,test
60,train
61,train
62,train
63,train
64,train
65,test
66,test
67,train
68,train
69,test
72,test
74,train
75,train
76,test
77,train
78,train
79,test
80,train
81,train
82,test
83,test
85,train
86,test
87,train
88,train
89,train
90,test
91,train
92,train
93,train
95,test
96,train
97,train
98,train
99,test
100,test
103,train
105,test
107,train
108,train
110,train
111,train
112,train
113,train
114,train
115,test
116,train
117,train
118,test
119,test
121,train
122,train
123,train
125,train
128,train
129,train
130,train
132,train
133,test
134,train
135,test
136,train
137,train
138,train
139,test
140,train
141,train
143,train
144,train
145,test
146,train
147,train
148,test
149,test
150,train
152,train
153,train
154,train
158,test
159,train
160,test
161,train
162,train
163,train
165,train
166,train
167,train
168,train
169,train
171,test
172,train
173,train
174,train
175,train
176,test
178,train
180,train
181,test
182,train
184,test
185,train
186,train
187,train
188,train
190,test
191,train
192,train
193,test
195,train
197,test
198,test
199,test
200,train
202,test
207,train
208,test
209,test
212,train
215,train
216,train
217,train
219,train
221,train
222,train
223,train
224,train
225,train
226,train
228,train
229,test
231,train
232,train
233,train
234,test
235,train
237,train
239,train
241,train
243,train
244,train
245,train
247,train
248,train
249,train
251,test
252,test
253,test
254,train
255,test
258,train
259,test
260,train
262,train
265,train
266,train
267,test
268,train
269,test
271,test
272,test
273,train
274,train
276,train
277,test
278,train
279,test
281,test
282,train
283,train
284,test
285,test
286,train
287,train
288,test
289,test
290,test
292,train
293,train
294,test
295,test
297,test
299,train
300,test
301,train
302,test
305,train
306,test
308,train
309,train
310,train
311,train
312,test
313,train
314,train
315,train
317,train
318,train
319,train
320,train
321,test
323,train
324,test
325,test
326,train
327,train
328,train
329,train
330,train
331,train
332,test
333,test
334,train
335,train
336,test
339,train
341,train
342,test
343,train
344,train
345,test
346,test
348,train
349,train
350,train
351,test
352,train
354,train
355,train
356,test
357,train
360,train
361,test
