system_id,split
0,train
1,test
3,train
4,train
5,train
6,test
8,train
12,train
13,test
15,train
17,train
18,train
20,test
23,train
24,train
25,train
27,train
30,train
31,train
33,train
34,train
37,train
39,train
40,train
41,train
42,train
43,train
44,train
45,test
47,train
48,test
50,train
52,train
53,test
54,test
55,test
56,train
57,train
58,train
59,train
60,train
61,train
62,test
63,train
64,train
65,test
66,train
67,train
68,train
69,train
72,train
74,train
75,train
76,train
77,train
78,test
79,test
80,test
81,train
82,train
83,train
85,train
86,train
87,test
88,train
89,train
90,train
91,train
92,train
93,train
95,train
96,test
97,train
98,train
99,train
100,train
103,test
105,train
107,train
108,train
110,train
111,train
112,train
113,train
114,train
115,test
116,train
117,train
118,train
119,train
121,train
122,test
123,train
125,test
128,test
129,train
130,test
132,test
133,train
134,train
135,train
136,train
137,train
138,train
139,train
140,train
141,train
143,test
144,train
145,train
146,train
147,test
148,test
149,train
150,test
152,train
153,train
154,train
158,train
159,test
160,train
161,train
162,train
163,train
165,train
166,test
167,train
168,test
169,train
171,test
172,train
173,train
174,test
175,train
176,train
178,train
180,train
181,train
182,train
184,train
185,test
186,train
187,train
188,train
190,test
191,test
192,train
193,test
195,train
197,train
198,test
199,test
200,test
202,train
207,train
208,train
209,train
212,train
215,train
216,train
217,train
219,train
221,train
222,train
223,train
224,train
225,train
226,train
228,train
229,train
231,train
232,test
233,train
234,train
235,train
237,test
239,train
241,train
243,train
244,train
245,test
247,train
248,train
249,test
251,train
252,train
253,train
254,test
255,train
258,test
259,test
260,train
262,train
265,train
266,train
267,train
268,test
269,train
271,test
272,train
273,train
274,train
276,train
277,train
278,test
279,train
281,train
282,train
283,train
284,test
285,test
286,train
287,test
288,train
289,train
290,train
292,train
293,train
294,train
295,train
297,test
299,train
300,train
301,train
302,train
305,train
306,train
308,train
309,train
310,train
311,train
312,test
313,train
314,train
315,train
317,train
318,test
319,train
320,test
321,train
323,train
324,train
325,train
326,test
327,train
328,train
329,train
330,train
331,train
332,test
333,test
334,train
335,train
336,train
339,train
341,train
342,train
343,test
344,test
345,train
346,test
348,train
349,train
350,train
351,train
352,train
354,test
355,train
356,train
357,train
360,train
361,train
362,train
363,train
365,train
366,train
367,train
368,test
370,train
373,train
374,train
375,train
376,train
378,train
379,test
380,test
381,train
382,train
383,train
384,train
386,train
387,train
389,train
391,train
392,train
393,train
394,test
395,train
396,test
397,train
399,train
400,train
401,train
402,train
405,train
406,train
407,test
408,test
410,train
411,test
413,train
414,train
416,test
417,train
418,train
419,train
421,test
422,train
423,train
424,train
425,train
429,train
430,train
431,test
433,train
434,train
435,train
436,train
437,train
438,test
441,train
442,train
445,train
446,train
447,test
448,train
449,train
451,train
452,train
453,train
455,train
456,train
457,train
458,test
460,train
461,train
463,train
464,test
465,train
466,train
467,test
468,train
469,train
471,train
472,train
473,test
475,test
476,test
478,train
479,test
480,test
481,test
483,train
484,train
485,train
486,test
487,test
488,train
489,test
490,test
492,test
493,train
494,test
495,test
496,train
497,train
498,train
499,test
500,train
502,train
504,train
507,train
508,train
509,train
510,train
512,train
514,train
516,test
517,train
518,train
519,train
521,train
522,train
523,train
524,train
525,train
528,train
529,test
532,train
533,test
534,train
535,test
536,test
537,test
538,train
540,train
541,train
542,train
543,train
544,train
545,train
548,test
549,test
551,train
552,train
553,train
554,test
555,test
556,train
557,train
559,train
561,test
563,test
564,test
565,train
567,train
570,train
571,train
572,test
573,train
574,test
575,train
577,train
578,test
582,test
583,train
584,train
585,train
586,train
588,test
589,test
590,test
591,test
592,test
595,train
596,test
597,test
598,train
599,train
600,train
601,test
602,train
603,train
604,train
606,train
608,train
609,test
610,train
611,train
613,train
614,train
615,train
616,train
620,test
622,train
623,train
624,train
626,train
629,train
630,train
632,train
633,train
635,train
637,test
638,test
639,train
640,test
643,train
644,train
645,test
648,test
649,train
650,train
653,test
654,train
656,train
657,train
659,train
661,test
663,train
664,train
666,test
668,train
670,train
672,test
673,train
677,train
678,train
680,train
681,test
683,train
684,train
685,train
686,test
687,train
688,train
694,test
695,train
697,train
698,test
701,train
709,train
710,train
711,train
712,train
713,train
714,train
716,train
717,train
718,train
719,train
720,train
721,train
722,train
723,test
724,train
725,test
726,train
727,train
728,train
730,train
731,train
732,train
733,train
734,train
735,train
737,test
738,train
739,train
741,test
742,train
743,train
744,train
746,train
747,train
749,train
750,train
751,train
752,train
753,train
755,train
756,train
757,train
758,test
759,train
760,train
762,train
763,train
764,train
766,train
768,train
769,test
770,train
771,train
772,train
774,train
775,train
776,train
778,train
779,train
780,train
781,train
784,train
787,train
788,train
789,test
790,train
792,train
793,train
794,train
795,train
796,test
797,train
798,test
800,test
801,train
802,train
803,train
804,train
807,train
808,test
809,train
810,train
812,train
813,test
815,train
816,test
818,train
819,train
820,train
821,test
822,train
825,test
826,train
829,train
830,train
831,train
832,train
833,test
835,train
838,train
839,train
840,train
841,train
842,test
844,train
845,train
846,train
848,train
849,train
850,train
851,train
852,test
853,train
854,train
855,train
856,train
857,train
859,train
860,train
861,train
862,train
863,train
864,test
865,train
868,train
869,train
871,test
872,train
875,train
876,train
877,test
879,test
880,train
882,train
883,train
885,train
886,train
888,train
889,train
891,train
893,train
894,train
895,train
896,test
897,test
898,train
901,train
902,train
903,train
904,train
905,train
908,train
911,test
912,test
913,train
918,train
921,test
922,train
923,test
925,train
926,test
927,train
929,train
931,train
932,test
933,train
934,train
936,train
937,train
938,train
939,train
941,train
942,test
944,train
946,train
947,train
949,train
950,train
951,train
952,train
954,train
955,train
956,train
957,train
958,train
959,train
960,train
961,test
962,train
963,train
964,train
965,train
967,train
968,train
969,train
970,train
971,train
972,train
973,train
975,test
976,train
977,test
978,train
979,train
981,train
983,train
985,test
988,train
989,test
990,train
991,train
992,train
993,train
994,test
996,train
997,train
998,train
999,test
1000,train
1001,train
1003,test
1004,train
1006,train
1007,train
1009,train
1012,train
1013,train
1014,train
1015,test
1017,train
1018,train
1020,train
1021,train
1022,train
1023,train
1024,train
1026,train
1027,train
1030,train
1031,train
1032,train
1035,test
1036,test
1037,train
1038,train
1041,test
1042,train
1043,train
1044,train
1045,train
1049,train
1050,train
1051,train
1053,train
1055,train
1056,test
1057,train
1058,train
1059,train
1060,train
1061,train
1062,train
1064,train
1067,train
1068,train
1069,train
1070,train
1071,train
1072,train
1073,train
1076,train
1077,train
1078,train
1079,train
1080,test
1081,test
1083,train
1085,test
1086,train
1087,test
1088,train
1092,train
1093,train
1094,test
1095,train
1096,train
