system_id,split
0,test
1,train
3,train
4,train
5,train
6,train
8,train
12,test
13,train
15,test
17,train
18,train
20,train
23,train
24,train
25,train
27,train
30,train
31,train
33,train
34,test
37,train
39,train
40,test
41,train
42,train
43,train
44,train
45,train
47,test
48,train
50,train
52,train
53,train
54,train
55,train
56,test
57,train
58,train
59,train
60,train
61,train
62,train
63,test
64,train
65,train
66,train
67,train
68,train
69,train
72,train
74,test
75,train
76,train
77,test
78,train
79,train
80,train
81,train
82,train
83,train
85,train
86,train
87,train
88,train
89,train
90,train
91,train
92,test
93,train
95,train
96,train
97,train
98,train
99,test
100,train
103,train
105,train
107,train
108,test
110,train
111,train
112,test
113,train
114,train
115,train
116,train
117,train
118,train
119,train
121,train
122,train
123,train
125,train
128,train
129,train
130,train
132,train
133,train
134,train
135,train
136,train
137,train
138,test
139,train
140,test
141,train
143,train
144,test
145,train
146,train
147,train
148,train
149,train
150,train
152,train
153,train
154,train
158,train
159,train
160,train
161,test
162,train
163,train
165,train
166,train
167,train
168,train
169,test
171,train
172,train
173,train
174,train
175,train
176,train
178,train
180,train
181,test
182,train
184,train
185,train
186,train
187,test
188,train
190,train
191,train
192,train
193,train
195,train
197,train
198,train
199,train
200,train
202,train
207,train
208,train
209,train
212,test
215,train
216,train
217,train
219,train
221,train
222,train
223,train
224,train
225,train
226,train
228,test
229,train
231,test
232,train
233,train
234,train
235,train
237,train
239,train
241,train
243,train
244,train
245,train
247,train
248,test
249,train
251,train
252,test
253,train
254,train
255,test
258,train
259,train
260,train
262,train
265,train
266,train
267,test
268,train
269,test
271,train
272,train
273,train
274,test
276,train
277,train
278,train
279,train
281,train
282,test
283,train
284,train
285,train
286,test
287,train
288,train
289,test
290,train
292,test
293,test
294,test
295,test
297,train
299,train
300,train
301,train
302,train
305,train
306,train
308,train
309,test
310,test
311,test
312,train
313,train
314,train
315,test
317,train
318,train
319,test
320,train
321,train
323,train
324,train
325,train
326,train
327,train
328,train
329,train
330,train
331,train
332,train
333,train
334,test
335,train
336,train
339,test
341,test
342,train
343,train
344,train
345,test
346,train
348,test
349,train
350,train
351,train
352,train
354,train
355,test
356,train
357,train
360,train
361,train
362,train
363,test
365,train
366,test
367,train
368,train
370,train
373,test
374,train
375,train
376,train
378,train
379,train
380,train
381,train
382,train
383,train
384,test
386,train
387,train
389,train
391,train
392,train
393,train
394,train
395,train
396,train
397,train
399,train
400,train
401,test
402,train
405,test
406,test
407,train
408,train
410,train
411,train
413,test
414,train
416,train
417,train
418,train
419,train
421,train
422,train
423,train
424,test
425,train
429,train
430,train
431,train
433,train
434,train
435,train
436,train
437,train
438,train
441,train
442,train
445,train
446,train
447,train
448,train
449,train
451,train
452,train
453,train
455,train
456,train
457,train
458,train
460,train
461,train
463,train
464,train
465,test
466,train
467,train
468,train
469,train
471,train
472,train
473,train
475,train
476,train
478,train
479,train
480,train
481,train
483,train
484,train
485,train
486,train
487,train
488,train
489,train
490,train
492,train
493,test
494,train
495,train
496,train
497,train
498,test
499,train
500,train
502,train
504,test
507,train
508,train
509,train
510,test
512,train
514,test
516,train
517,test
518,train
519,train
521,train
522,test
523,test
524,train
525,train
528,test
529,train
532,train
533,train
534,test
535,train
536,train
537,train
538,train
540,train
541,train
542,test
543,train
544,train
545,train
548,train
549,train
551,train
552,train
553,train
554,train
555,train
556,train
557,test
559,train
561,train
563,train
564,train
565,test
567,test
570,test
571,train
572,train
573,train
574,train
575,test
577,test
578,train
582,train
583,train
584,train
585,test
586,train
588,train
589,train
590,train
591,train
592,train
595,train
596,train
597,train
598,train
599,train
600,train
601,train
602,train
603,train
604,train
606,test
608,train
609,train
610,train
611,train
613,train
614,train
615,test
616,train
620,train
622,train
623,train
624,train
626,train
629,train
630,train
632,train
633,test
635,test
637,train
638,train
639,train
640,train
643,test
644,train
645,train
648,train
649,train
650,test
653,train
654,test
656,test
657,train
659,test
661,train
663,train
664,train
666,train
668,test
670,train
672,train
673,train
677,train
678,train
680,test
681,train
683,train
684,test
685,train
686,train
687,test
688,train
694,train
695,test
697,train
698,train
701,train
709,test
710,test
711,train
712,train
713,train
714,train
716,test
717,test
718,test
719,train
720,train
721,train
722,train
723,train
724,train
725,train
726,test
727,test
728,train
730,test
731,train
732,train
733,train
734,train
735,test
737,train
738,test
739,test
741,train
742,train
743,train
744,train
746,train
747,test
749,train
750,test
751,train
752,train
753,test
755,train
756,train
757,train
758,train
759,test
760,train
762,train
763,train
764,test
766,train
768,train
769,train
770,train
771,train
772,train
774,test
775,train
776,train
778,test
779,train
780,test
781,train
784,train
787,train
788,test
789,train
790,train
792,test
793,train
794,train
795,train
796,train
797,test
798,train
800,train
801,train
802,train
803,test
804,train
807,test
808,train
809,test
810,train
812,train
813,train
815,train
816,train
818,test
819,train
820,train
821,train
822,train
825,train
826,test
829,test
830,test
831,train
832,test
833,train
835,train
838,train
839,test
840,train
841,test
842,train
844,test
845,train
846,train
848,test
849,train
850,train
851,train
852,train
853,test
854,test
855,train
856,test
857,train
859,train
860,train
861,train
862,train
863,train
864,train
865,train
868,train
869,test
871,train
872,train
875,test
876,train
877,train
879,train
880,train
882,test
883,test
885,test
886,test
888,train
889,train
891,train
893,train
894,train
895,train
896,train
897,train
898,train
901,train
902,train
903,train
904,test
905,test
908,train
911,train
912,train
913,train
918,train
921,train
922,train
923,train
925,train
926,train
927,train
929,train
931,train
932,train
933,train
934,train
936,train
937,train
938,train
939,train
941,test
942,train
944,train
946,test
947,train
949,test
950,train
951,test
952,train
954,test
955,train
956,train
957,train
958,train
959,test
960,train
961,train
962,train
963,train
964,train
965,train
967,train
968,train
969,test
970,test
971,train
972,train
973,train
975,train
976,train
977,train
978,train
979,train
981,train
983,train
985,train
988,test
989,train
990,test
991,train
992,test
993,test
994,train
996,train
997,train
998,train
999,train
1000,train
1001,test
1003,train
1004,train
1006,train
1007,train
1009,train
1012,train
1013,test
1014,train
1015,train
1017,train
1018,train
1020,train
1021,train
1022,test
1023,train
1024,train
1026,train
1027,train
1030,train
1031,train
1032,train
1035,train
1036,train
1037,train
1038,train
1041,train
1042,train
1043,train
1044,test
1045,train
1049,test
1050,train
1051,train
1053,train
1055,train
1056,train
1057,train
1058,train
1059,train
1060,train
1061,train
1062,train
1064,train
1067,train
1068,test
1069,test
1070,train
1071,test
1072,test
1073,test
1076,train
1077,train
1078,test
1079,test
1080,train
1081,train
1083,train
1085,train
1086,train
1087,train
1088,test
1092,train
1093,test
1094,train
1095,train
1096,train
1097,train
1098,train
1099,train
1100,train
1102,train
1103,train
1104,train
1107,test
1108,train
1110,test
1112,train
1113,train
1114,train
1116,train
1117,train
1118,train
1119,test
1120,train
1121,train
1123,train
1125,train
1127,train
1128,train
1129,train
1130,test
1131,test
1132,train
1134,train
1135,train
1136,train
1139,train
1141,train
1142,train
1143,test
1145,train
1148,test
1149,train
1150,train
1151,test
1152,test
1153,train
1154,train
1155,train
1156,train
1159,train
1161,train
