system_id,split
0,train
1,train
3,train
4,train
5,train
6,train
8,train
12,train
13,train
15,train
17,train
18,train
20,train
23,train
24,test
25,train
27,train
30,test
31,train
33,train
34,train
37,train
39,train
40,train
41,train
42,train
43,test
44,train
45,train
47,train
48,train
50,train
52,train
53,train
54,train
55,train
56,train
57,train
58,train
59,train
60,train
61,train
62,test
63,train
64,test
65,train
66,train
67,test
68,train
69,test
72,train
74,train
75,train
76,train
77,train
78,train
79,train
80,train
81,train
82,train
83,train
85,train
86,train
87,test
88,train
89,train
90,train
91,train
92,train
93,train
95,test
96,train
97,test
98,train
99,train
100,train
103,train
105,test
107,train
108,train
110,train
111,train
112,train
113,test
114,train
115,train
116,train
117,train
118,train
119,train
121,train
122,test
123,train
125,test
128,train
129,train
130,train
132,train
133,train
134,train
135,train
136,train
137,test
138,train
139,train
140,test
141,test
143,train
144,train
145,train
146,train
147,test
148,train
149,train
150,test
152,train
153,train
154,test
158,train
159,train
160,train
161,train
162,train
163,train
165,train
166,train
167,train
168,test
169,train
171,train
172,train
173,train
174,train
175,train
176,train
178,test
180,train
181,train
182,test
184,train
185,train
186,train
187,train
188,train
190,train
191,train
192,train
193,train
195,train
197,train
198,train
199,train
200,train
202,train
207,train
208,train
209,train
212,train
215,train
216,train
217,test
219,train
221,test
222,train
223,train
224,train
225,train
226,train
228,train
229,train
231,train
232,test
233,train
234,train
235,train
237,train
239,test
241,train
243,train
244,train
245,train
247,train
248,train
249,train
251,train
252,train
253,train
254,train
255,train
258,test
259,train
260,test
262,test
265,train
266,train
267,train
268,train
269,train
271,train
272,train
273,train
274,train
276,train
277,train
278,train
279,train
281,train
282,train
283,train
284,train
285,train
286,train
287,test
288,train
289,test
290,train
292,test
293,train
294,train
295,train
297,test
299,train
300,train
301,test
302,train
305,train
306,test
308,train
309,train
310,train
311,train
312,train
313,train
314,train
315,train
317,train
318,train
319,test
320,train
321,test
323,test
324,train
325,train
326,train
327,train
328,train
329,test
330,train
331,train
332,train
333,train
334,train
335,test
336,train
339,train
341,train
342,train
343,train
344,train
345,train
346,test
348,test
349,train
350,train
351,train
352,test
354,train
355,train
356,train
357,test
360,train
361,train
