system_id,split
0,train
1,train
3,test
4,test
5,test
6,test
8,train
12,train
13,train
15,train
17,train
18,train
20,train
23,train
24,train
25,test
27,test
30,train
31,train
33,train
34,train
37,train
39,train
40,train
41,test
42,test
43,train
44,train
45,train
47,train
48,test
50,train
52,train
53,train
54,train
55,train
56,test
57,train
58,train
59,test
60,train
61,train
62,train
63,train
64,test
65,test
66,test
67,train
68,train
69,train
72,train
74,test
75,test
76,train
77,train
78,train
79,train
80,train
81,train
82,train
83,train
85,test
86,train
87,train
88,train
89,train
90,train
91,train
92,train
93,train
95,train
96,train
97,train
98,test
99,train
100,train
103,train
105,test
107,train
108,train
110,train
111,train
112,train
113,test
114,train
115,test
116,train
117,train
118,test
119,train
121,train
122,train
123,train
125,test
128,train
129,test
130,train
132,train
133,train
134,test
135,train
136,train
137,train
138,train
139,train
140,train
141,train
143,train
144,test
145,train
146,train
147,train
148,test
149,train
150,train
152,train
153,test
154,train
158,train
159,train
160,train
161,test
162,test
163,train
165,test
166,train
167,train
168,train
169,train
171,train
172,train
173,train
174,train
175,train
176,train
178,train
180,train
181,train
182,train
184,train
185,test
186,train
187,train
188,train
190,train
191,test
192,train
193,train
195,train
197,train
198,train
199,train
200,train
202,train
207,test
208,train
209,train
212,train
215,train
216,train
217,train
219,train
221,test
222,train
223,train
224,test
225,train
226,train
228,train
229,test
231,train
232,train
233,train
234,train
235,train
237,test
239,test
241,test
243,train
244,train
245,train
247,train
248,train
249,train
251,train
252,train
253,train
254,train
255,test
258,test
259,train
260,train
262,train
265,train
266,test
267,train
268,train
269,train
271,train
272,train
273,train
274,train
276,test
277,train
278,test
279,train
281,train
282,train
283,train
284,train
285,train
286,test
287,train
288,train
289,train
290,train
292,train
293,train
294,train
295,test
297,train
299,train
300,train
301,train
302,train
305,train
306,train
308,train
309,train
310,train
311,test
312,test
313,train
314,train
315,train
317,train
318,train
319,train
320,train
321,train
323,train
324,train
325,train
326,train
327,train
328,test
329,test
330,train
331,train
332,train
333,test
334,train
335,train
336,train
339,train
341,train
342,train
343,train
344,train
345,train
346,train
348,train
349,train
350,test
351,train
352,train
354,train
355,train
356,train
357,train
360,train
361,train
