system_id,split
0,not selected
1,test
3,not selected
4,train
5,not selected
6,not selected
8,test
12,train
13,not selected
15,train
17,not selected
18,not selected
20,not selected
23,train
24,not selected
25,train
27,train
30,not selected
31,train
33,train
34,not selected
37,not selected
39,not selected
40,train
41,test
42,train
43,test
44,train
45,not selected
47,train
48,not selected
50,test
52,train
53,not selected
54,test
55,not selected
56,train
57,train
58,train
59,not selected
60,test
61,not selected
62,test
63,not selected
64,test
65,not selected
66,not selected
67,train
68,not selected
69,train
72,not selected
74,train
75,test
76,not selected
77,not selected
78,test
79,test
80,test
81,train
82,train
83,not selected
85,train
86,train
87,test
88,train
89,test
90,train
91,train
92,train
93,not selected
95,not selected
96,not selected
97,not selected
98,train
99,train
100,train
103,not selected
105,train
107,test
108,not selected
110,train
111,test
112,train
113,train
114,not selected
115,not selected
116,not selected
117,train
118,train
119,train
121,test
122,not selected
123,train
125,not selected
128,not selected
129,train
130,test
132,test
133,test
134,train
135,train
136,test
137,not selected
138,not selected
139,train
140,train
141,not selected
143,not selected
144,train
145,not selected
146,not selected
147,test
148,not selected
149,test
150,not selected
152,train
153,not selected
154,train
158,test
159,not selected
160,train
161,not selected
162,not selected
163,train
165,not selected
166,test
167,train
168,not selected
169,train
171,not selected
172,not selected
173,test
174,not selected
175,not selected
176,not selected
178,test
180,not selected
181,train
182,test
184,train
185,test
186,not selected
187,train
188,train
190,not selected
191,not selected
192,train
193,not selected
195,not selected
197,train
198,test
199,test
200,test
202,train
207,not selected
208,not selected
209,train
212,train
215,train
216,not selected
217,not selected
219,test
221,train
222,not selected
223,not selected
224,not selected
225,not selected
226,not selected
228,train
229,not selected
231,train
232,not selected
233,not selected
234,not selected
235,train
237,test
239,not selected
241,not selected
243,not selected
244,not selected
245,not selected
247,train
248,not selected
249,test
251,test
252,not selected
253,train
254,not selected
255,train
258,not selected
259,not selected
260,train
262,not selected
265,train
266,train
267,train
268,not selected
269,not selected
271,test
272,not selected
273,test
274,train
276,not selected
277,not selected
278,not selected
279,train
281,test
282,train
283,test
284,test
285,not selected
286,train
287,not selected
288,train
289,not selected
290,not selected
292,train
293,not selected
294,train
295,not selected
297,not selected
299,test
300,not selected
301,train
302,not selected
305,test
306,train
308,not selected
309,train
310,train
311,train
312,not selected
313,not selected
314,not selected
315,train
317,train
318,not selected
319,not selected
320,not selected
321,not selected
323,train
324,not selected
325,train
326,test
327,not selected
328,train
329,not selected
330,train
331,train
332,test
333,test
334,train
335,train
336,train
339,not selected
341,train
342,train
343,not selected
344,not selected
345,not selected
346,not selected
348,not selected
349,not selected
350,train
351,not selected
352,not selected
354,test
355,train
356,train
357,test
360,test
361,test
362,train
363,train
365,not selected
366,not selected
367,not selected
368,test
370,not selected
373,train
374,train
375,train
376,not selected
378,not selected
379,not selected
380,not selected
381,train
382,not selected
383,not selected
384,not selected
386,train
387,not selected
389,not selected
391,not selected
392,train
393,test
394,test
395,not selected
396,test
397,not selected
399,test
400,not selected
401,train
402,train
405,not selected
406,train
407,not selected
408,test
410,not selected
411,test
413,train
414,not selected
416,not selected
417,train
418,not selected
419,not selected
421,test
422,not selected
423,train
424,train
425,train
429,train
430,not selected
431,test
433,not selected
434,train
435,not selected
436,train
437,train
438,not selected
441,test
442,test
445,test
446,train
447,test
448,not selected
449,not selected
451,not selected
452,not selected
453,test
455,train
456,not selected
457,not selected
458,not selected
460,train
461,not selected
463,train
464,test
465,train
466,not selected
467,not selected
468,train
469,train
471,test
472,not selected
473,test
475,not selected
476,test
478,train
479,test
480,not selected
481,not selected
483,test
484,train
485,test
486,test
487,not selected
