system_id,split
0,train
1,not selected
3,train
4,train
5,train
6,not selected
8,not selected
12,train
13,not selected
15,train
17,not selected
18,train
20,not selected
23,train
24,not selected
25,train
27,train
30,test
31,train
33,train
34,not selected
37,not selected
39,not selected
40,train
41,not selected
42,train
43,test
44,not selected
45,not selected
47,train
48,not selected
50,not selected
52,train
53,not selected
54,test
55,not selected
56,train
57,train
58,train
59,test
60,not selected
61,train
62,test
63,not selected
64,test
65,test
66,train
67,not selected
68,train
69,not selected
72,test
74,train
75,not selected
76,not selected
77,not selected
78,not selected
79,not selected
80,not selected
81,train
82,train
83,not selected
85,not selected
86,train
87,test
88,not selected
89,test
90,train
91,train
92,not selected
93,train
95,test
96,not selected
97,not selected
98,not selected
99,train
100,train
103,not selected
105,not selected
107,not selected
108,train
110,train
111,not selected
112,train
113,not selected
114,train
115,test
116,train
117,train
118,train
119,train
121,not selected
122,test
123,train
125,test
128,test
129,train
130,not selected
132,test
133,test
134,train
135,not selected
136,test
137,not selected
138,not selected
139,not selected
140,not selected
141,not selected
143,not selected
144,train
145,not selected
146,train
147,test
148,test
149,not selected
150,test
152,train
153,not selected
154,not selected
158,not selected
159,not selected
160,train
161,train
162,train
163,train
165,test
166,test
167,train
168,test
169,train
171,not selected
172,test
173,not selected
174,not selected
175,not selected
176,not selected
178,test
180,not selected
181,not selected
182,test
184,train
185,test
186,train
187,train
188,train
190,not selected
191,not selected
192,train
193,not selected
195,test
197,train
198,not selected
199,not selected
200,not selected
202,train
207,not selected
208,not selected
209,not selected
212,not selected
215,train
216,train
217,not selected
219,test
221,not selected
222,not selected
223,not selected
224,not selected
225,train
226,not selected
228,not selected
229,not selected
231,train
232,test
233,not selected
234,not selected
235,train
237,not selected
239,test
241,not selected
243,not selected
244,not selected
245,not selected
247,train
248,train
249,test
251,not selected
252,train
253,train
254,not selected
255,train
258,test
259,test
260,not selected
262,test
265,train
266,train
267,train
268,not selected
269,train
271,test
272,train
273,not selected
274,train
276,not selected
277,not selected
278,not selected
279,not selected
281,test
282,train
283,not selected
284,not selected
285,not selected
286,train
287,test
288,train
289,not selected
290,not selected
292,not selected
293,train
294,train
295,train
297,test
299,test
300,not selected
301,not selected
302,not selected
305,not selected
306,not selected
308,train
309,train
310,not selected
311,train
312,not selected
313,train
314,not selected
315,train
317,not selected
318,not selected
319,not selected
320,test
321,not selected
323,not selected
324,test
325,train
326,test
327,test
328,train
329,not selected
330,not selected
331,train
332,not selected
333,test
334,not selected
335,not selected
336,not selected
339,train
341,train
342,train
343,not selected
344,test
345,train
346,test
348,not selected
349,not selected
350,train
351,not selected
352,not selected
354,not selected
355,train
356,train
357,test
360,not selected
361,test
362,not selected
363,train
365,not selected
366,not selected
367,train
368,test
370,not selected
373,train
374,train
375,not selected
376,not selected
378,test
379,not selected
380,test
381,train
382,train
383,not selected
384,train
386,not selected
387,train
389,test
391,test
392,train
393,test
394,not selected
395,not selected
396,not selected
397,test
399,test
400,not selected
401,train
402,not selected
405,train
406,train
407,not selected
408,not selected
410,test
411,test
413,train
414,not selected
416,not selected
417,not selected
418,train
419,not selected
421,not selected
422,not selected
423,train
424,train
425,not selected
429,train
430,not selected
431,test
433,test
434,train
435,test
436,train
437,train
438,not selected
441,not selected
442,not selected
445,test
446,train
447,not selected
448,train
449,train
451,test
452,test
453,not selected
455,not selected
456,not selected
457,train
458,not selected
460,train
461,train
463,train
464,test
465,not selected
466,train
467,not selected
468,train
469,not selected
471,test
472,test
473,test
475,test
476,not selected
478,train
479,not selected
480,not selected
481,not selected
483,not selected
484,train
485,not selected
486,not selected
487,test
488,test
489,not selected
490,test
492,not selected
493,not selected
494,test
495,test
496,train
497,train
498,not selected
499,not selected
500,not selected
502,train
504,train
507,train
508,train
509,train
510,train
512,train
514,train
516,not selected
517,train
518,train
519,train
521,not selected
522,train
523,train
524,train
525,test
528,train
529,not selected
532,test
533,test
534,train
535,not selected
536,test
537,not selected
538,not selected
540,train
541,not selected
542,train
543,not selected
544,not selected
545,train
548,not selected
549,not selected
551,test
552,not selected
553,train
554,not selected
555,test
556,not selected
557,not selected
559,not selected
561,not selected
563,not selected
564,not selected
565,train
567,train
570,train
571,train
572,not selected
573,not selected
574,not selected
575,train
577,not selected
578,not selected
582,test
583,train
584,train
585,train
586,not selected
588,test
589,not selected
590,test
591,not selected
592,test
595,train
596,test
597,not selected
598,not selected
599,not selected
600,not selected
601,not selected
602,not selected
603,not selected
604,not selected
606,train
608,train
609,not selected
610,train
611,test
613,train
614,train
615,not selected
616,train
620,test
622,not selected
623,not selected
624,train
626,train
629,train
630,train
632,train
633,train
635,train
637,not selected
638,test
639,not selected
640,not selected
643,train
644,train
645,not selected
648,test
649,train
650,not selected
653,not selected
654,train
656,train
657,not selected
659,train
661,not selected
663,not selected
664,not selected
666,test
668,not selected
670,not selected
672,not selected
673,test
677,test
678,train
680,train
681,test
683,train
684,not selected
685,not selected
686,test
