system_id,split
0,not selected
1,test
3,train
4,not selected
5,train
6,not selected
8,not selected
12,not selected
13,test
15,train
17,not selected
18,train
20,test
23,train
24,train
25,train
27,train
30,test
31,not selected
33,not selected
34,train
37,test
39,not selected
40,train
41,not selected
42,train
43,not selected
44,train
45,test
47,not selected
48,test
50,test
52,train
53,not selected
54,not selected
55,not selected
56,train
57,not selected
58,not selected
59,not selected
60,not selected
61,train
62,test
63,train
64,not selected
65,not selected
66,train
67,not selected
68,train
69,not selected
72,test
74,not selected
75,not selected
76,test
77,train
78,not selected
79,not selected
80,not selected
81,not selected
82,not selected
83,not selected
85,not selected
86,not selected
87,not selected
88,train
89,not selected
90,train
91,not selected
92,train
93,not selected
95,test
96,test
97,train
98,not selected
99,train
100,not selected
103,test
105,train
107,not selected
108,train
110,train
111,not selected
112,train
113,not selected
114,not selected
115,test
116,train
117,not selected
118,not selected
119,not selected
121,not selected
122,test
123,not selected
125,test
128,not selected
129,train
130,not selected
132,test
133,not selected
134,train
135,train
136,not selected
137,train
138,train
139,train
140,train
141,train
143,not selected
144,not selected
145,test
146,train
147,not selected
148,test
149,not selected
150,test
152,train
153,not selected
154,not selected
158,test
159,test
160,not selected
161,train
162,train
163,not selected
165,not selected
166,not selected
167,train
168,test
169,not selected
171,test
172,test
173,not selected
174,test
175,test
176,train
178,test
180,test
181,train
182,not selected
184,train
185,not selected
186,train
187,not selected
188,not selected
190,not selected
191,test
192,train
193,not selected
195,not selected
197,not selected
198,not selected
199,not selected
200,test
202,not selected
207,test
208,test
209,train
212,train
215,not selected
216,train
217,train
219,not selected
221,not selected
222,test
223,train
224,not selected
225,train
226,test
228,not selected
229,test
231,train
232,test
233,test
234,test
235,not selected
237,not selected
239,test
241,test
243,test
244,train
245,not selected
247,not selected
248,train
249,not selected
251,not selected
252,train
253,not selected
254,not selected
255,train
258,test
259,test
260,not selected
262,not selected
265,not selected
266,train
267,train
268,not selected
269,train
271,not selected
272,not selected
273,not selected
274,not selected
276,not selected
277,test
278,test
279,train
281,not selected
282,train
283,not selected
284,not selected
285,test
286,not selected
287,not selected
288,train
289,train
290,not selected
292,train
293,train
294,not selected
295,train
297,test
299,not selected
300,train
301,not selected
302,test
305,not selected
306,train
308,not selected
309,train
310,not selected
311,not selected
312,not selected
313,train
314,test
315,not selected
317,train
318,test
319,train
320,not selected
321,train
323,not selected
324,test
325,not selected
326,not selected
327,test
328,not selected
329,train
330,train
331,not selected
332,test
333,not selected
334,not selected
335,not selected
336,train
339,not selected
341,train
342,not selected
343,test
344,not selected
345,train
346,test
348,train
349,not selected
350,train
351,not selected
352,train
354,not selected
355,not selected
356,train
357,not selected
360,not selected
361,not selected
362,not selected
363,not selected
365,test
366,train
367,train
368,not selected
370,not selected
373,train
374,not selected
375,not selected
376,not selected
378,test
379,test
380,test
381,not selected
382,train
383,test
384,train
386,not selected
387,train
389,not selected
391,not selected
392,train
393,not selected
394,not selected
395,test
396,not selected
397,test
399,not selected
400,not selected
401,not selected
402,not selected
405,train
406,train
407,test
408,not selected
410,not selected
411,not selected
413,not selected
414,test
416,test
417,train
418,train
419,not selected
421,not selected
422,test
423,not selected
424,not selected
425,not selected
429,train
430,train
431,not selected
433,test
434,train
435,not selected
436,train
437,train
438,not selected
441,not selected
442,not selected
445,not selected
446,train
447,not selected
448,train
449,not selected
451,not selected
452,not selected
453,not selected
455,train
456,test
457,not selected
458,not selected
460,train
461,not selected
463,train
464,not selected
465,not selected
466,train
467,not selected
468,train
469,not selected
471,not selected
472,test
473,not selected
475,not selected
476,not selected
478,not selected
479,not selected
