system_id,split
0,test
1,not selected
3,not selected
4,train
5,train
6,not selected
8,test
12,test
13,train
15,not selected
17,train
18,train
20,not selected
23,not selected
24,train
25,not selected
27,train
30,not selected
31,not selected
33,train
34,not selected
37,not selected
39,train
40,test
41,train
42,train
43,not selected
44,train
45,not selected
47,not selected
48,not selected
50,not selected
52,train
53,not selected
54,not selected
55,test
56,test
57,not selected
58,not selected
59,train
60,train
61,not selected
62,not selected
63,not selected
64,not selected
65,train
66,train
67,train
68,train
69,not selected
72,test
74,not selected
75,train
76,train
77,not selected
78,test
79,train
80,train
81,train
82,not selected
83,train
85,train
86,train
87,train
88,train
89,train
90,train
91,not selected
92,not selected
93,not selected
95,not selected
96,test
97,train
98,not selected
99,test
100,train
103,test
105,not selected
107,not selected
108,not selected
110,not selected
111,not selected
112,test
113,not selected
114,not selected
115,test
116,train
117,not selected
118,not selected
119,not selected
121,not selected
122,train
123,not selected
125,not selected
128,train
129,not selected
130,not selected
132,train
133,train
134,train
135,train
136,train
137,train
138,not selected
139,train
140,not selected
141,train
143,test
144,not selected
145,not selected
146,train
147,test
148,not selected
149,train
150,not selected
152,train
153,train
154,not selected
158,test
159,not selected
160,not selected
161,not selected
162,not selected
163,not selected
165,train
166,not selected
167,not selected
168,not selected
169,not selected
171,not selected
172,train
173,train
174,test
175,test
176,train
178,not selected
180,train
181,not selected
182,not selected
184,train
185,not selected
186,train
187,test
188,not selected
190,not selected
191,not selected
192,train
193,train
195,train
197,train
198,not selected
199,not selected
200,train
202,train
207,train
208,train
209,train
212,not selected
215,not selected
216,train
217,train
219,train
221,train
222,not selected
223,train
224,not selected
225,train
226,train
228,test
229,test
231,test
232,test
233,test
234,train
235,not selected
237,train
239,not selected
241,not selected
243,not selected
244,train
245,test
247,train
248,not selected
249,train
251,train
252,not selected
253,train
254,train
255,not selected
258,not selected
259,train
260,not selected
262,test
265,not selected
266,not selected
267,not selected
268,train
269,not selected
271,not selected
272,not selected
273,train
274,not selected
276,train
277,train
278,train
279,train
281,not selected
282,not selected
283,test
284,not selected
285,not selected
286,not selected
287,not selected
288,train
289,not selected
290,test
292,test
293,not selected
294,not selected
295,not selected
297,not selected
299,train
300,train
301,not selected
302,test
305,train
306,not selected
308,not selected
309,test
310,not selected
311,not selected
312,not selected
313,not selected
314,not selected
315,test
317,train
318,not selected
319,test
320,not selected
321,train
323,not selected
324,train
325,train
326,not selected
327,train
328,train
329,not selected
330,train
331,not selected
332,not selected
333,train
334,not selected
335,not selected
336,train
339,not selected
341,test
342,not selected
343,not selected
344,train
345,not selected
346,test
348,test
349,train
350,train
351,train
352,not selected
354,train
355,test
356,train
357,train
360,train
361,not selected
362,not selected
363,not selected
365,train
366,test
367,train
368,not selected
370,train
373,not selected
374,not selected
375,not selected
376,not selected
378,not selected
379,not selected
380,test
381,train
382,train
383,test
384,not selected
386,not selected
387,not selected
389,train
391,train
392,not selected
393,not selected
394,train
395,not selected
396,not selected
397,test
399,train
400,not selected
401,test
402,not selected
405,test
406,not selected
407,train
408,not selected
410,train
411,train
413,not selected
414,test
416,test
417,train
418,train
419,not selected
421,train
422,test
423,not selected
424,not selected
425,not selected
429,train
430,train
431,not selected
433,not selected
434,train
435,train
436,train
437,not selected
438,not selected
441,train
442,not selected
445,train
446,not selected
447,train
448,train
449,not selected
451,train
452,train
453,not selected
455,not selected
456,test
457,train
458,train
460,train
461,train
463,not selected
464,train
465,not selected
466,train
467,test
468,train
469,not selected
471,train
472,test
473,train
475,not selected
476,not selected
478,train
479,train
480,test
481,train
483,not selected
484,train
485,not selected
486,test
487,not selected
488,not selected
489,test
490,train
492,not selected
493,not selected
494,not selected
495,not selected
496,train
497,train
498,not selected
499,test
500,train
502,not selected
504,not selected
507,train
508,train
509,not selected
510,test
512,train
514,test
516,not selected
517,not selected
518,not selected
519,train
521,not selected
522,test
523,not selected
524,not selected
525,not selected
528,not selected
529,test
532,not selected
533,not selected
534,not selected
535,not selected
536,not selected
537,train
538,train
540,train
541,train
542,not selected
543,train
544,not selected
545,not selected
548,not selected
549,train
551,not selected
552,train
553,train
554,not selected
555,test
556,not selected
557,not selected
559,not selected
561,not selected
563,test
564,not selected
565,not selected
567,test
570,test
571,train
572,not selected
573,not selected
574,not selected
575,test
577,not selected
578,train
582,not selected
583,not selected
584,train
585,test
586,train
588,not selected
589,not selected
590,train
591,test
592,not selected
595,train
596,train
597,not selected
598,not selected
599,train
600,not selected
601,not selected
602,not selected
603,not selected
604,not selected
606,test
608,train
609,train
610,train
611,not selected
613,train
614,not selected
615,not selected
616,not selected
620,test
622,train
623,train
624,not selected
626,train
629,train
630,train
632,not selected
633,not selected
635,test
637,test
638,test
639,train
640,not selected
643,not selected
644,train
645,train
648,test
649,train
650,not selected
653,not selected
654,not selected
656,test
657,not selected
659,not selected
661,not selected
663,train
664,not selected
666,not selected
668,test
670,test
672,not selected
673,not selected
677,train
678,not selected
680,test
681,not selected
683,train
684,not selected
685,not selected
686,train
687,test
688,train
694,not selected
695,test
697,test
698,train
701,not selected
709,not selected
710,test
711,test
712,not selected
713,train
714,not selected
716,not selected
717,not selected
718,test
719,train
720,train
721,train
722,not selected
723,test
724,not selected
725,not selected
726,test
727,not selected
728,train
730,test
731,train
732,not selected
733,train
734,not selected
735,not selected
737,not selected
738,test
739,not selected
741,not selected
742,test
743,train
744,train
746,not selected
747,test
749,not selected
750,not selected
751,not selected
752,not selected
753,not selected
755,train
756,not selected
757,not selected
758,not selected
759,not selected
760,not selected
762,train
763,train
764,not selected
766,train
768,not selected
769,train
770,test
771,train
772,train
774,not selected
775,not selected
776,not selected
778,not selected
779,train
780,not selected
781,train
784,not selected
787,not selected
788,test
789,train
790,train
792,test
793,not selected
794,train
795,not selected
796,not selected
797,not selected
798,train
800,train
801,train
802,train
803,not selected
804,train
807,not selected
808,train
809,not selected
810,not selected
812,train
813,not selected
815,not selected
816,test
818,not selected
819,train
820,not selected
821,not selected
822,train
825,test
826,not selected
829,not selected
830,not selected
831,train
832,not selected
833,not selected
835,train
838,train
839,not selected
840,train
841,not selected
842,not selected
844,test
845,train
846,train
848,test
849,test
850,train
851,train
852,not selected
853,test
854,test
855,not selected
