system_id,split
0,not selected
1,train
3,train
4,not selected
5,not selected
6,not selected
8,not selected
12,not selected
13,train
15,not selected
17,train
18,train
20,test
23,train
24,train
25,not selected
27,not selected
30,not selected
31,not selected
33,not selected
34,not selected
37,not selected
39,train
40,not selected
41,not selected
42,train
43,train
44,train
45,train
47,not selected
48,test
50,train
52,train
53,train
54,not selected
55,not selected
56,not selected
57,not selected
58,not selected
59,not selected
60,train
61,train
62,not selected
63,not selected
64,train
65,train
66,not selected
67,train
68,train
69,not selected
72,test
74,test
75,not selected
76,train
77,not selected
78,not selected
79,train
80,train
81,train
82,not selected
83,train
85,not selected
86,train
87,train
88,not selected
89,train
90,not selected
91,train
92,not selected
93,train
95,not selected
96,not selected
97,train
98,not selected
99,test
100,not selected
103,test
105,not selected
107,train
108,not selected
110,train
111,not selected
112,not selected
113,not selected
114,train
115,test
116,train
117,train
118,not selected
119,train
121,not selected
122,not selected
123,train
125,not selected
128,not selected
129,not selected
130,not selected
132,train
133,train
134,train
135,train
136,train
137,train
138,not selected
139,train
140,not selected
141,train
143,not selected
144,test
145,not selected
146,train
147,not selected
148,test
149,train
150,train
152,train
153,not selected
154,train
158,not selected
159,test
160,train
161,test
162,train
163,train
165,train
166,not selected
167,train
168,train
169,test
171,train
172,train
173,train
174,test
175,test
176,train
178,not selected
180,not selected
181,test
182,train
184,train
185,not selected
186,train
187,not selected
188,not selected
190,test
191,test
192,train
193,not selected
195,not selected
197,not selected
198,not selected
199,not selected
200,train
202,not selected
207,not selected
208,not selected
209,not selected
212,not selected
215,train
216,train
217,train
219,train
221,not selected
222,not selected
223,train
224,test
225,train
226,not selected
228,test
229,test
231,not selected
232,not selected
233,test
234,not selected
235,not selected
237,not selected
239,not selected
241,not selected
243,train
244,train
245,test
247,not selected
248,not selected
249,train
251,train
252,not selected
253,not selected
254,train
255,test
258,not selected
259,not selected
260,not selected
262,test
265,not selected
266,train
267,test
268,train
269,not selected
271,not selected
272,train
273,train
274,test
276,not selected
277,train
278,not selected
279,train
281,not selected
282,not selected
283,not selected
284,not selected
285,test
286,test
287,train
288,train
289,not selected
290,test
292,test
293,not selected
294,test
295,test
297,test
299,train
300,train
301,train
302,test
305,train
306,train
308,train
309,test
310,not selected
311,test
312,test
313,train
314,not selected
315,test
317,not selected
318,test
319,not selected
320,not selected
321,train
323,not selected
324,not selected
325,train
326,not selected
327,not selected
328,not selected
329,train
330,train
331,not selected
332,not selected
333,train
334,not selected
335,train
336,train
339,test
341,test
342,not selected
343,train
344,train
345,test
346,test
348,not selected
349,train
350,not selected
351,not selected
352,train
354,train
355,not selected
356,train
357,not selected
360,train
361,not selected
362,train
363,not selected
365,not selected
366,not selected
367,train
368,not selected
370,not selected
373,test
374,train
375,train
376,not selected
378,test
379,train
380,test
381,train
382,train
383,test
384,not selected
386,train
387,train
389,train
391,not selected
392,not selected
393,not selected
394,train
395,not selected
396,not selected
397,not selected
399,train
400,not selected
401,test
402,not selected
405,not selected
406,not selected
407,not selected
408,not selected
410,not selected
411,train
413,not selected
414,test
416,test
417,not selected
418,not selected
419,not selected
421,train
422,test
423,not selected
424,test
425,not selected
429,train
430,not selected
431,not selected
433,test
434,train
435,not selected
436,train
437,train
438,test
441,train
442,not selected
445,train
446,not selected
447,train
448,train
449,train
451,train
452,train
453,test
455,train
456,test
457,train
458,not selected
460,train
461,not selected
463,train
464,not selected
465,not selected
466,train
467,not selected
468,train
469,not selected
471,train
472,test
473,train
475,test
476,test
478,not selected
479,train
480,test
481,not selected
483,not selected
484,not selected
485,train
486,not selected
487,not selected
488,test
489,test
490,train
492,not selected
493,test
494,test
495,test
496,not selected
497,train
498,not selected
499,not selected
500,train
502,not selected
504,not selected
507,not selected
508,train
509,not selected
510,not selected
512,train
514,test
516,not selected
517,not selected
518,train
519,train
521,not selected
522,test
523,test
524,train
525,test
528,test
529,not selected
532,not selected
533,not selected
534,test
535,not selected
536,not selected
537,train
538,train
540,not selected
541,train
542,not selected
543,train
544,not selected
545,not selected
548,train
549,not selected
551,train
