system_id,split
0,test
1,not selected
3,not selected
4,train
5,not selected
6,not selected
8,test
12,not selected
13,train
15,not selected
17,train
18,not selected
20,not selected
23,train
24,not selected
25,train
27,train
30,train
31,train
33,train
34,test
37,train
39,train
40,not selected
41,not selected
42,train
43,not selected
44,train
45,train
47,not selected
48,not selected
50,not selected
52,train
53,train
54,test
55,not selected
56,not selected
57,train
58,train
59,train
60,not selected
61,not selected
62,test
63,test
64,not selected
65,train
66,not selected
67,train
68,not selected
69,train
72,not selected
74,not selected
75,not selected
76,train
77,test
78,test
79,not selected
80,not selected
81,train
82,train
83,train
85,train
86,train
87,not selected
88,train
89,not selected
90,train
91,train
92,not selected
93,not selected
95,train
96,not selected
97,not selected
98,train
99,not selected
100,train
103,not selected
105,train
107,not selected
108,test
110,train
111,test
112,not selected
113,train
114,not selected
115,not selected
116,not selected
117,train
118,train
119,train
121,test
122,train
123,train
125,train
128,train
129,train
130,test
132,not selected
133,not selected
134,train
135,train
136,not selected
137,not selected
138,test
139,train
140,not selected
141,not selected
143,not selected
144,not selected
145,train
146,not selected
147,test
148,not selected
149,not selected
150,train
152,train
153,train
154,train
158,test
159,not selected
160,train
161,test
162,not selected
163,train
165,train
166,test
167,train
168,train
169,not selected
171,train
172,train
173,not selected
174,not selected
175,not selected
176,not selected
178,test
180,train
181,not selected
182,not selected
184,train
185,test
186,not selected
187,not selected
188,train
190,not selected
191,not selected
192,train
193,train
195,train
197,train
198,test
199,test
200,not selected
202,train
207,train
208,train
209,train
212,not selected
215,train
216,not selected
217,not selected
219,not selected
221,train
222,train
223,not selected
224,not selected
225,not selected
226,train
228,not selected
229,not selected
231,not selected
232,not selected
233,not selected
234,train
235,train
237,not selected
239,train
241,not selected
243,train
244,not selected
245,not selected
247,train
248,test
249,not selected
251,not selected
252,test
253,train
254,train
255,not selected
258,train
259,train
260,train
262,not selected
265,train
266,train
267,not selected
268,train
269,test
271,test
272,not selected
273,not selected
274,not selected
276,train
277,train
278,train
279,train
281,test
282,not selected
283,test
284,test
285,not selected
286,not selected
287,train
288,train
289,test
290,not selected
292,not selected
293,test
294,not selected
295,test
297,not selected
299,not selected
300,not selected
301,train
302,not selected
305,not selected
306,train
308,not selected
309,not selected
310,not selected
311,not selected
312,not selected
313,not selected
314,train
315,not selected
317,train
318,not selected
319,test
320,not selected
321,not selected
323,train
324,train
325,train
326,test
327,train
328,train
329,not selected
330,train
331,train
332,test
333,not selected
334,not selected
335,train
336,train
339,test
341,not selected
342,train
343,train
344,train
345,test
346,not selected
348,test
349,train
350,train
351,train
352,not selected
354,not selected
355,not selected
356,train
357,not selected
360,not selected
361,test
362,train
363,not selected
365,train
366,test
367,not selected
368,test
370,train
373,not selected
374,train
375,train
376,not selected
378,not selected
379,train
380,not selected
381,train
382,not selected
383,not selected
384,test
386,train
387,not selected
389,train
391,train
392,train
393,test
394,not selected
395,train
396,test
397,not selected
399,not selected
400,not selected
401,not selected
402,train
405,test
406,not selected
407,train
408,test
410,train
411,not selected
413,not selected
414,not selected
416,not selected
417,train
418,not selected
419,train
421,not selected
422,not selected
423,train
424,not selected
425,train
429,train
430,not selected
431,test
433,not selected
434,train
435,train
436,train
437,train
438,not selected
441,not selected
442,test
445,not selected
446,train
447,not selected
448,not selected
449,not selected
451,train
452,train
453,test
455,train
456,not selected
457,not selected
458,train
460,train
461,not selected
463,train
464,not selected
465,not selected
466,not selected
467,not selected
468,train
469,train
471,not selected
472,not selected
473,not selected
475,not selected
476,test
478,train
479,not selected
480,not selected
481,train
483,not selected
484,train
485,not selected
486,test
487,not selected
488,not selected
489,not selected
490,not selected
492,train
493,not selected
494,test
495,test
496,not selected
497,train
498,test
499,test
500,not selected
502,train
504,test
507,not selected
508,train
509,train
510,test
512,train
514,test
516,test
517,test
518,not selected
519,not selected
521,train
522,not selected
523,not selected
524,train
525,not selected
528,not selected
529,not selected
532,train
533,not selected
534,test
535,train
536,not selected
537,not selected
538,not selected
540,train
541,not selected
542,test
543,not selected
544,train
545,train
548,not selected
549,train
551,not selected
552,not selected
553,not selected
554,not selected
555,not selected
556,test
557,not selected
559,train
561,not selected
563,not selected
564,not selected
565,test
567,not selected
570,not selected
571,train
572,not selected
573,train
574,not selected
575,not selected
577,not selected
578,train
582,test
583,not selected
584,train
585,not selected
586,train
588,not selected
589,train
590,not selected
591,not selected
592,not selected
595,not selected
596,train
597,not selected
598,test
599,not selected
600,not selected
601,not selected
602,not selected
603,train
604,train
606,not selected
608,train
609,train
610,train
611,not selected
613,train
614,train
615,not selected
616,not selected
620,not selected
622,not selected
623,not selected
624,train
626,train
629,train
630,not selected
632,not selected
633,test
635,not selected
637,not selected
638,not selected
639,train
640,not selected
643,not selected
644,train
645,not selected
648,not selected
649,not selected
650,test
653,not selected
654,not selected
656,not selected
657,not selected
659,not selected
661,train
663,train
664,train
666,not selected
668,not selected
670,test
672,train
673,not selected
677,train
678,not selected
680,not selected
681,test
683,train
684,not selected
685,train
686,train
687,not selected
688,train
694,not selected
695,not selected
697,not selected
698,train
701,not selected
709,test
710,test
711,test
712,test
713,not selected
714,not selected
716,test
717,not selected
718,not selected
719,not selected
720,train
721,train
722,not selected
723,not selected
724,train
725,test
726,not selected
727,not selected
728,train
730,test
731,train
732,not selected
733,train
734,train
735,not selected
737,test
738,not selected
739,test
741,not selected
742,test
743,train
744,train
746,not selected
747,not selected
749,not selected
750,test
751,not selected
752,not selected
753,not selected
755,train
756,train
757,train
758,not selected
759,not selected
760,not selected
762,not selected
763,train
764,not selected
766,not selected
768,test
769,train
770,not selected
771,not selected
772,train
774,not selected
775,train
776,not selected
778,test
779,train
780,test
781,not selected
784,train
787,not selected
788,test
789,train
790,not selected
792,not selected
793,test
794,not selected
795,train
796,not selected
797,not selected
798,train
800,train
801,not selected
802,train
803,not selected
804,not selected
807,not selected
808,train
809,not selected
810,test
812,train
813,not selected
815,train
816,not selected
818,not selected
819,train
820,train
821,not selected
822,train
825,not selected
826,not selected
829,not selected
830,test
831,not selected
832,not selected
833,train
835,train
838,not selected
839,test
840,not selected
841,not selected
842,train
844,not selected
845,not selected
846,train
848,not selected
849,not selected
850,train
851,train
852,not selected
853,not selected
