system_id,split
0,not selected
1,train
3,train
4,train
5,train
6,not selected
8,not selected
12,not selected
13,train
15,not selected
17,train
18,train
20,not selected
23,train
24,not selected
25,train
27,train
30,not selected
31,train
33,train
34,test
37,train
39,train
40,not selected
41,train
42,train
43,not selected
44,not selected
45,train
47,not selected
48,not selected
50,train
52,train
53,train
54,test
55,not selected
56,not selected
57,train
58,train
59,not selected
60,train
61,train
62,test
63,test
64,not selected
65,not selected
66,train
67,not selected
68,train
69,not selected
72,test
74,not selected
75,train
76,train
77,test
78,not selected
79,train
80,train
81,train
82,train
83,train
85,not selected
86,train
87,not selected
88,not selected
89,not selected
90,train
91,train
92,test
93,train
95,not selected
96,not selected
97,not selected
98,not selected
99,not selected
100,train
103,not selected
105,not selected
107,train
108,not selected
110,train
111,not selected
112,not selected
113,not selected
114,train
115,test
116,train
117,train
118,train
119,train
121,not selected
122,not selected
123,train
125,not selected
128,not selected
129,train
130,not selected
132,not selected
133,not selected
134,train
135,not selected
136,not selected
137,not selected
138,test
139,not selected
140,test
141,not selected
143,not selected
144,not selected
145,train
146,train
147,test
148,test
149,train
150,not selected
152,train
153,train
154,not selected
158,not selected
159,not selected
160,train
161,not selected
162,train
163,train
165,not selected
166,test
167,train
168,not selected
169,not selected
171,train
172,not selected
173,train
174,not selected
175,not selected
176,not selected
178,test
180,train
181,test
182,not selected
184,train
185,test
186,train
187,not selected
188,train
190,not selected
191,not selected
192,train
193,train
195,not selected
197,train
198,not selected
199,not selected
200,train
202,train
207,train
208,train
209,not selected
212,test
215,train
216,train
217,not selected
219,not selected
221,not selected
222,train
223,not selected
224,not selected
225,train
226,train
228,test
229,not selected
231,not selected
232,test
233,not selected
234,train
235,train
237,train
239,not selected
241,not selected
243,train
244,not selected
245,not selected
247,train
248,not selected
249,not selected
251,train
252,not selected
253,train
254,train
255,not selected
258,not selected
259,not selected
260,not selected
262,test
265,train
266,train
267,not selected
268,train
269,not selected
271,test
272,train
273,train
274,not selected
276,train
277,train
278,train
279,not selected
281,test
282,not selected
283,not selected
284,not selected
285,not selected
286,not selected
287,not selected
288,train
289,test
290,not selected
292,test
293,not selected
294,not selected
295,not selected
297,test
299,not selected
300,not selected
301,not selected
302,not selected
305,train
306,not selected
308,train
309,not selected
310,test
311,not selected
312,not selected
313,train
314,train
315,not selected
317,not selected
318,not selected
319,test
320,test
321,not selected
323,not selected
324,not selected
325,train
326,test
327,not selected
328,train
329,not selected
330,not selected
331,train
332,not selected
333,not selected
334,test
335,not selected
336,not selected
339,not selected
341,not selected
342,train
343,train
344,not selected
345,not selected
346,test
348,test
349,train
350,train
351,train
352,not selected
354,train
355,not selected
356,train
357,not selected
360,train
361,test
362,not selected
363,not selected
365,train
366,test
367,train
368,test
370,train
373,not selected
374,train
375,not selected
376,not selected
378,test
379,train
380,test
381,train
382,train
383,not selected
384,not selected
386,not selected
387,train
389,not selected
391,not selected
392,train
393,test
394,train
395,train
396,not selected
397,test
399,not selected
400,not selected
401,not selected
402,not selected
405,not selected
406,not selected
407,train
408,not selected
410,not selected
411,not selected
413,not selected
414,not selected
416,not selected
417,not selected
418,train
419,train
421,train
422,not selected
423,train
424,not selected
425,not selected
429,train
430,not selected
431,test
433,test
434,train
435,not selected
436,train
437,train
438,not selected
441,train
442,not selected
445,not selected
446,train
447,train
448,train
449,train
451,not selected
452,not selected
453,not selected
455,not selected
456,not selected
457,train
458,train
460,train
461,train
463,train
464,not selected
465,test
466,train
467,not selected
468,train
469,not selected
471,not selected
472,test
473,not selected
475,test
476,not selected
478,train
479,train
480,not selected
481,train
483,train
484,train
485,train
486,not selected
487,test
488,test
489,not selected
490,not selected
492,train
493,test
494,test
495,test
496,train
497,train
498,test
499,not selected
500,not selected
502,train
504,not selected
507,train
508,train
509,train
510,not selected
512,train
514,not selected
516,not selected
517,not selected
518,train
519,train
521,not selected
522,not selected
523,not selected
524,train
525,test
528,not selected
529,not selected
532,not selected
533,test
534,not selected
535,train
536,test
537,train
538,not selected
540,train
541,not selected
542,not selected
543,train
