system_id,split
0,test
1,not selected
3,not selected
4,not selected
5,not selected
6,test
8,test
12,not selected
13,train
15,not selected
17,train
18,train
20,not selected
23,train
24,not selected
25,not selected
27,not selected
30,not selected
31,train
33,train
34,not selected
37,train
39,train
40,not selected
41,not selected
42,not selected
43,not selected
44,train
45,train
47,not selected
48,test
50,not selected
52,train
53,train
54,not selected
55,test
56,test
57,not selected
58,train
59,not selected
60,train
61,not selected
62,not selected
63,not selected
64,not selected
65,not selected
66,not selected
67,train
68,train
69,not selected
72,not selected
74,test
75,not selected
76,train
77,not selected
78,not selected
79,train
80,train
81,train
82,train
83,train
85,not selected
86,train
87,not selected
88,train
89,train
90,train
91,train
92,not selected
93,not selected
95,not selected
96,not selected
97,not selected
98,not selected
99,not selected
100,train
103,not selected
105,not selected
107,not selected
108,test
110,train
111,not selected
112,not selected
113,not selected
114,not selected
115,test
116,train
117,train
118,not selected
119,train
121,not selected
122,train
123,train
125,not selected
128,not selected
129,not selected
130,not selected
132,train
133,train
134,not selected
135,train
136,not selected
137,train
138,not selected
139,train
140,not selected
141,train
143,test
144,test
145,not selected
146,train
147,test
148,test
149,train
150,train
152,train
153,not selected
154,train
158,test
159,not selected
160,train
161,test
162,not selected
163,train
165,not selected
166,not selected
167,train
168,not selected
169,not selected
171,train
172,train
173,train
174,not selected
175,not selected
176,train
178,not selected
180,train
181,not selected
182,not selected
184,train
185,test
186,train
187,not selected
188,train
190,not selected
191,test
192,train
193,train
195,train
197,train
198,not selected
199,not selected
200,train
202,train
207,not selected
208,train
209,train
212,not selected
215,train
216,train
217,train
219,train
221,not selected
222,train
223,train
224,test
225,not selected
226,train
228,not selected
229,test
231,not selected
232,test
233,not selected
234,train
235,train
237,not selected
239,not selected
241,test
243,train
244,train
245,not selected
247,train
248,test
249,not selected
251,train
252,not selected
253,train
254,train
255,test
258,not selected
259,train
260,not selected
262,test
265,train
266,not selected
267,not selected
268,train
269,not selected
271,not selected
272,train
273,not selected
274,not selected
276,not selected
277,train
278,not selected
279,train
281,not selected
282,not selected
283,test
284,not selected
285,not selected
286,test
287,train
288,train
289,not selected
290,not selected
292,test
293,not selected
294,not selected
295,test
297,test
299,train
300,train
301,train
302,test
305,not selected
306,train
308,train
309,test
310,not selected
311,test
312,test
313,not selected
314,train
315,not selected
317,train
318,not selected
319,not selected
320,not selected
321,not selected
323,not selected
324,train
325,train
326,not selected
327,train
328,not selected
329,not selected
330,train
331,train
332,not selected
333,not selected
334,not selected
335,not selected
336,train
339,not selected
341,test
342,train
343,train
344,train
345,not selected
346,test
348,not selected
349,train
350,not selected
351,train
352,not selected
354,train
355,not selected
356,train
357,not selected
360,train
361,not selected
362,not selected
363,not selected
365,train
366,test
367,not selected
368,not selected
370,train
373,not selected
374,train
375,not selected
376,not selected
378,not selected
379,train
380,test
381,not selected
382,train
383,not selected
384,test
386,not selected
387,not selected
389,not selected
391,not selected
392,not selected
393,test
394,train
395,not selected
396,test
397,test
399,train
400,not selected
401,test
402,not selected
405,test
406,not selected
407,not selected
408,not selected
410,train
411,train
413,not selected
414,test
416,not selected
417,not selected
418,not selected
419,not selected
421,train
422,not selected
423,train
424,not selected
425,not selected
429,train
430,train
431,test
433,not selected
434,train
435,train
436,train
437,train
438,not selected
441,train
442,not selected
445,train
446,not selected
447,not selected
448,train
449,not selected
451,train
452,train
453,test
455,train
456,not selected
457,train
458,train
460,train
461,train
463,train
464,not selected
465,not selected
466,train
467,not selected
468,train
469,not selected
471,train
472,test
473,not selected
475,test
476,test
478,train
479,train
480,not selected
481,not selected
483,train
484,not selected
485,not selected
486,test
487,not selected
488,not selected
489,not selected
490,not selected
492,not selected
493,not selected
494,test
495,not selected
496,not selected
497,train
498,not selected
499,not selected
500,train
502,train
504,test
507,not selected
508,not selected
509,train
510,test
512,train
514,test
516,not selected
517,test
518,train
519,train
521,not selected
522,test
523,test
524,train
525,not selected
528,not selected
529,not selected
532,not selected
533,test
534,test
535,not selected
536,not selected
537,train
538,train
540,train
541,train
542,not selected
543,train
544,train
545,not selected
548,train
549,train
551,not selected
552,not selected
553,not selected
554,test
555,test
556,not selected
557,not selected
559,train
561,not selected
563,not selected
564,test
565,not selected
567,not selected
570,not selected
571,train
572,not selected
573,not selected
574,not selected
575,not selected
577,not selected
578,train
582,test
583,not selected
584,train
585,not selected
586,train
588,not selected
589,not selected
590,train
591,test
592,train
595,train
596,train
597,not selected
598,not selected
599,train
600,not selected
601,not selected
602,not selected
603,not selected
604,not selected
606,not selected
608,train
609,train
610,train
611,test
613,train
614,train
615,test
616,not selected
620,test
622,not selected
623,not selected
624,not selected
626,train
629,not selected
630,train
632,not selected
633,test
635,not selected
637,not selected
638,test
639,train
640,not selected
643,test
644,train
645,train
648,not selected
649,not selected
650,not selected
653,not selected
654,test
656,not selected
657,train
659,not selected
661,train
663,not selected
664,not selected
666,not selected
668,not selected
670,not selected
672,train
673,not selected
677,not selected
678,train
680,not selected
681,test
683,not selected
684,not selected
685,train
686,train
687,test
688,train
694,not selected
695,not selected
697,not selected
698,not selected
701,train
709,not selected
710,not selected
711,test
712,test
713,not selected
714,not selected
716,not selected
717,test
718,test
719,train
720,train
721,train
722,not selected
723,not selected
724,not selected
725,test
726,test
727,not selected
728,not selected
730,test
731,not selected
732,not selected
733,train
734,train
735,test
737,not selected
738,test
739,test
741,test
742,test
743,train
744,train
746,test
747,not selected
749,train
750,not selected
751,not selected
752,not selected
753,not selected
755,train
756,not selected
757,train
758,not selected
759,not selected
760,not selected
762,train
763,train
764,not selected
766,not selected
768,not selected
769,not selected
770,not selected
771,train
772,train
774,test
775,train
776,not selected
778,test
779,train
780,test
781,not selected
784,train
787,not selected
788,test
789,train
790,train
792,not selected
793,not selected
794,train
795,train
796,not selected
797,not selected
798,not selected
800,train
801,not selected
802,train
803,not selected
804,train
807,not selected
808,train
809,test
810,test
812,not selected
813,not selected
815,not selected
816,not selected
818,test
819,train
820,not selected
821,test
822,train
825,not selected
826,test
829,not selected
830,test
831,train
832,test
833,train
835,train
838,train
839,test
840,train
841,test
842,not selected
844,not selected
845,not selected
846,train
848,not selected
849,not selected
850,not selected
851,train
852,not selected
853,test
854,not selected
