system_id,split
0,test
1,not selected
3,train
4,not selected
5,train
6,not selected
8,not selected
12,test
13,not selected
15,not selected
17,train
18,train
20,test
23,train
24,train
25,train
27,train
30,not selected
31,not selected
33,not selected
34,not selected
37,not selected
39,train
40,not selected
41,train
42,train
43,train
44,train
45,not selected
47,test
48,test
50,not selected
52,train
53,train
54,not selected
55,not selected
56,not selected
57,not selected
58,not selected
59,train
60,train
61,train
62,test
63,not selected
64,train
65,train
66,train
67,not selected
68,train
69,not selected
72,test
74,test
75,train
76,not selected
77,not selected
78,not selected
79,train
80,train
81,not selected
82,not selected
83,train
85,not selected
86,not selected
87,train
88,train
89,train
90,train
91,not selected
92,not selected
93,not selected
95,not selected
96,test
97,train
98,not selected
99,not selected
100,not selected
103,test
105,train
107,train
108,not selected
110,train
111,not selected
112,not selected
113,not selected
114,not selected
115,test
116,train
117,not selected
118,not selected
119,not selected
121,not selected
122,not selected
123,not selected
125,not selected
128,train
129,train
130,not selected
132,not selected
133,train
134,train
135,train
136,train
137,train
138,not selected
139,train
140,not selected
141,train
143,not selected
144,test
145,not selected
146,train
147,not selected
148,test
149,train
150,not selected
152,train
153,train
154,not selected
158,test
159,test
160,not selected
161,not selected
162,train
163,not selected
165,train
166,not selected
167,train
168,not selected
169,test
171,not selected
172,not selected
173,train
174,test
175,test
176,train
178,test
180,not selected
181,not selected
182,train
184,train
185,not selected
186,train
187,test
188,not selected
190,not selected
191,test
192,train
193,train
195,train
197,not selected
198,not selected
199,not selected
200,not selected
202,not selected
207,not selected
208,not selected
209,train
212,not selected
215,not selected
216,train
217,train
219,train
221,not selected
222,not selected
223,train
224,not selected
225,train
226,not selected
228,test
229,test
231,not selected
232,test
233,test
234,not selected
235,not selected
237,train
239,not selected
241,test
243,not selected
244,train
245,not selected
247,not selected
248,not selected
249,train
251,train
252,not selected
253,not selected
254,train
255,not selected
258,not selected
259,not selected
260,not selected
262,not selected
265,not selected
266,train
267,not selected
268,train
269,not selected
271,not selected
272,not selected
273,train
274,test
276,train
277,not selected
278,not selected
279,train
281,not selected
282,not selected
283,not selected
284,not selected
285,test
286,test
287,train
288,train
289,not selected
290,not selected
292,not selected
293,not selected
294,test
295,not selected
297,test
299,train
300,train
301,not selected
302,test
305,train
306,train
308,not selected
309,not selected
310,test
311,test
312,not selected
313,train
314,not selected
315,test
317,train
318,test
319,not selected
320,not selected
321,train
323,not selected
324,not selected
325,not selected
326,not selected
327,not selected
328,not selected
329,train
330,train
331,not selected
332,test
333,train
334,test
335,not selected
336,train
339,test
341,not selected
342,not selected
343,not selected
344,train
345,not selected
346,test
348,not selected
349,train
350,train
351,train
352,train
354,train
355,test
356,train
357,train
360,train
361,not selected
362,not selected
363,test
365,not selected
366,not selected
367,train
368,not selected
370,train
373,not selected
374,not selected
375,not selected
376,not selected
378,test
379,not selected
380,test
381,not selected
382,train
383,test
384,not selected
386,not selected
387,train
389,train
391,train
392,train
393,not selected
394,train
395,not selected
396,not selected
397,test
399,train
400,not selected
401,test
402,not selected
405,not selected
406,not selected
407,not selected
408,not selected
410,train
411,train
413,test
414,test
416,test
417,train
418,train
419,train
421,train
422,test
423,not selected
424,test
425,not selected
429,train
430,train
431,not selected
433,test
434,train
435,train
436,train
437,train
438,not selected
441,train
442,not selected
445,train
446,train
447,train
448,train
449,not selected
451,train
452,train
453,not selected
455,train
456,test
457,not selected
458,train
460,train
461,not selected
463,train
464,train
465,test
466,train
467,not selected
468,train
469,not selected
471,train
472,test
473,train
475,not selected
476,not selected
478,not selected
479,train
480,test
481,train
483,not selected
484,not selected
485,train
486,not selected
487,test
488,not selected
489,test
490,train
492,not selected
493,test
494,not selected
495,not selected
496,train
497,not selected
498,not selected
499,test
500,train
502,not selected
504,not selected
507,train
508,train
509,not selected
510,test
512,train
514,not selected
516,test
517,not selected
518,not selected
519,train
521,train
522,test
523,not selected
524,train
525,not selected
528,test
529,test
532,not selected
533,not selected
534,not selected
535,train
536,not selected
537,train
538,train
540,not selected
541,train
542,not selected
543,train
544,not selected
545,not selected
548,train
549,train
551,train
552,train
553,train
554,test
555,not selected
556,not selected
557,not selected
559,not selected
561,not selected
563,test
564,not selected
565,test
567,not selected
570,not selected
571,train
572,test
573,train
574,train
575,test
577,not selected
578,train
582,test
583,train
584,train
585,test
586,train
588,test
589,train
590,train
591,test
592,not selected
595,not selected
596,train
597,not selected
598,not selected
599,train
600,train
601,not selected
602,not selected
603,not selected
604,not selected
606,test
608,train
609,train
610,train
611,not selected
613,train
614,train
615,not selected
616,not selected
620,test
622,train
623,not selected
624,train
626,not selected
629,not selected
630,not selected
632,train
633,not selected
635,test
637,test
638,test
639,not selected
640,test
643,test
644,not selected
645,train
648,test
649,train
650,not selected
653,test
654,not selected
656,not selected
657,not selected
659,test
661,not selected
663,not selected
664,train
666,test
668,test
670,test
672,train
673,train
677,train
678,train
680,not selected
681,not selected
683,not selected
684,test
685,not selected
686,train
687,not selected
688,not selected
694,not selected
695,not selected
697,test
698,train
701,not selected
709,not selected
710,not selected
711,not selected
712,not selected
713,train
714,train
716,not selected
717,not selected
718,test
719,train
720,train
721,train
722,not selected
723,test
724,train
725,not selected
726,test
727,not selected
728,not selected
730,not selected
731,train
732,train
733,not selected
734,not selected
735,test
737,not selected
738,not selected
739,not selected
741,not selected
742,not selected
743,not selected
744,train
746,not selected
747,not selected
749,train
750,not selected
751,not selected
752,train
753,not selected
755,train
756,not selected
757,not selected
758,not selected
759,test
760,not selected
762,not selected
763,train
764,test
766,train
768,not selected
769,train
770,test
771,train
772,train
774,not selected
775,not selected
776,not selected
778,not selected
779,train
780,not selected
781,train
784,not selected
787,not selected
788,test
789,train
790,train
792,test
793,not selected
794,train
795,not selected
796,test
797,not selected
798,not selected
800,not selected
801,train
802,train
803,not selected
804,not selected
807,test
808,train
809,not selected
810,not selected
812,train
813,test
815,not selected
816,test
818,not selected
819,train
820,not selected
821,test
822,not selected
825,not selected
826,test
829,not selected
830,not selected
831,train
832,test
833,not selected
835,not selected
838,train
839,not selected
840,train
841,not selected
842,not selected
844,not selected
845,train
846,train
848,test
849,test
850,not selected
851,not selected
852,not selected
853,test
854,test
855,test
856,not selected
