system_id,split
0,not selected
1,test
3,not selected
4,train
5,train
6,not selected
8,test
12,not selected
13,not selected
15,train
17,train
18,train
20,not selected
23,not selected
24,train
25,not selected
27,train
30,not selected
31,not selected
33,train
34,train
37,test
39,not selected
40,not selected
41,not selected
42,train
43,test
44,train
45,test
47,train
48,not selected
50,test
52,train
53,test
54,not selected
55,test
56,not selected
57,not selected
58,not selected
59,not selected
60,not selected
61,not selected
62,not selected
63,train
64,not selected
65,not selected
66,train
67,train
68,train
69,not selected
72,test
74,train
75,train
76,train
77,train
78,test
79,not selected
80,not selected
81,train
82,not selected
83,train
85,train
86,train
87,not selected
88,train
89,train
90,train
91,not selected
92,train
93,not selected
95,not selected
96,test
97,train
98,not selected
99,not selected
100,train
103,test
105,not selected
107,test
108,train
110,not selected
111,not selected
112,not selected
113,not selected
114,not selected
115,test
116,train
117,not selected
118,not selected
119,not selected
121,not selected
122,not selected
123,not selected
125,test
128,not selected
129,not selected
130,not selected
132,not selected
133,train
134,train
135,train
136,not selected
137,train
138,train
139,train
140,train
141,train
143,test
144,train
145,test
146,train
147,test
148,not selected
149,not selected
150,test
152,train
153,not selected
154,not selected
158,test
159,not selected
160,not selected
161,train
162,not selected
163,not selected
165,train
166,not selected
167,not selected
168,test
169,train
171,test
172,not selected
173,train
174,test
175,test
176,train
178,not selected
180,not selected
181,train
182,test
184,train
185,not selected
186,train
187,not selected
188,not selected
190,not selected
191,not selected
192,train
193,not selected
195,train
197,train
198,not selected
199,not selected
200,not selected
202,train
207,train
208,not selected
209,train
212,train
215,not selected
216,train
217,train
219,train
221,train
222,test
223,train
224,not selected
225,train
226,train
228,not selected
229,test
231,not selected
232,test
233,test
234,not selected
235,not selected
237,not selected
239,test
241,not selected
243,test
244,train
245,test
247,train
248,train
249,not selected
251,not selected
252,train
253,train
254,not selected
255,train
258,test
259,not selected
260,not selected
262,test
265,not selected
266,not selected
267,train
268,not selected
269,train
271,not selected
272,not selected
273,not selected
274,train
276,not selected
277,not selected
278,not selected
279,train
281,not selected
282,train
283,test
284,not selected
285,not selected
286,train
287,test
288,train
289,train
290,test
292,not selected
293,train
294,train
295,train
297,not selected
299,train
300,train
301,not selected
302,test
305,not selected
306,not selected
308,not selected
309,not selected
310,train
311,train
312,not selected
313,not selected
314,not selected
315,not selected
317,train
318,not selected
319,not selected
320,not selected
321,train
323,not selected
324,not selected
325,train
326,not selected
327,not selected
328,train
329,not selected
330,train
331,not selected
332,not selected
333,not selected
334,train
335,not selected
336,train
339,train
341,not selected
342,not selected
343,test
344,not selected
345,train
346,test
348,not selected
349,not selected
350,train
351,not selected
352,not selected
354,not selected
355,not selected
356,train
357,train
360,not selected
361,not selected
362,not selected
363,train
365,not selected
366,not selected
367,train
368,not selected
370,not selected
373,train
374,not selected
375,not selected
376,not selected
378,not selected
379,test
380,test
381,train
382,train
383,test
384,train
386,not selected
387,not selected
389,train
391,not selected
392,not selected
393,not selected
394,not selected
395,test
396,not selected
397,test
399,not selected
400,not selected
401,not selected
402,not selected
405,not selected
406,train
407,not selected
408,not selected
410,not selected
411,not selected
413,train
414,test
416,test
417,train
418,train
419,test
421,not selected
422,test
423,not selected
424,train
425,not selected
429,train
430,train
431,not selected
433,not selected
434,train
435,not selected
436,train
437,not selected
438,not selected
441,not selected
442,not selected
445,not selected
446,not selected
447,not selected
448,train
449,not selected
451,train
452,not selected
453,not selected
455,not selected
456,test
457,train
458,not selected
460,train
461,train
463,not selected
464,not selected
465,train
466,train
467,test
468,train
469,not selected
471,train
472,test
473,not selected
475,not selected
476,not selected
478,train
479,not selected
