system_id,split
0,not selected
1,test
3,not selected
4,not selected
5,not selected
6,test
8,test
12,train
13,not selected
15,train
17,train
18,train
20,not selected
23,train
24,not selected
25,not selected
27,not selected
30,not selected
31,train
33,train
34,train
37,not selected
39,not selected
40,train
41,test
42,not selected
43,test
44,train
45,not selected
47,train
48,test
50,test
52,train
53,not selected
54,not selected
55,test
56,not selected
57,not selected
58,train
59,test
60,not selected
61,not selected
62,not selected
63,train
64,not selected
65,test
66,not selected
67,train
68,train
69,not selected
72,not selected
74,not selected
75,not selected
76,train
77,train
78,not selected
79,not selected
80,not selected
81,train
82,train
83,train
85,not selected
86,train
87,test
88,train
89,train
90,train
91,train
92,train
93,not selected
95,not selected
96,not selected
97,not selected
98,not selected
99,train
100,train
103,not selected
105,not selected
107,test
108,not selected
110,train
111,not selected
112,train
113,not selected
114,not selected
115,test
116,train
117,train
118,not selected
119,train
121,not selected
122,not selected
123,train
125,test
128,test
129,not selected
130,not selected
132,not selected
133,train
134,not selected
135,train
136,test
137,train
138,train
139,train
140,train
141,train
143,test
144,not selected
145,test
146,train
147,test
148,test
149,not selected
150,not selected
152,train
153,test
154,train
158,test
159,not selected
160,train
161,not selected
162,not selected
163,train
165,not selected
166,not selected
167,train
168,test
169,train
171,not selected
172,not selected
173,train
174,not selected
175,not selected
176,train
178,not selected
180,not selected
181,train
182,test
184,train
185,test
186,train
187,train
188,train
190,not selected
191,test
192,train
193,not selected
195,train
197,train
198,not selected
199,not selected
200,not selected
202,train
207,not selected
208,not selected
209,train
212,train
215,train
216,train
217,train
219,train
221,not selected
222,not selected
223,train
224,test
225,not selected
226,train
228,train
229,test
231,train
232,test
233,not selected
234,not selected
235,train
237,test
239,test
241,test
243,not selected
244,train
245,not selected
247,train
248,not selected
249,test
251,not selected
252,train
253,train
254,not selected
255,not selected
258,test
259,not selected
260,not selected
262,test
265,train
266,not selected
267,train
268,not selected
269,train
271,not selected
272,train
273,test
274,train
276,test
277,not selected
278,test
279,train
281,not selected
282,train
283,test
284,not selected
285,not selected
286,not selected
287,not selected
288,train
289,train
290,not selected
292,not selected
293,train
294,train
295,not selected
297,test
299,train
300,train
301,train
302,test
305,test
306,train
308,train
309,not selected
310,train
311,not selected
312,test
313,not selected
314,train
315,train
317,train
318,not selected
319,train
320,not selected
321,not selected
323,not selected
324,not selected
325,train
326,not selected
327,not selected
328,not selected
329,not selected
330,train
331,train
332,not selected
333,test
334,train
335,not selected
336,train
339,train
341,not selected
342,train
343,not selected
344,not selected
345,train
346,test
348,train
349,not selected
350,not selected
351,not selected
352,not selected
354,not selected
355,train
356,train
357,not selected
360,not selected
361,not selected
362,not selected
363,train
365,not selected
366,not selected
367,not selected
368,not selected
370,not selected
373,train
374,train
375,not selected
376,not selected
378,not selected
379,not selected
380,test
381,not selected
382,train
383,not selected
384,not selected
386,not selected
387,not selected
389,not selected
391,test
392,not selected
393,test
394,not selected
395,test
396,test
397,test
399,not selected
400,not selected
401,not selected
402,not selected
405,not selected
406,train
407,test
408,not selected
410,not selected
411,not selected
413,train
414,test
416,not selected
417,not selected
418,not selected
419,test
421,not selected
422,not selected
423,train
424,train
425,not selected
429,train
430,train
431,test
433,not selected
434,train
435,not selected
436,train
437,train
438,not selected
441,not selected
442,not selected
445,not selected
446,not selected
447,test
448,train
449,not selected
451,train
452,not selected
453,test
455,train
456,not selected
457,train
458,not selected
460,train
461,train
463,train
464,test
465,train
466,train
467,not selected
468,train
469,not selected
471,train
472,test
473,test
475,test
476,test
478,train
479,not selected
480,not selected
481,test
483,not selected
484,not selected
485,test
486,test
