system_id,split
0,test
1,not selected
3,not selected
4,train
5,train
6,not selected
8,not selected
12,not selected
13,train
15,not selected
17,not selected
18,train
20,not selected
23,not selected
24,train
25,not selected
27,train
30,test
31,not selected
33,train
34,not selected
37,test
39,not selected
40,test
41,not selected
42,train
43,test
44,train
45,not selected
47,not selected
48,not selected
50,test
52,train
53,not selected
54,not selected
55,test
56,not selected
57,not selected
58,not selected
59,not selected
60,not selected
61,not selected
62,not selected
63,not selected
64,test
65,train
66,train
67,train
68,train
69,not selected
72,not selected
74,train
75,not selected
76,not selected
77,train
78,test
79,train
80,train
81,train
82,not selected
83,not selected
85,train
86,train
87,train
88,train
89,not selected
90,train
91,not selected
92,not selected
93,not selected
95,test
96,test
97,train
98,not selected
99,not selected
100,train
103,test
105,not selected
107,test
108,train
110,not selected
111,train
112,test
113,not selected
114,not selected
115,test
116,train
117,not selected
118,not selected
119,not selected
121,train
122,train
123,not selected
125,not selected
128,train
129,not selected
130,not selected
132,train
133,not selected
134,train
135,train
136,not selected
137,train
138,not selected
139,train
140,train
141,train
143,test
144,not selected
145,test
146,train
147,test
148,not selected
149,not selected
150,not selected
152,train
153,not selected
154,not selected
158,not selected
159,not selected
160,not selected
161,train
162,not selected
163,not selected
165,not selected
166,not selected
167,not selected
168,not selected
169,not selected
171,not selected
172,not selected
173,not selected
174,test
175,not selected
176,train
178,train
180,not selected
181,train
182,test
184,train
185,not selected
186,train
187,test
188,not selected
190,not selected
191,not selected
192,train
193,train
195,not selected
197,train
198,not selected
199,not selected
200,train
202,train
207,not selected
208,not selected
209,train
212,not selected
215,not selected
216,train
217,train
219,not selected
221,train
222,test
223,train
224,train
225,train
226,not selected
228,not selected
229,not selected
231,test
232,test
233,not selected
234,not selected
235,not selected
237,train
239,test
241,train
243,test
244,train
245,test
247,train
248,train
249,train
251,not selected
252,not selected
253,train
254,train
255,not selected
258,not selected
259,train
260,not selected
262,not selected
265,not selected
266,not selected
267,train
268,train
269,not selected
271,not selected
272,not selected
273,not selected
274,train
276,not selected
277,not selected
278,train
279,train
281,train
282,not selected
283,not selected
284,not selected
285,not selected
286,train
287,not selected
288,train
289,train
290,not selected
292,test
293,train
294,not selected
295,not selected
297,not selected
299,not selected
300,train
301,not selected
302,not selected
305,not selected
306,not selected
308,not selected
309,not selected
310,not selected
311,not selected
312,not selected
313,not selected
314,test
315,not selected
317,train
318,not selected
319,test
320,not selected
321,train
323,not selected
324,not selected
325,train
326,not selected
327,not selected
328,train
329,not selected
330,train
331,not selected
332,not selected
333,train
334,not selected
335,not selected
336,train
339,train
341,not selected
342,not selected
343,not selected
344,train
345,not selected
346,test
348,not selected
349,not selected
350,train
351,not selected
352,not selected
354,train
355,test
356,train
357,not selected
360,not selected
361,train
362,not selected
363,not selected
365,not selected
366,test
367,train
368,not selected
370,not selected
373,not selected
374,not selected
375,not selected
376,train
378,train
379,not selected
380,test
381,train
382,train
383,not selected
384,not selected
386,not selected
387,not selected
389,not selected
391,not selected
392,not selected
393,train
394,train
395,test
396,not selected
397,not selected
399,not selected
400,train
401,test
402,not selected
405,not selected
406,train
407,train
408,not selected
410,not selected
411,train
413,train
414,not selected
416,test
417,train
418,train
419,test
421,train
422,not selected
423,not selected
424,train
425,not selected
429,train
430,train
431,not selected
433,train
434,train
435,not selected
436,train
437,not selected
438,not selected
441,not selected
442,train
445,not selected
446,not selected
447,train
448,train
449,not selected
451,not selected
452,not selected
453,train
455,not selected
456,not selected
457,train
458,train
460,train
461,train
463,not selected
464,train
465,train
466,train
467,test
468,train
469,not selected
471,not selected
472,not selected
473,train
475,not selected
476,not selected
478,train
479,train
480,test
481,train
483,test
484,train
485,test
486,test
487,not selected
488,train
489,test
490,train
492,not selected
493,not selected
494,not selected
495,not selected
496,train
497,train
498,not selected
499,test
500,train
502,not selected
504,train
507,train
508,train
509,not selected
510,not selected
512,train
514,not selected
516,not selected
517,not selected
518,not selected
519,train
521,not selected
522,test
523,not selected
524,not selected
525,train
528,not selected
529,test
532,test
533,not selected
534,train
535,not selected
536,not selected
537,train
538,train
540,train
541,train
542,train
543,not selected
544,test
545,not selected
548,not selected
549,train
551,test
552,train
553,train
554,not selected
555,test
556,train
557,not selected
559,test
561,not selected
563,test
564,not selected
565,not selected
567,test
570,test
571,train
572,not selected
573,not selected
574,not selected
575,test
577,train
578,train
582,not selected
583,not selected
584,train
585,test
586,train
588,not selected
589,not selected
590,train
591,test
592,not selected
595,train
596,train
597,not selected
598,train
599,not selected
600,test
601,not selected
602,train
603,not selected
604,not selected
606,test
608,train
609,train
610,train
611,train
613,train
614,not selected
615,not selected
616,not selected
620,test
622,not selected
623,not selected
624,not selected
626,train
629,train
630,train
632,not selected
633,train
635,test
637,test
638,test
639,train
640,not selected
643,not selected
644,train
645,train
648,test
649,train
650,train
653,not selected
654,train
656,test
657,not selected
659,not selected
661,not selected
663,not selected
664,not selected
666,not selected
668,test
670,not selected
672,not selected
673,test
677,not selected
678,not selected
680,test
681,not selected
683,train
684,train
685,test
686,train
687,test
688,not selected
694,not selected
695,test
697,not selected
698,train
701,not selected
709,not selected
710,test
711,not selected
712,train
713,train
714,not selected
716,train
717,train
718,test
719,train
720,train
721,train
722,train
723,test
724,test
725,not selected
726,not selected
727,not selected
728,not selected
730,test
731,not selected
732,test
733,train
734,not selected
735,not selected
737,not selected
738,test
739,not selected
741,not selected
742,not selected
743,train
744,train
746,train
747,test
749,not selected
750,not selected
751,test
752,not selected
753,not selected
755,train
756,not selected
757,not selected
758,not selected
759,train
760,train
762,not selected
763,not selected
764,train
766,train
768,train
769,train
770,not selected
771,train
772,not selected
774,train
775,not selected
776,train
778,not selected
779,train
780,train
781,train
784,not selected
787,not selected
788,not selected
789,train
790,train
792,test
793,train
794,not selected
795,test
796,not selected
797,train
798,train
800,train
801,train
802,train
803,not selected
804,train
807,train
808,train
809,not selected
810,train
812,train
813,not selected
815,not selected
816,test
818,not selected
819,train
820,not selected
821,not selected
822,train
825,test
826,train
829,not selected
830,train
831,not selected
832,train
833,not selected
835,train
838,train
839,train
840,not selected
841,train
842,not selected
844,not selected
845,train
846,not selected
848,not selected
849,not selected
850,train
851,not selected
852,not selected
