system_id,split
0,not selected
1,train
3,train
4,not selected
5,not selected
6,not selected
8,train
12,train
13,train
15,not selected
17,not selected
18,train
20,test
23,train
24,train
25,not selected
27,not selected
30,test
31,not selected
33,not selected
34,not selected
37,test
39,not selected
40,not selected
41,test
42,train
43,not selected
44,train
45,train
47,not selected
48,test
50,not selected
52,train
53,train
54,not selected
55,not selected
56,train
57,not selected
58,not selected
59,test
60,not selected
61,train
62,not selected
63,not selected
64,not selected
65,train
66,not selected
67,train
68,train
69,not selected
72,not selected
74,not selected
75,test
76,not selected
77,train
78,not selected
79,train
80,train
81,train
82,not selected
83,not selected
85,not selected
86,train
87,train
88,not selected
89,not selected
90,not selected
91,train
92,not selected
93,train
95,test
96,not selected
97,train
98,not selected
99,not selected
100,not selected
103,test
105,not selected
107,not selected
108,train
110,train
111,train
112,not selected
113,not selected
114,train
115,test
116,train
117,train
118,not selected
119,train
121,train
122,not selected
123,train
125,not selected
128,not selected
129,not selected
130,not selected
132,train
133,not selected
134,train
135,train
136,not selected
137,train
138,not selected
139,train
140,train
141,train
143,not selected
144,test
145,test
146,train
147,not selected
148,test
149,not selected
150,train
152,train
153,test
154,train
158,train
159,test
160,train
161,not selected
162,train
163,train
165,not selected
166,not selected
167,train
168,train
169,test
171,train
172,not selected
173,not selected
174,test
175,not selected
176,train
178,train
180,test
181,not selected
182,not selected
184,train
185,not selected
186,train
187,not selected
188,not selected
190,test
191,test
192,train
193,not selected
195,test
197,not selected
198,not selected
199,not selected
200,train
202,not selected
207,test
208,test
209,not selected
212,not selected
215,train
216,train
217,train
219,not selected
221,not selected
222,test
223,train
224,not selected
225,train
226,test
228,not selected
229,not selected
231,not selected
232,not selected
233,not selected
234,test
235,not selected
237,not selected
239,test
241,train
243,not selected
244,train
245,test
247,not selected
248,train
249,train
251,not selected
252,not selected
253,not selected
254,train
255,test
258,not selected
259,not selected
260,not selected
262,not selected
265,not selected
266,train
267,not selected
268,train
269,not selected
271,not selected
272,train
273,not selected
274,not selected
276,test
277,not selected
278,not selected
279,train
281,train
282,not selected
283,train
284,not selected
285,test
286,not selected
287,train
288,train
289,train
290,not selected
292,test
293,train
294,test
295,test
297,test
299,not selected
300,train
301,train
302,not selected
305,not selected
306,train
308,train
309,not selected
310,not selected
311,test
312,test
313,train
314,test
315,not selected
317,not selected
318,test
319,not selected
320,not selected
321,train
323,not selected
324,test
325,train
326,not selected
327,test
328,not selected
329,train
330,train
331,not selected
332,not selected
333,train
334,not selected
335,train
336,train
339,not selected
341,not selected
342,not selected
343,train
344,train
345,test
346,test
348,train
349,not selected
350,not selected
351,test
352,train
354,train
355,not selected
356,train
357,test
360,not selected
361,train
362,train
363,not selected
365,test
366,not selected
367,train
368,not selected
370,test
373,test
374,train
375,train
376,train
378,not selected
379,train
380,test
381,train
382,train
383,not selected
384,not selected
386,train
387,train
389,not selected
391,test
392,not selected
393,train
394,train
395,test
396,not selected
397,train
399,not selected
400,train
401,test
402,not selected
405,train
406,train
407,not selected
408,not selected
410,test
411,train
413,train
414,not selected
416,test
417,not selected
418,not selected
419,test
421,train
422,not selected
423,not selected
424,not selected
425,not selected
429,train
430,not selected
431,not selected
433,not selected
434,train
435,test
436,train
437,train
438,test
441,not selected
442,train
445,not selected
446,not selected
447,train
448,train
449,train
451,not selected
452,not selected
453,not selected
455,train
456,not selected
457,train
458,not selected
460,train
461,not selected
463,train
464,not selected
465,train
466,train
467,not selected
468,train
469,not selected
471,not selected
472,not selected
473,train
475,test
476,test
478,not selected
479,train
480,test
481,not selected
483,test
484,not selected
485,not selected
486,not selected
487,not selected
488,not selected
489,test
490,train
492,not selected
493,test
494,test
495,test
496,not selected
497,train
498,not selected
499,not selected
500,train
502,not selected
504,train
507,not selected
508,train
509,not selected
510,train
512,train
514,not selected
516,not selected
517,not selected
518,train
519,train
521,not selected
522,test
523,test
524,train
525,not selected
528,test
529,not selected
532,test
533,not selected
534,not selected
535,not selected
536,not selected
537,train
538,train
540,not selected
541,train
542,train
543,not selected
544,test
545,not selected
