system_id,split
0,test
1,not selected
3,not selected
4,train
5,not selected
6,not selected
8,not selected
12,train
13,train
15,not selected
17,not selected
18,not selected
20,not selected
23,train
24,not selected
25,train
27,train
30,not selected
31,train
33,train
34,test
37,not selected
39,not selected
40,not selected
41,test
42,train
43,test
44,train
45,train
47,not selected
48,not selected
50,test
52,train
53,train
54,test
55,not selected
56,train
57,train
58,train
59,not selected
60,test
61,not selected
62,test
63,test
64,test
65,train
66,not selected
67,train
68,not selected
69,train
72,train
74,train
75,test
76,not selected
77,not selected
78,test
79,not selected
80,not selected
81,train
82,train
83,not selected
85,train
86,train
87,not selected
88,train
89,test
90,train
91,train
92,not selected
93,not selected
95,not selected
96,not selected
97,not selected
98,train
99,train
100,train
103,not selected
105,train
107,test
108,not selected
110,train
111,not selected
112,not selected
113,train
114,not selected
115,not selected
116,not selected
117,train
118,train
119,train
121,not selected
122,train
123,train
125,train
128,train
129,train
130,test
132,not selected
133,test
134,train
135,train
136,test
137,not selected
138,test
139,train
140,train
141,not selected
143,not selected
144,not selected
145,not selected
146,not selected
147,test
148,not selected
149,test
150,train
152,train
153,not selected
154,train
158,not selected
159,not selected
160,train
161,not selected
162,not selected
163,train
165,not selected
166,test
167,train
168,train
169,not selected
171,train
172,not selected
173,test
174,not selected
175,train
176,not selected
178,not selected
180,not selected
181,train
182,test
184,train
185,test
186,not selected
187,not selected
188,train
190,not selected
191,not selected
192,train
193,train
195,not selected
197,train
198,test
199,test
200,not selected
202,train
207,not selected
208,not selected
209,train
212,not selected
215,train
216,not selected
217,not selected
219,test
221,train
222,not selected
223,not selected
224,train
225,not selected
226,not selected
228,train
229,train
231,not selected
232,not selected
233,train
234,not selected
235,train
237,not selected
239,not selected
241,train
243,not selected
244,not selected
245,not selected
247,train
248,not selected
249,not selected
251,test
252,test
253,train
254,train
255,not selected
258,train
259,train
260,train
262,train
265,train
266,train
267,train
268,train
269,test
271,test
272,not selected
273,test
274,train
276,not selected
277,not selected
278,train
279,train
281,not selected
282,not selected
283,not selected
284,test
285,not selected
286,train
287,train
288,train
289,not selected
290,train
292,not selected
293,not selected
294,not selected
295,test
297,not selected
299,test
300,not selected
301,train
302,train
305,test
306,train
308,not selected
309,train
310,not selected
311,not selected
312,not selected
313,not selected
314,not selected
315,train
317,train
318,not selected
319,test
320,not selected
321,not selected
323,train
324,not selected
325,train
326,test
327,not selected
328,train
329,not selected
330,train
331,train
332,test
333,not selected
334,not selected
335,train
336,train
339,not selected
341,train
342,train
343,train
344,train
345,test
346,not selected
348,not selected
349,not selected
350,train
351,not selected
352,not selected
354,not selected
355,not selected
356,train
357,test
360,test
361,not selected
362,train
363,not selected
365,not selected
366,test
367,not selected
368,test
370,not selected
373,not selected
374,train
375,train
376,train
378,train
379,train
380,not selected
381,train
382,not selected
383,train
384,test
386,train
387,not selected
389,not selected
391,not selected
392,train
393,not selected
394,not selected
395,not selected
396,test
397,train
399,test
400,train
401,not selected
402,train
405,not selected
406,train
407,train
408,test
410,not selected
411,not selected
413,train
414,train
416,not selected
417,train
418,not selected
419,not selected
421,not selected
422,train
423,train
424,train
425,train
429,train
430,not selected
431,test
433,train
434,train
435,not selected
436,train
437,train
438,not selected
441,test
442,not selected
445,test
446,train
447,not selected
448,not selected
449,not selected
451,not selected
452,not selected
453,not selected
455,train
456,train
457,not selected
458,train
460,train
461,not selected
463,train
464,not selected
465,train
466,not selected
467,not selected
468,train
469,train
471,test
472,train
473,not selected
475,not selected
476,test
478,train
479,not selected
480,not selected
481,train
483,test
484,train
485,test
486,test
487,not selected
488,train
489,not selected
490,not selected
492,train
493,not selected
494,test
495,test
496,not selected
497,train
498,test
499,test
500,not selected
502,train
504,not selected
507,not selected
508,train
509,train
510,not selected
512,train
514,not selected
516,test
517,test
518,not selected
519,not selected
521,train
522,not selected
523,not selected
524,train
525,train
528,not selected
529,not selected
532,not selected
533,not selected
534,not selected
535,train
536,not selected
537,not selected
538,not selected
540,train
541,not selected
542,not selected
543,test
544,not selected
545,train
548,not selected
549,train
551,test
552,not selected
553,not selected
554,not selected
555,not selected
556,not selected
557,not selected
559,not selected
561,not selected
563,not selected
564,not selected
565,test
567,not selected
570,not selected
571,train
572,not selected
573,train
574,not selected
575,not selected
577,train
578,train
582,test
583,not selected
584,train
585,not selected
586,train
588,not selected
589,train
590,not selected
591,not selected
592,not selected
595,not selected
596,train
597,not selected
598,not selected
599,test
600,test
601,not selected
602,train
603,train
604,train
606,not selected
608,train
609,train
610,train
611,train
613,train
614,train
615,not selected
616,not selected
620,not selected
622,test
623,test
624,train
626,train
629,train
630,not selected
632,not selected
633,not selected
635,not selected
637,not selected
638,not selected
639,train
640,not selected
643,not selected
644,train
645,not selected
648,not selected
649,not selected
650,not selected
653,not selected
654,train
656,not selected
657,not selected
659,not selected
661,train
663,not selected
664,train
666,not selected
668,not selected
670,not selected
672,train
673,test
677,not selected
678,not selected
680,not selected
681,test
683,train
684,train
685,not selected
686,train
687,not selected
688,not selected
694,not selected
695,not selected
697,train
698,train
701,not selected
709,test
710,test
711,not selected
712,not selected
713,not selected
714,not selected
716,not selected
717,train
718,not selected
719,not selected
720,train
721,train
722,train
723,not selected
724,not selected
725,test
726,train
727,not selected
728,not selected
730,test
731,not selected
732,test
733,train
734,train
735,not selected
737,test
738,not selected
739,test
741,not selected
742,not selected
743,train
744,train
746,train
747,not selected
749,not selected
750,test
751,test
752,not selected
753,not selected
755,train
756,train
757,train
758,not selected
759,train
760,train
762,test
763,not selected
764,train
766,not selected
768,not selected
769,train
770,train
771,not selected
772,not selected
774,train
775,train
776,train
778,test
779,train
780,not selected
781,not selected
784,train
787,not selected
788,not selected
789,train
790,not selected
792,not selected
793,not selected
794,test
795,not selected
796,not selected
797,train
798,train
800,train
801,not selected
802,train
803,not selected
804,not selected
807,train
808,train
809,not selected
810,not selected
812,train
813,not selected
815,train
816,not selected
818,not selected
819,train
820,train
821,not selected
822,train
825,not selected
826,train
829,not selected
830,not selected
831,test
832,train
833,train
835,train
838,not selected
839,not selected
840,test
841,train
842,train
844,train
845,not selected
846,not selected
848,train
849,train
850,train
851,not selected
852,not selected
853,not selected
854,not selected
855,train
