system_id,split
0,not selected
1,train
3,train
4,train
5,train
6,not selected
8,train
12,train
13,train
15,not selected
17,not selected
18,train
20,not selected
23,train
24,not selected
25,train
27,train
30,test
31,train
33,train
34,test
37,not selected
39,not selected
40,not selected
41,not selected
42,train
43,test
44,not selected
45,train
47,not selected
48,not selected
50,not selected
52,train
53,train
54,test
55,not selected
56,train
57,train
58,train
59,test
60,not selected
61,train
62,test
63,test
64,test
65,not selected
66,train
67,not selected
68,train
69,not selected
72,not selected
74,train
75,not selected
76,not selected
77,not selected
78,not selected
79,train
80,train
81,train
82,train
83,not selected
85,not selected
86,train
87,not selected
88,not selected
89,test
90,train
91,train
92,test
93,train
95,test
96,not selected
97,not selected
98,not selected
99,train
100,train
103,not selected
105,not selected
107,not selected
108,train
110,train
111,train
112,not selected
113,not selected
114,train
115,test
116,train
117,train
118,train
119,train
121,train
122,not selected
123,train
125,not selected
128,not selected
129,train
130,not selected
132,not selected
133,test
134,train
135,not selected
136,test
137,not selected
138,test
139,not selected
140,not selected
141,not selected
143,not selected
144,not selected
145,not selected
146,train
147,test
148,test
149,not selected
150,not selected
152,train
153,not selected
154,not selected
158,train
159,not selected
160,train
161,train
162,train
163,train
165,test
166,test
167,train
168,not selected
169,not selected
171,train
172,test
173,not selected
174,not selected
175,train
176,not selected
178,not selected
180,not selected
181,not selected
182,test
184,train
185,test
186,train
187,not selected
188,train
190,not selected
191,not selected
192,train
193,train
195,test
197,train
198,not selected
199,not selected
200,train
202,train
207,not selected
208,not selected
209,not selected
212,test
215,train
216,train
217,not selected
219,test
221,not selected
222,not selected
223,not selected
224,train
225,train
226,not selected
228,not selected
229,train
231,not selected
232,test
233,train
234,not selected
235,train
237,train
239,test
241,train
243,not selected
244,not selected
245,not selected
247,train
248,train
249,not selected
251,not selected
252,not selected
253,train
254,train
255,not selected
258,not selected
259,not selected
260,not selected
262,not selected
265,train
266,train
267,train
268,train
269,not selected
271,test
272,train
273,not selected
274,train
276,not selected
277,not selected
278,train
279,not selected
281,not selected
282,not selected
283,train
284,not selected
285,not selected
286,train
287,not selected
288,train
289,not selected
290,train
292,test
293,train
294,not selected
295,not selected
297,test
299,test
300,not selected
301,not selected
302,train
305,not selected
306,not selected
308,train
309,train
310,test
311,not selected
312,not selected
313,train
314,not selected
315,train
317,not selected
318,not selected
319,test
320,test
321,not selected
323,not selected
324,test
325,train
326,test
327,test
328,train
329,not selected
330,not selected
331,train
332,not selected
333,not selected
334,test
335,not selected
336,not selected
339,train
341,train
342,train
343,train
344,not selected
345,not selected
346,test
348,not selected
349,not selected
350,train
351,not selected
352,not selected
354,train
355,not selected
356,train
357,test
360,not selected
361,not selected
362,not selected
363,not selected
365,not selected
366,test
367,train
368,test
370,not selected
373,not selected
374,train
375,not selected
376,train
378,not selected
379,train
380,test
381,train
382,train
383,train
384,not selected
386,not selected
387,train
389,test
391,test
392,train
393,not selected
394,train
395,not selected
396,not selected
397,not selected
399,test
400,train
401,not selected
402,not selected
405,train
406,train
407,train
408,not selected
410,test
411,not selected
413,train
414,train
416,not selected
417,not selected
418,train
419,not selected
421,train
422,train
423,train
424,train
425,not selected
429,train
430,not selected
431,test
433,not selected
434,train
435,test
436,train
437,train
438,not selected
441,not selected
442,train
445,test
446,train
447,train
448,train
449,train
451,test
452,test
453,train
455,not selected
456,train
457,train
458,train
460,train
461,train
463,train
464,not selected
465,not selected
466,train
467,not selected
468,train
469,not selected
471,test
472,not selected
473,not selected
475,test
476,not selected
478,train
479,train
480,not selected
481,train
483,not selected
484,train
485,not selected
486,not selected
487,test
488,not selected
489,not selected
490,not selected
492,train
493,test
494,test
495,test
496,train
497,train
498,test
499,not selected
500,not selected
502,train
504,train
507,train
508,train
509,train
510,train
512,train
514,train
516,not selected
517,not selected
518,train
519,train
521,not selected
522,not selected
523,not selected
524,train
525,not selected
528,not selected
529,not selected
532,test
533,test
534,train
535,train
536,test
537,train
538,not selected
540,train
541,not selected
542,train
543,not selected
544,not selected
545,train
548,train
549,train
551,test
552,not selected
553,train
