system_id,split
0,test
1,not selected
3,not selected
4,not selected
5,not selected
6,test
8,not selected
12,train
13,train
15,not selected
17,not selected
18,train
20,not selected
23,train
24,not selected
25,not selected
27,not selected
30,test
31,train
33,train
34,not selected
37,not selected
39,not selected
40,not selected
41,test
42,not selected
43,test
44,train
45,train
47,not selected
48,test
50,test
52,train
53,train
54,not selected
55,test
56,not selected
57,not selected
58,train
59,test
60,not selected
61,not selected
62,not selected
63,not selected
64,test
65,not selected
66,not selected
67,train
68,train
69,not selected
72,train
74,not selected
75,test
76,not selected
77,train
78,not selected
79,train
80,train
81,train
82,train
83,not selected
85,not selected
86,train
87,not selected
88,train
89,not selected
90,train
91,train
92,not selected
93,not selected
95,test
96,not selected
97,not selected
98,not selected
99,train
100,train
103,not selected
105,not selected
107,test
108,not selected
110,train
111,train
112,not selected
113,not selected
114,not selected
115,test
116,train
117,train
118,not selected
119,train
121,train
122,train
123,train
125,not selected
128,not selected
129,not selected
130,not selected
132,train
133,not selected
134,not selected
135,train
136,test
137,train
138,not selected
139,train
140,train
141,train
143,test
144,test
145,test
146,train
147,test
148,test
149,not selected
150,train
152,train
153,test
154,train
158,not selected
159,not selected
160,train
161,not selected
162,not selected
163,train
165,test
166,not selected
167,train
168,not selected
169,not selected
171,train
172,not selected
173,not selected
174,not selected
175,train
176,train
178,train
180,not selected
181,train
182,test
184,train
185,test
186,train
187,not selected
188,train
190,not selected
191,test
192,train
193,train
195,not selected
197,train
198,not selected
199,not selected
200,train
202,train
207,test
208,not selected
209,train
212,not selected
215,train
216,train
217,train
219,not selected
221,not selected
222,not selected
223,train
224,not selected
225,not selected
226,not selected
228,train
229,not selected
231,not selected
232,test
233,train
234,not selected
235,train
237,not selected
239,test
241,not selected
243,not selected
244,train
245,not selected
247,train
248,not selected
249,not selected
251,not selected
252,not selected
253,train
254,train
255,test
258,not selected
259,train
260,not selected
262,not selected
265,train
266,not selected
267,train
268,train
269,not selected
271,not selected
272,train
273,test
274,train
276,test
277,not selected
278,not selected
279,train
281,train
282,not selected
283,not selected
284,not selected
285,not selected
286,not selected
287,train
288,train
289,train
290,train
292,test
293,train
294,not selected
295,test
297,test
299,not selected
300,train
301,train
302,not selected
305,test
306,train
308,train
309,not selected
310,not selected
311,test
312,test
313,not selected
314,not selected
315,train
317,train
318,not selected
319,not selected
320,not selected
321,not selected
323,not selected
324,not selected
325,train
326,not selected
327,not selected
328,not selected
329,not selected
330,train
331,train
332,not selected
333,not selected
334,not selected
335,not selected
336,train
339,train
341,not selected
342,train
343,train
344,train
345,not selected
346,test
348,train
349,not selected
350,not selected
351,not selected
352,not selected
354,train
355,not selected
356,train
357,test
360,not selected
361,train
362,not selected
363,not selected
365,not selected
366,test
367,not selected
368,not selected
370,not selected
373,not selected
374,train
375,not selected
376,train
378,train
379,train
380,test
381,not selected
382,train
383,train
384,test
386,not selected
387,not selected
389,test
391,test
392,not selected
393,not selected
394,train
395,test
396,test
397,not selected
399,not selected
400,train
401,test
402,not selected
405,not selected
406,train
407,not selected
408,not selected
410,not selected
411,train
413,train
414,not selected
416,not selected
417,not selected
418,not selected
419,test
421,train
422,train
423,train
424,train
425,not selected
429,train
430,train
431,test
433,train
434,train
435,not selected
436,train
437,train
438,not selected
441,not selected
442,train
445,not selected
446,not selected
447,not selected
448,train
449,not selected
451,not selected
452,not selected
453,not selected
455,train
456,train
457,train
458,train
460,train
461,train
463,train
464,not selected
465,train
466,train
467,not selected
468,train
469,not selected
471,not selected
472,not selected
473,not selected
475,test
476,test
478,train
479,train
480,not selected
481,not selected
483,not selected
484,not selected
485,test
486,test
487,not selected
488,train
489,not selected
490,not selected
492,not selected
493,not selected
494,test
495,not selected
496,not selected
497,train
498,not selected
499,not selected
500,train
502,train
504,not selected
507,not selected
508,not selected
509,train
510,not selected
512,train
514,not selected
516,not selected
517,test
518,train
519,train
521,not selected
522,test
523,test
524,train
525,train
528,not selected
529,not selected
532,test
533,test
534,not selected
535,not selected
536,not selected
537,train
538,train
540,train
541,train
542,train
543,not selected
544,not selected
545,not selected
548,train
549,train
551,test
552,not selected
553,not selected
554,test
555,test
556,train
557,not selected
559,not selected
561,not selected
563,not selected
564,test
565,not selected
567,not selected
570,not selected
571,train
572,not selected
573,not selected
574,not selected
575,not selected
577,train
578,train
582,test
583,not selected
584,train
585,not selected
586,train
588,not selected
589,not selected
590,train
591,test
592,train
595,train
596,train
597,not selected
598,train
599,not selected
600,test
601,not selected
602,train
603,not selected
604,not selected
606,not selected
608,train
609,train
610,train
611,not selected
613,train
614,train
615,test
616,not selected
620,test
622,test
623,test
624,not selected
626,train
629,not selected
630,train
632,not selected
633,not selected
635,not selected
637,not selected
638,test
639,train
640,not selected
643,test
644,train
645,train
648,not selected
649,not selected
650,train
653,not selected
654,not selected
656,not selected
657,train
659,not selected
661,train
663,test
664,not selected
666,not selected
668,not selected
670,train
672,train
673,test
677,test
678,train
680,not selected
681,test
683,not selected
684,train
685,not selected
686,train
687,test
688,not selected
694,not selected
695,not selected
697,train
698,not selected
701,train
709,not selected
710,not selected
711,not selected
712,not selected
713,not selected
714,not selected
716,train
717,not selected
718,test
719,train
720,train
721,train
722,train
723,not selected
724,test
725,test
726,not selected
727,not selected
728,test
730,test
731,test
732,test
733,train
734,train
735,test
737,not selected
738,test
739,test
741,test
742,not selected
743,train
744,train
746,not selected
747,not selected
749,train
750,not selected
751,test
752,not selected
753,not selected
755,train
756,not selected
757,train
758,not selected
759,train
760,train
762,not selected
763,not selected
764,train
766,not selected
768,train
769,not selected
770,train
771,train
772,not selected
774,not selected
775,train
776,train
778,test
779,train
780,not selected
781,not selected
784,train
787,not selected
788,not selected
789,train
790,train
792,not selected
793,train
794,not selected
795,not selected
796,not selected
797,train
798,not selected
800,train
801,not selected
802,train
803,not selected
804,train
807,train
808,train
809,test
810,not selected
812,not selected
813,not selected
815,not selected
816,not selected
818,test
819,train
820,not selected
821,test
822,train
825,not selected
826,not selected
829,not selected
830,not selected
831,not selected
832,not selected
833,train
835,train
838,train
839,not selected
840,not selected
841,not selected
842,not selected
844,train
845,not selected
846,not selected
848,train
849,train
850,not selected
851,not selected
852,not selected
853,test
854,train
