system_id,split
0,test
1,not selected
3,train
4,not selected
5,train
6,not selected
8,train
12,not selected
13,not selected
15,not selected
17,not selected
18,train
20,test
23,train
24,train
25,train
27,train
30,test
31,not selected
33,not selected
34,not selected
37,test
39,not selected
40,not selected
41,not selected
42,train
43,not selected
44,train
45,not selected
47,test
48,test
50,test
52,train
53,train
54,not selected
55,not selected
56,train
57,not selected
58,not selected
59,not selected
60,not selected
61,train
62,test
63,not selected
64,not selected
65,train
66,train
67,not selected
68,train
69,not selected
72,not selected
74,not selected
75,not selected
76,test
77,train
78,not selected
79,train
80,train
81,not selected
82,not selected
83,not selected
85,not selected
86,not selected
87,train
88,train
89,not selected
90,train
91,not selected
92,not selected
93,not selected
95,test
96,test
97,train
98,not selected
99,train
100,not selected
103,test
105,train
107,not selected
108,train
110,train
111,train
112,not selected
113,not selected
114,not selected
115,test
116,train
117,not selected
118,not selected
119,not selected
121,train
122,not selected
123,not selected
125,not selected
128,train
129,train
130,not selected
132,not selected
133,not selected
134,train
135,train
136,not selected
137,train
138,not selected
139,train
140,train
141,train
143,not selected
144,test
145,test
146,train
147,not selected
148,test
149,not selected
150,not selected
152,train
153,not selected
154,not selected
158,not selected
159,test
160,not selected
161,train
162,train
163,not selected
165,not selected
166,not selected
167,train
168,not selected
169,test
171,not selected
172,test
173,not selected
174,test
175,not selected
176,train
178,not selected
180,test
181,train
182,not selected
184,train
185,not selected
186,train
187,test
188,not selected
190,not selected
191,test
192,train
193,train
195,not selected
197,not selected
198,not selected
199,not selected
200,not selected
202,not selected
207,test
208,test
209,train
212,not selected
215,not selected
216,train
217,train
219,not selected
221,not selected
222,test
223,train
224,train
225,train
226,test
228,not selected
229,not selected
231,not selected
232,test
233,not selected
234,test
235,not selected
237,train
239,test
241,not selected
243,test
244,train
245,not selected
247,not selected
248,train
249,train
251,not selected
252,not selected
253,not selected
254,train
255,not selected
258,not selected
259,not selected
260,not selected
262,train
265,not selected
266,train
267,train
268,train
269,not selected
271,not selected
272,not selected
273,not selected
274,not selected
276,not selected
277,test
278,not selected
279,train
281,train
282,not selected
283,train
284,not selected
285,test
286,not selected
287,train
288,train
289,train
290,train
292,not selected
293,train
294,test
295,not selected
297,test
299,not selected
300,train
301,not selected
302,not selected
305,not selected
306,train
308,not selected
309,train
310,test
311,test
312,not selected
313,train
314,test
315,not selected
317,train
318,test
319,not selected
320,not selected
321,train
323,not selected
324,test
325,not selected
326,not selected
327,test
328,not selected
329,train
330,train
331,not selected
332,test
333,train
334,test
335,not selected
336,train
339,not selected
341,train
342,not selected
343,not selected
344,train
345,not selected
346,test
348,train
349,not selected
350,train
351,not selected
352,train
354,train
355,test
356,train
357,not selected
360,not selected
361,train
362,not selected
363,test
365,test
366,not selected
367,train
368,not selected
370,not selected
373,not selected
374,not selected
375,not selected
376,train
378,not selected
379,not selected
380,test
381,not selected
382,train
383,not selected
384,not selected
386,not selected
387,train
389,not selected
391,not selected
392,train
393,train
394,train
395,test
396,not selected
397,not selected
399,not selected
400,train
401,test
402,not selected
405,train
406,train
407,not selected
408,not selected
410,not selected
411,train
413,not selected
414,not selected
416,test
417,train
418,train
419,not selected
421,train
422,not selected
423,not selected
424,not selected
425,not selected
429,train
430,train
431,not selected
433,not selected
434,train
435,not selected
436,train
437,train
438,not selected
441,not selected
442,train
445,not selected
446,train
447,train
448,train
449,not selected
451,not selected
452,not selected
453,train
455,train
456,not selected
457,not selected
458,train
460,train
461,not selected
463,train
464,train
465,not selected
466,train
467,not selected
468,train
469,not selected
471,not selected
472,not selected
473,train
475,not selected
476,not selected
478,not selected
479,train
480,test
481,train
483,test
484,not selected
485,not selected
486,not selected
487,test
488,train
489,test
490,train
492,not selected
493,test
494,not selected
495,not selected
496,train
497,not selected
498,not selected
499,test
500,train
502,not selected
504,train
507,train
508,train
509,not selected
510,not selected
512,train
514,train
516,test
517,not selected
518,not selected
519,train
521,train
522,test
523,not selected
524,train
525,train
528,test
529,test
532,test
533,not selected
534,train
535,train
536,not selected
537,train
538,train
540,not selected
541,train
542,train
543,not selected
544,test
545,not selected
548,train
549,train
551,not selected
552,train
553,train
554,test
555,not selected
556,train
557,not selected
559,test
561,not selected
563,test
564,not selected
565,test
567,not selected
570,not selected
571,train
572,test
573,train
574,train
575,test
577,train
578,train
582,test
583,train
584,train
585,test
586,train
588,test
589,train
590,train
591,test
592,not selected
595,not selected
596,train
597,not selected
598,train
599,not selected
600,not selected
601,not selected
602,train
603,not selected
604,not selected
606,test
608,train
609,train
610,train
611,train
613,train
614,train
615,not selected
616,not selected
620,test
622,not selected
623,test
624,train
626,not selected
629,not selected
630,not selected
632,train
633,train
635,test
637,test
638,test
639,not selected
640,test
643,test
644,not selected
645,train
648,test
649,train
650,train
653,test
654,train
656,not selected
657,not selected
659,test
661,not selected
663,test
664,train
666,test
668,test
670,not selected
672,train
673,not selected
677,not selected
678,train
680,not selected
681,not selected
683,not selected
684,not selected
685,test
686,train
687,not selected
688,test
694,not selected
695,not selected
697,not selected
698,train
701,not selected
709,not selected
710,not selected
711,train
712,train
713,train
714,train
716,train
717,train
718,test
719,train
720,train
721,train
722,train
723,test
724,not selected
725,not selected
726,not selected
727,not selected
728,test
730,not selected
731,not selected
732,not selected
733,not selected
734,not selected
735,test
737,not selected
738,not selected
739,not selected
741,not selected
742,train
743,not selected
744,train
746,train
747,not selected
749,train
750,not selected
751,test
752,train
753,not selected
755,train
756,not selected
757,not selected
758,not selected
759,not selected
760,train
762,test
763,not selected
764,not selected
766,train
768,train
769,train
770,not selected
771,train
772,not selected
774,train
775,not selected
776,train
778,not selected
779,train
780,train
781,train
784,not selected
787,not selected
788,not selected
789,train
790,train
792,test
793,train
794,not selected
795,test
796,test
797,train
798,not selected
800,not selected
801,train
802,train
803,not selected
804,not selected
807,not selected
808,train
809,not selected
810,train
812,train
813,test
815,not selected
816,test
818,not selected
819,train
820,not selected
821,test
822,not selected
825,not selected
826,not selected
829,not selected
830,train
831,not selected
832,not selected
833,not selected
835,not selected
838,train
839,train
840,not selected
841,train
842,not selected
844,train
845,train
846,not selected
848,not selected
849,not selected
850,not selected
851,test
852,not selected
853,test
854,not selected
855,not selected
