system_id,split
0,test
1,train
3,train
4,train
5,train
6,train
8,train
12,train
13,test
15,train
17,train
18,train
20,train
23,test
24,test
25,train
27,train
30,train
31,train
33,test
34,train
37,train
39,train
40,train
41,train
42,test
43,train
44,train
45,test
47,test
48,train
50,train
52,test
53,test
54,train
55,train
56,train
57,train
58,test
59,train
60,test
61,train
62,train
63,train
64,train
65,train
66,train
67,train
68,train
69,train
72,test
74,train
75,test
76,train
77,test
78,train
79,train
80,train
81,test
82,test
83,train
85,train
86,train
87,train
88,train
89,train
90,test
91,train
92,train
93,train
95,train
96,train
97,train
98,train
99,train
100,train
103,train
105,train
107,train
108,test
110,test
111,train
112,train
113,train
114,test
115,test
116,train
117,test
118,test
119,train
121,test
122,train
123,train
125,train
128,train
129,train
130,test
132,train
133,train
134,train
135,test
136,train
137,test
138,test
139,train
140,test
141,train
143,train
144,train
145,test
146,train
147,train
148,test
149,train
150,train
152,train
153,train
154,train
158,train
159,train
160,train
161,train
162,train
163,train
165,train
166,test
167,train
168,train
169,train
171,train
172,train
173,train
174,train
175,test
176,test
178,train
180,train
181,train
182,train
184,train
185,train
186,train
187,train
188,train
190,train
191,train
192,train
193,train
195,train
197,train
198,test
199,train
200,test
202,train
207,test
208,train
209,train
212,train
215,test
216,test
217,train
219,train
221,train
222,test
223,train
224,train
225,train
226,test
228,train
229,test
231,test
232,train
233,train
234,test
235,train
237,test
239,train
241,train
243,train
244,train
245,train
247,test
248,train
249,test
251,train
252,test
253,train
254,test
255,train
258,train
259,test
260,train
262,train
265,train
266,train
267,train
268,test
269,test
271,test
272,test
273,train
274,train
276,train
277,test
278,test
279,test
281,train
282,train
283,train
284,test
285,train
286,train
287,train
288,train
289,train
290,train
292,train
293,test
294,test
295,train
297,train
299,test
300,test
301,train
302,test
305,test
306,train
308,train
309,train
310,train
311,train
312,train
313,train
314,test
315,test
317,train
318,train
319,train
320,test
321,test
323,train
324,train
325,train
326,train
327,test
328,test
329,train
330,train
331,train
332,test
333,test
334,train
335,train
336,train
339,train
341,train
342,train
343,test
344,test
345,train
346,train
348,train
349,train
350,train
351,train
352,train
354,train
355,train
356,train
357,train
360,train
361,test
362,train
363,train
365,train
366,train
367,train
368,test
370,train
373,train
374,train
375,train
376,train
378,train
379,train
380,train
381,train
382,test
383,train
384,train
386,train
387,train
389,train
391,train
392,train
393,train
394,test
395,train
396,train
397,train
399,test
400,train
401,train
402,train
405,test
406,train
407,train
408,train
410,train
411,train
413,test
414,train
416,test
417,test
418,test
419,train
421,train
422,train
423,train
424,train
425,train
429,train
430,test
431,test
433,train
434,train
435,train
436,train
437,train
438,train
441,test
442,train
445,train
446,train
447,train
448,test
449,test
451,train
452,test
453,train
455,train
456,train
457,test
458,train
460,train
461,train
463,train
464,train
465,test
466,train
467,train
468,train
469,train
471,train
472,train
473,train
475,train
476,train
478,test
479,train
480,train
481,train
483,train
484,train
485,test
486,train
487,train
488,train
489,train
490,train
492,train
493,train
494,train
495,train
496,train
497,train
498,test
499,train
500,train
502,train
504,train
507,train
508,train
509,train
510,train
512,train
514,train
516,test
517,test
518,test
519,test
521,train
522,test
523,train
524,train
525,test
528,train
529,train
532,train
533,train
534,test
535,train
536,train
537,train
538,train
540,train
541,train
542,train
543,train
544,train
545,test
548,train
549,test
551,train
552,test
553,train
554,train
555,train
556,train
557,train
559,test
561,train
563,test
564,train
565,test
567,train
570,train
571,train
572,test
573,train
574,train
575,train
577,train
578,train
582,test
583,train
584,train
585,train
586,train
588,train
589,train
590,train
591,train
592,test
595,train
596,test
597,train
598,train
599,train
600,test
601,train
602,train
603,train
604,train
606,train
608,train
609,train
610,train
611,train
613,test
614,train
615,train
616,train
620,train
622,train
623,train
624,train
626,train
629,train
630,train
632,test
633,train
635,test
637,train
638,train
639,test
640,train
643,train
644,train
645,test
648,train
649,test
650,train
653,test
654,train
656,train
657,test
659,train
661,train
663,train
664,train
666,train
668,train
670,test
672,train
673,train
677,train
678,train
680,test
681,train
683,test
684,train
685,train
686,train
687,train
688,train
694,train
695,train
697,train
698,test
701,train
709,train
710,test
711,train
712,train
713,train
714,train
716,test
717,train
718,test
719,test
720,test
721,test
722,test
723,train
724,train
725,test
726,train
727,train
728,train
730,train
731,train
732,test
733,train
734,train
735,train
737,train
738,train
739,train
741,train
742,train
743,test
744,train
746,train
747,train
749,train
750,train
751,train
752,test
753,train
755,train
756,train
757,test
758,train
759,test
760,train
762,test
763,train
764,test
766,train
768,train
769,train
770,test
771,train
772,train
774,train
775,test
776,test
778,train
779,train
780,train
781,train
784,train
787,train
788,train
789,train
790,train
792,test
793,train
794,train
795,train
796,train
797,train
798,test
800,train
801,test
802,test
803,train
804,train
807,test
808,train
809,train
810,test
812,train
813,train
815,test
816,train
818,train
819,train
820,train
821,train
822,test
825,test
826,train
829,train
830,test
831,train
832,test
833,train
835,test
838,train
839,train
840,train
841,train
842,test
844,test
845,train
846,train
848,train
849,train
850,train
851,train
852,train
853,train
854,test
855,train
856,train
857,train
859,train
860,test
861,train
862,train
863,test
864,train
865,test
868,train
869,train
871,train
872,train
875,train
876,train
877,train
879,test
880,test
882,test
883,test
885,test
886,train
888,test
889,train
891,train
893,train
894,train
895,train
896,train
897,train
898,train
901,train
902,test
903,train
904,train
905,train
908,train
911,train
912,train
913,train
918,train
921,train
922,train
923,train
925,train
926,test
927,train
929,train
931,test
932,train
933,test
934,test
936,train
937,train
938,train
939,train
941,train
942,train
944,train
946,train
947,train
949,train
950,train
951,train
952,train
954,train
955,train
956,train
957,train
958,test
959,train
960,train
961,train
962,train
963,train
964,test
965,train
967,train
968,train
969,train
970,train
971,test
972,train
973,train
975,train
976,train
977,train
978,train
979,train
981,test
983,train
985,train
988,train
989,train
990,train
991,test
992,train
993,train
994,train
996,train
997,train
998,train
999,train
1000,train
1001,train
1003,test
1004,train
1006,test
1007,train
1009,train
1012,train
1013,test
1014,test
1015,train
1017,test
1018,train
1020,train
1021,train
1022,test
1023,train
1024,test
1026,test
1027,test
1030,train
1031,test
1032,train
1035,train
1036,train
1037,train
1038,train
1041,train
1042,train
1043,train
1044,train
1045,test
1049,train
1050,train
1051,train
1053,train
1055,train
1056,train
1057,test
1058,train
1059,test
1060,train
1061,train
1062,test
1064,test
1067,test
1068,train
1069,train
1070,train
1071,train
1072,test
1073,test
1076,train
1077,test
1078,train
1079,test
1080,train
1081,train
1083,test
1085,train
1086,train
1087,train
1088,train
1092,train
1093,train
1094,train
1095,train
1096,train
1097,train
1098,test
1099,test
1100,test
1102,train
1103,train
1104,train
1107,train
1108,train
1110,test
1112,train
1113,train
1114,test
1116,train
1117,test
1118,train
1119,train
1120,test
1121,train
1123,train
1125,train
1127,train
1128,train
1129,train
1130,train
1131,train
1132,train
1134,train
1135,test
1136,train
1139,test
1141,train
1142,train
1143,train
1145,train
1148,train
1149,train
1150,train
1151,train
1152,train
1153,test
1154,train
1155,test
1156,train
1159,test
1161,train
