system_id,split
0,test
1,not selected
3,train
4,train
5,train
6,train
8,not selected
12,train
13,test
15,not selected
17,not selected
18,train
20,train
23,test
24,not selected
25,not selected
27,train
30,test
31,not selected
33,test
34,not selected
37,train
39,train
40,not selected
41,train
42,test
43,not selected
44,train
45,test
47,test
48,train
50,train
52,not selected
53,test
54,train
55,not selected
56,train
57,test
58,not selected
59,train
60,not selected
61,not selected
62,not selected
63,test
64,not selected
65,not selected
66,not selected
67,train
68,test
69,train
72,test
74,train
75,test
76,not selected
77,not selected
78,train
79,test
80,not selected
81,test
82,not selected
83,not selected
85,train
86,not selected
87,not selected
88,not selected
89,test
90,not selected
91,train
92,not selected
93,train
95,test
96,train
97,test
98,train
99,train
100,not selected
103,not selected
105,train
107,train
108,not selected
110,not selected
111,not selected
112,test
113,train
114,test
115,not selected
116,train
117,not selected
118,test
119,train
121,test
122,test
123,train
125,not selected
128,not selected
129,not selected
130,not selected
132,not selected
133,test
134,train
135,not selected
136,train
137,not selected
138,test
139,train
140,not selected
141,train
143,not selected
144,test
145,not selected
146,train
147,train
148,not selected
149,train
150,not selected
152,not selected
153,train
154,train
158,not selected
159,train
160,not selected
161,not selected
162,not selected
163,train
165,not selected
166,not selected
167,not selected
168,test
169,not selected
171,not selected
172,train
173,not selected
174,train
175,test
176,not selected
178,test
180,train
181,not selected
182,not selected
184,train
185,train
186,train
187,not selected
188,train
190,train
191,train
192,train
193,not selected
195,not selected
197,train
198,not selected
199,train
200,test
202,train
207,test
208,train
209,train
212,not selected
215,not selected
216,test
217,train
219,not selected
221,not selected
222,not selected
223,train
224,test
225,train
226,test
228,train
229,test
231,test
232,train
233,not selected
234,not selected
235,train
237,test
239,train
241,not selected
243,train
244,not selected
245,train
247,test
248,train
249,test
251,train
252,test
253,not selected
254,test
255,test
258,not selected
259,test
260,test
262,test
265,train
266,train
267,train
268,test
269,test
271,not selected
272,not selected
273,train
274,train
276,train
277,not selected
278,test
279,not selected
281,test
282,not selected
283,not selected
284,not selected
285,train
286,train
287,test
288,not selected
289,train
290,not selected
292,test
293,not selected
294,test
295,not selected
297,train
299,test
300,not selected
301,test
302,test
305,not selected
306,not selected
308,train
309,not selected
310,not selected
311,not selected
312,not selected
313,test
314,test
315,not selected
317,not selected
318,train
319,test
320,not selected
321,not selected
323,train
324,train
325,not selected
326,train
327,not selected
328,not selected
329,train
330,train
331,not selected
332,not selected
333,test
334,not selected
335,train
336,train
339,train
341,not selected
342,train
343,test
344,test
345,not selected
346,not selected
348,not selected
349,train
350,not selected
351,train
352,not selected
354,not selected
355,not selected
356,train
357,not selected
360,train
361,test
362,not selected
363,not selected
365,train
366,test
367,train
368,not selected
370,train
373,not selected
374,not selected
375,train
376,not selected
378,not selected
379,not selected
380,train
381,train
382,not selected
383,not selected
384,not selected
386,train
387,train
389,not selected
391,train
392,test
393,test
394,test
395,not selected
396,not selected
397,not selected
399,not selected
400,not selected
401,not selected
402,test
405,not selected
406,train
407,not selected
408,train
410,train
411,not selected
413,not selected
414,not selected
416,not selected
417,test
418,train
419,train
421,not selected
422,not selected
423,train
424,train
425,train
429,not selected
430,not selected
431,not selected
433,not selected
434,train
435,train
436,not selected
437,not selected
438,not selected
441,not selected
442,not selected
445,train
446,train
447,not selected
448,not selected
449,not selected
451,not selected
452,not selected
453,not selected
455,not selected
456,not selected
457,not selected
458,not selected
460,train
461,not selected
463,not selected
464,test
465,not selected
466,not selected
467,train
468,train
469,not selected
471,not selected
472,not selected
473,not selected
475,train
476,train
478,not selected
479,not selected
480,train
481,not selected
483,train
484,train
485,not selected
486,train
487,train
488,test
489,train
490,not selected
492,test
493,test
494,not selected
495,not selected
496,train
497,not selected
498,test
499,train
500,not selected
502,train
504,train
507,train
508,test
509,train
510,train
512,not selected
514,train
516,not selected
517,test
518,not selected
519,not selected
521,not selected
522,test
523,not selected
524,train
525,test
528,not selected
529,not selected
532,train
533,train
534,train
535,not selected
536,train
537,test
538,train
540,train
541,train
542,train
543,not selected
544,train
545,not selected
548,test
549,test
551,train
552,test
553,train
554,train
555,train
556,test
557,not selected
559,not selected
561,not selected
563,not selected
564,train
565,test
567,not selected
570,not selected
571,train
572,not selected
573,test
574,not selected
575,not selected
577,train
578,not selected
582,not selected
583,not selected
584,not selected
585,not selected
586,train
588,not selected
589,test
590,test
591,not selected
592,test
595,train
596,test
597,not selected
598,not selected
599,train
600,not selected
601,train
602,not selected
603,train
604,train
606,not selected
608,train
609,not selected
610,train
611,not selected
613,not selected
614,test
615,not selected
616,not selected
620,not selected
622,train
623,not selected
624,not selected
626,train
629,not selected
630,train
632,test
633,train
635,test
637,train
638,train
639,not selected
640,train
643,not selected
644,train
645,test
648,train
649,not selected
650,train
653,not selected
654,train
656,test
657,not selected
659,not selected
661,not selected
663,train
664,train
666,train
668,test
670,test
672,not selected
673,not selected
677,train
678,test
680,test
681,not selected
683,not selected
684,train
685,train
686,not selected
687,test
688,test
694,not selected
695,not selected
697,not selected
698,test
701,train
709,test
710,test
711,test
712,not selected
713,train
714,train
716,not selected
717,train
718,test
719,not selected
720,not selected
721,not selected
722,test
723,train
724,test
725,not selected
726,train
727,not selected
728,train
730,not selected
731,train
732,test
733,train
734,train
735,not selected
737,not selected
738,test
739,not selected
741,not selected
742,not selected
743,not selected
744,test
746,not selected
747,test
749,not selected
750,not selected
751,not selected
752,test
753,not selected
755,not selected
756,train
757,not selected
758,train
759,not selected
760,not selected
762,not selected
763,not selected
764,not selected
766,not selected
768,not selected
769,not selected
770,test
771,train
772,train
774,train
775,not selected
776,test
778,not selected
779,train
780,not selected
781,not selected
784,train
787,train
788,train
789,not selected
790,not selected
792,test
793,test
794,not selected
795,train
796,train
797,train
798,test
800,not selected
801,test
802,not selected
803,test
804,train
807,not selected
808,not selected
809,not selected
810,test
812,not selected
813,not selected
815,not selected
816,train
818,not selected
819,not selected
820,not selected
821,not selected
822,not selected
825,not selected
826,not selected
829,test
830,not selected
831,train
832,not selected
833,not selected
835,not selected
838,not selected
839,train
840,train
841,train
842,test
844,not selected
845,train
846,train
848,train
849,not selected
850,not selected
851,train
852,train
853,test
854,not selected
855,not selected
856,not selected
857,train
859,train
860,test
