system_id,split
0,test
1,train
3,test
4,test
5,train
6,test
8,train
12,train
13,train
15,test
17,test
18,train
20,test
23,test
24,train
25,test
27,test
30,train
31,train
33,train
34,test
37,test
39,train
40,train
41,test
42,test
43,test
44,train
45,test
47,test
48,test
50,test
52,train
53,train
54,train
55,train
56,train
57,train
58,test
59,train
60,train
61,train
62,train
63,train
64,train
65,train
66,test
67,train
68,test
69,train
72,train
74,train
75,train
76,train
77,test
78,test
79,train
80,train
81,train
82,test
83,test
85,train
86,test
87,train
88,train
89,train
90,test
91,test
92,train
93,test
95,train
96,train
97,test
98,test
99,test
100,train
103,test
105,test
107,test
108,train
110,train
111,train
112,test
113,train
114,test
115,train
116,train
117,train
118,train
119,train
121,test
122,train
123,test
125,test
128,train
129,test
130,train
132,test
133,train
134,test
135,test
136,train
137,test
138,test
139,train
140,test
141,test
143,test
144,test
145,test
146,train
147,train
148,test
149,train
150,test
152,train
153,train
154,test
158,train
159,test
160,test
161,train
162,test
163,train
165,test
166,test
167,test
168,test
169,train
171,train
172,test
173,train
174,test
175,train
176,test
178,train
180,test
181,train
182,test
184,test
185,test
186,test
187,train
188,test
190,test
191,test
192,train
193,train
195,test
197,train
198,test
199,train
200,train
202,test
207,train
208,test
209,train
212,test
215,train
216,test
217,train
219,test
221,test
222,test
223,train
224,train
225,test
226,train
228,train
229,train
231,train
232,test
233,train
234,test
235,test
237,train
239,test
241,train
243,test
244,test
245,train
247,test
248,test
249,train
251,train
252,test
253,test
254,test
255,train
258,test
259,test
260,test
262,test
265,test
266,train
267,test
268,train
269,test
271,train
272,test
273,train
274,train
276,train
277,test
278,train
279,train
281,test
282,test
283,test
284,test
285,train
286,test
287,train
288,test
289,test
290,test
292,test
293,test
294,test
295,test
297,test
299,train
300,test
301,train
302,train
305,train
306,test
308,train
309,test
310,test
311,train
312,train
313,train
314,train
315,test
317,test
318,train
319,test
320,test
321,train
323,test
324,test
325,train
326,train
327,test
328,test
329,train
330,test
331,train
332,test
333,train
334,train
335,test
336,test
339,train
341,train
342,test
343,train
344,test
345,train
346,train
348,train
349,train
350,train
351,test
352,test
354,train
355,train
356,train
357,train
360,test
361,train
362,test
363,train
365,train
366,test
367,test
368,train
370,test
373,train
374,train
375,test
376,test
378,train
379,train
380,train
381,test
382,test
383,test
384,train
386,test
387,test
389,train
391,train
392,test
393,train
394,train
395,train
396,train
397,train
399,test
400,test
401,test
402,train
405,test
406,train
407,train
408,test
410,test
411,test
413,test
414,train
416,test
417,test
418,test
419,train
421,train
422,train
423,test
424,train
425,test
429,train
430,train
431,test
433,train
434,test
435,test
436,test
437,test
438,test
441,train
442,test
445,test
446,train
447,train
448,test
449,test
451,train
452,test
453,test
455,test
456,train
457,train
458,train
460,train
461,train
463,train
464,train
465,train
466,train
467,test
468,test
469,test
471,train
472,train
473,train
475,test
476,test
478,test
479,test
480,train
481,train
483,train
484,test
485,test
486,test
487,test
488,train
489,test
490,train
492,test
493,train
494,test
495,train
496,test
497,test
498,test
499,train
500,train
502,train
504,train
507,test
508,train
509,test
510,test
512,test
514,train
516,test
517,test
518,test
519,test
521,test
522,train
523,train
524,test
525,train
528,train
529,test
532,test
533,train
534,test
535,train
536,test
537,train
538,test
540,test
541,test
542,test
543,test
544,train
545,test
548,test
549,test
551,train
552,train
553,test
554,test
555,test
556,train
557,train
559,train
561,train
563,train
564,train
565,train
567,train
570,train
571,test
572,train
573,train
574,train
575,train
577,train
578,train
582,train
583,train
584,test
585,train
586,train
588,test
589,train
590,train
591,train
592,train
595,train
596,test
597,test
598,train
599,train
600,train
601,test
602,train
603,test
604,test
606,test
608,test
609,train
610,test
611,train
613,test
614,test
615,test
616,test
620,test
622,train
623,train
624,train
626,train
629,train
630,train
632,test
633,train
635,train
637,train
638,train
639,test
640,test
643,train
644,test
645,train
648,train
649,test
650,train
653,train
654,train
656,train
657,test
659,train
661,test
663,test
664,test
666,train
668,test
670,train
672,test
673,test
677,train
678,test
680,train
681,train
683,train
684,train
685,train
686,train
687,test
688,test
694,train
695,test
697,train
698,train
701,train
709,train
710,train
711,test
712,train
713,test
714,test
716,train
717,train
718,test
719,train
720,test
721,test
722,train
723,test
724,test
725,test
726,train
727,train
728,test
730,test
731,train
732,test
733,train
734,test
735,test
737,train
738,test
739,train
741,train
742,train
743,test
744,test
746,train
747,train
749,test
750,test
751,train
752,train
753,train
755,train
756,test
757,test
758,test
759,train
760,test
762,train
763,test
764,test
766,train
768,test
769,train
770,train
771,train
772,test
774,train
775,test
776,test
778,test
779,test
780,test
781,test
784,train
787,test
788,train
789,test
790,train
792,test
793,test
794,train
795,train
796,train
797,train
798,train
800,train
801,train
802,train
803,test
804,train
807,test
808,train
809,train
810,train
812,train
813,test
815,test
816,test
818,test
819,test
820,train
821,train
822,test
825,train
826,test
829,test
830,test
831,train
832,train
833,test
835,train
838,train
839,test
840,train
841,test
842,test
844,test
845,train
846,test
848,train
849,test
850,train
851,test
852,train
853,test
854,train
855,test
856,train
857,test
859,test
860,train
861,train
862,test
863,test
864,test
865,train
868,train
869,train
871,train
872,train
875,train
876,train
877,train
879,train
880,train
882,train
883,test
885,test
886,train
888,train
889,train
891,train
893,test
894,test
895,test
896,test
897,train
898,train
901,train
902,test
903,test
904,train
905,test
908,train
911,test
912,train
913,test
918,train
921,test
922,train
923,test
925,test
926,test
927,test
929,test
931,train
932,train
933,train
934,train
936,test
937,train
938,test
939,train
941,test
942,train
944,test
946,train
947,test
949,test
950,test
951,train
952,test
954,test
955,test
956,test
957,test
958,test
959,train
960,train
961,test
962,test
963,train
964,test
965,train
967,test
968,train
969,train
970,test
971,test
972,test
973,test
975,train
976,train
977,train
978,train
979,train
981,train
983,test
985,test
988,test
989,test
990,test
991,test
992,train
993,train
994,test
996,train
997,test
998,test
999,test
1000,train
1001,test
1003,test
1004,test
1006,train
1007,train
1009,train
1012,train
1013,test
1014,train
1015,test
1017,test
1018,train
1020,test
1021,train
1022,train
1023,test
1024,train
1026,test
1027,train
1030,train
1031,test
1032,train
1035,train
1036,test
1037,train
1038,test
1041,train
1042,test
1043,train
1044,train
1045,test
1049,test
1050,train
1051,test
1053,train
1055,train
1056,test
1057,test
1058,test
1059,test
1060,test
1061,test
1062,test
1064,test
1067,test
1068,train
1069,train
1070,train
1071,test
1072,train
1073,train
1076,test
1077,test
1078,train
1079,test
1080,test
1081,test
1083,test
1085,test
1086,test
1087,train
1088,train
1092,test
1093,train
1094,train
1095,test
1096,test
1097,train
1098,test
1099,train
1100,train
1102,test
1103,train
1104,train
1107,train
1108,test
1110,test
1112,train
1113,test
1114,test
1116,train
1117,train
1118,test
1119,train
1120,test
1121,train
1123,train
1125,train
1127,test
1128,test
1129,train
1130,test
1131,test
1132,test
1134,train
1135,train
1136,train
1139,train
1141,train
1142,train
1143,test
1145,train
1148,train
1149,train
1150,test
1151,test
1152,train
1153,train
1154,train
1155,test
1156,train
1159,train
1161,train
